id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7616888,2017-08-05T15:16:10Z,2017-09-03T06:01:34Z,Version 2.3.1,"Contains progress enabled buttons, new wipes, and various fixes.

https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/milestone/18?closed=1

",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/7616888/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/7616888,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v2.3.1,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v2.3.1,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v2.3.1,v2.3.1,False,False
5674957,2017-03-08T07:59:48Z,2017-03-08T11:26:42Z,Version 2.3.0,"Contains new flip-able cards, badges, and other styles.

News/summary: http://materialdesigninxaml.net/news#2-3-0

Full release notes: https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/milestone/16?closed=1",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/5674957/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/5674957,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v2.3.0,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v2.3.0,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v2.3.0,v2.3.0,False,False
4826359,2016-12-04T08:17:48Z,2016-12-04T08:40:02Z,Version 2.2.1,"Patch release containing various fixes, as listed here: https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/milestone/17?closed=1
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/4826359/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/4826359,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v2.2.1,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v2.2.1,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v2.2.1,v2.2.1,False,False
4571940,2016-11-04T14:30:28Z,2016-11-04T15:23:23Z,Version 2.2.0,"Featuring a new snackbar control, right, top and bottom drawers, and various fixes and style tweaks.

Full release notes: https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/milestone/15?closed=1
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/4571940/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/4571940,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v2.2.0,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v2.2.0,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v2.2.0,v2.2.0,False,False
3982041,2016-08-26T05:31:57Z,2016-08-26T12:12:31Z,Version 2.1.0,"Improved Expander style, and various fixes. See full [change
 log](https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/milestone/12?closed=1).

![expander](https://cloud.githubusercontent.com/assets/658107/18004861/841ae33c-6b8e-11e6-95a3-290bb5fd720b.gif)
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/3982041/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/3982041,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v2.1.0,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v2.1.0,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v2.1.0,v2.1.0,False,False
3601252,2016-07-06T19:22:00Z,2016-07-06T20:18:38Z,Version 2.0.0,"Please see the small list of [breaking changes](https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/wiki/Version-2.0.0---Breaking-Changes).

Includes new Chip control, toggle style listboxes, and a whole host of fixes and improvements.

[Release notes](https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/milestone/11?closed=1)
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/3601252/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/3601252,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v2.0.0,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v2.0.0,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v2.0.0,v2.0.0,False,False
2839924,2016-03-22T21:57:44Z,2016-03-22T22:09:48Z,Version 1.5.0,"Introducing the Transitions API, with which you can build things such as this:

![](https://raw.githubusercontent.com/MaterialDesignInXAML/F1InXAML/master/resources/main.gif)

There are transition demos in the main source/demo, and a brand new demo app [F1 in XAML](https://github.com/MaterialDesignInXAML/F1InXAML).  Check out the [wiki article](https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/wiki/Transitions) for a breakdown of the API/XAML usage.

[Full 1.5.0 change log](https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/issues?utf8=%E2%9C%93&q=milestone%3A%22ver+1.5.0%22+is%3Aclosed+).
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2839924/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2839924,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v1.5.0,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v1.5.0,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v1.5.0,v1.5.0,False,False
2524280,2016-01-31T09:29:31Z,2016-01-31T09:44:25Z,Version 1.4.1,"Primarily a fixes release. Follow the link for full details.

https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/issues?q=milestone%3A%22ver+1.4.1%22+is%3Aclosed
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2524280/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2524280,release,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v1.4.1,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v1.4.1,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v1.4.1,v1.4.1,False,False
2446073,2016-01-16T16:48:16Z,2016-01-18T13:54:25Z,Version 1.4.0,"The big new feature is the inclusion of the [Material Design Icons](https://materialdesignicons.com/) collection.

![image](https://cloud.githubusercontent.com/assets/658107/12392942/8e4cbb02-bdea-11e5-9f0e-56562d023218.png)

Full details of all fixes and enhancements can be found here:

https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/issues?q=milestone%3A%22ver+1.4%22+is%3Aclosed
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2446073/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2446073,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v1.4.0,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v1.4.0,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v1.4.0,v1.4.0,False,False
2436069,2016-01-15T14:17:58Z,2016-01-15T17:23:23Z,Version 1.3.2,"Various fixes; primarily from the community: thank you!

Details at: https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/issues?utf8=%E2%9C%93&q=milestone%3A%22ver+1.3.2%22+
",https://api.github.com/users/ButchersBoy,658107,ButchersBoy,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2436069/assets,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/releases/2436069,master,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/tarball/v1.3.2,https://github.com/ButchersBoy/MaterialDesignInXamlToolkit/releases/tag/v1.3.2,https://api.github.com/repos/ButchersBoy/MaterialDesignInXamlToolkit/zipball/v1.3.2,v1.3.2,False,False
