id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8237393,2017-09-18T01:30:50Z,2017-10-24T13:33:58Z,3.2.1,,https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/8237393/assets,https://api.github.com/repos/CodisLabs/codis/releases/8237393,release3.2,https://api.github.com/repos/CodisLabs/codis/tarball/3.2.1,https://github.com/CodisLabs/codis/releases/tag/3.2.1,https://api.github.com/repos/CodisLabs/codis/zipball/3.2.1,3.2.1,False,False
6802009,2017-06-22T14:03:07Z,2017-06-22T14:09:36Z,3.2.0,"First stable release of Codis3.2.
",https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/6802009/assets,https://api.github.com/repos/CodisLabs/codis/releases/6802009,release3.2,https://api.github.com/repos/CodisLabs/codis/tarball/3.2.0,https://github.com/CodisLabs/codis/releases/tag/3.2.0,https://api.github.com/repos/CodisLabs/codis/zipball/3.2.0,3.2.0,False,False
6383619,2017-05-12T09:22:43Z,2017-05-15T06:59:12Z,3.2-rc2,The 2nd release candidate of Codis 3.2.,https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/6383619/assets,https://api.github.com/repos/CodisLabs/codis/releases/6383619,release3.2,https://api.github.com/repos/CodisLabs/codis/tarball/3.2-rc2,https://github.com/CodisLabs/codis/releases/tag/3.2-rc2,https://api.github.com/repos/CodisLabs/codis/zipball/3.2-rc2,3.2-rc2,False,False
5917674,2017-03-28T07:46:57Z,2017-03-30T03:45:56Z,3.2-rc1,The first release candidate of Codis 3.2.,https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/5917674/assets,https://api.github.com/repos/CodisLabs/codis/releases/5917674,release3.2,https://api.github.com/repos/CodisLabs/codis/tarball/3.2-rc1,https://github.com/CodisLabs/codis/releases/tag/3.2-rc1,https://api.github.com/repos/CodisLabs/codis/zipball/3.2-rc1,3.2-rc1,False,False
5460844,2017-02-15T03:38:20Z,2017-02-15T06:21:34Z,3.2-alpha,"Upgrades codis-server to Redis3.2.8 & implements asynchronous data migration.
",https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/5460844/assets,https://api.github.com/repos/CodisLabs/codis/releases/5460844,release3.2,https://api.github.com/repos/CodisLabs/codis/tarball/3.2-alpha,https://github.com/CodisLabs/codis/releases/tag/3.2-alpha,https://api.github.com/repos/CodisLabs/codis/zipball/3.2-alpha,3.2-alpha,False,True
5460824,2017-02-15T06:12:53Z,2017-02-15T06:29:01Z,3.1.5,"No bug fix.
",https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/5460824/assets,https://api.github.com/repos/CodisLabs/codis/releases/5460824,release3.1,https://api.github.com/repos/CodisLabs/codis/tarball/3.1.5,https://github.com/CodisLabs/codis/releases/tag/3.1.5,https://api.github.com/repos/CodisLabs/codis/zipball/3.1.5,3.1.5,False,False
5136443,2017-01-10T07:08:24Z,2017-01-12T03:46:25Z,3.1.4,,https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/5136443/assets,https://api.github.com/repos/CodisLabs/codis/releases/5136443,release3.1,https://api.github.com/repos/CodisLabs/codis/tarball/3.1.4,https://github.com/CodisLabs/codis/releases/tag/3.1.4,https://api.github.com/repos/CodisLabs/codis/zipball/3.1.4,3.1.4,False,False
4925877,2016-12-15T04:21:43Z,2016-12-15T04:37:34Z,3.1.3,"Fix bug of issue #1078. Now sentinel can work well with Go1.5 & Go1.6.
",https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/4925877/assets,https://api.github.com/repos/CodisLabs/codis/releases/4925877,release3.1,https://api.github.com/repos/CodisLabs/codis/tarball/3.1.3,https://github.com/CodisLabs/codis/releases/tag/3.1.3,https://api.github.com/repos/CodisLabs/codis/zipball/3.1.3,3.1.3,False,False
4865392,2016-12-08T06:57:16Z,2016-12-08T09:57:06Z,3.1.2,"Fix bugs of release3.1.1 #1071.
",https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/4865392/assets,https://api.github.com/repos/CodisLabs/codis/releases/4865392,release3.1,https://api.github.com/repos/CodisLabs/codis/tarball/3.1.2,https://github.com/CodisLabs/codis/releases/tag/3.1.2,https://api.github.com/repos/CodisLabs/codis/zipball/3.1.2,3.1.2,False,False
4622779,2016-11-10T03:37:13Z,2016-11-10T10:12:31Z,3.1.0,"First release of Codis.3.1. 
- Improved throughput by 10~20% and reduced the pct99 latency by more than 50%
- Redesigned the architecture of cluster and supported HA with official redis-sentinel
- Implemented new command 'SLOTSSCAN'
- Provided a better dashboard
- Upgraded codis-server to redis3.2.4
",https://api.github.com/users/spinlock,722853,spinlock,https://api.github.com/repos/CodisLabs/codis/releases/4622779/assets,https://api.github.com/repos/CodisLabs/codis/releases/4622779,release3.1,https://api.github.com/repos/CodisLabs/codis/tarball/3.1.0,https://github.com/CodisLabs/codis/releases/tag/3.1.0,https://api.github.com/repos/CodisLabs/codis/zipball/3.1.0,3.1.0,False,False
