id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
4367978,2016-10-12T13:56:41Z,2016-10-12T14:55:40Z,2.1.0,"- watchOS support (@ikesyo in #730)
- tvOS support (@ikesyo in #731)
- Xcode 8 support (@dcaunt in #758)
- Added implicit NSUUID JSON value transformer (@conraddev in #723)

Also includes documentation improvements thanks to @getaaron and @bruun. Thanks to @ikesyo for Xcode/Travis maintenance.
",https://api.github.com/users/dcaunt,157314,dcaunt,https://api.github.com/repos/Mantle/Mantle/releases/4367978/assets,https://api.github.com/repos/Mantle/Mantle/releases/4367978,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.1.0,https://github.com/Mantle/Mantle/releases/tag/2.1.0,https://api.github.com/repos/Mantle/Mantle/zipball/2.1.0,2.1.0,False,False
3418560,2016-02-15T11:44:36Z,2016-06-10T14:41:31Z,1.5.8: A Spectacular Blast from the Past,"This release contains the same functionality as 1.5.7 but fixes a warning for CocoaPods users (#488).
",https://api.github.com/users/dcaunt,157314,dcaunt,https://api.github.com/repos/Mantle/Mantle/releases/3418560/assets,https://api.github.com/repos/Mantle/Mantle/releases/3418560,1.x-maintenance,https://api.github.com/repos/Mantle/Mantle/tarball/1.5.8,https://github.com/Mantle/Mantle/releases/tag/1.5.8,https://api.github.com/repos/Mantle/Mantle/zipball/1.5.8,1.5.8,False,False
3028446,2016-03-17T12:02:37Z,2016-04-15T14:23:33Z,2.0.7,"- `MTLJSONAdapter` correctly checks for `MTLModel` protocol conformance rather than `MTLModel` inheritance @startupthekid in #617, @priteshshah1983 in #631)
- Improved error descriptions when serializing models from JSON fails (@kypselia in #661)
- Add predefined `NSDate`, `NSNumber`  and `NSFormatter` value transformer factory methods (@conradev in #641)
- Fix Swift deprecation warnings (@msanders in #680)
- Apply default `MTLJSONAdapter` type transformer for a key when using `JSONTransformerForKey:` if no custom transformer is returned (@k06a in #685)

Thanks to @robb for reviewing pull requests!
",https://api.github.com/users/dcaunt,157314,dcaunt,https://api.github.com/repos/Mantle/Mantle/releases/3028446/assets,https://api.github.com/repos/Mantle/Mantle/releases/3028446,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.0.7,https://github.com/Mantle/Mantle/releases/tag/2.0.7,https://api.github.com/repos/Mantle/Mantle/zipball/2.0.7,2.0.7,False,False
2682277,2016-02-15T11:44:36Z,2016-02-24T19:48:50Z,1.5.7: A Faster Blast from the Past,"Backported ""faster method calls"" (@knox in #679)
",https://api.github.com/users/dcaunt,157314,dcaunt,https://api.github.com/repos/Mantle/Mantle/releases/2682277/assets,https://api.github.com/repos/Mantle/Mantle/releases/2682277,1.x-maintenance,https://api.github.com/repos/Mantle/Mantle/tarball/1.5.7,https://github.com/Mantle/Mantle/releases/tag/1.5.7,https://api.github.com/repos/Mantle/Mantle/zipball/1.5.7,1.5.7,False,False
1968018,2015-10-14T15:05:05Z,2015-10-15T19:50:46Z,1.5.6: Blast from the Past,"- Renamed `libextobjc` files to avoid collisions. #623 
",https://api.github.com/users/robb,212465,robb,https://api.github.com/repos/Mantle/Mantle/releases/1968018/assets,https://api.github.com/repos/Mantle/Mantle/releases/1968018,1.x-maintenance,https://api.github.com/repos/Mantle/Mantle/tarball/1.5.6,https://github.com/Mantle/Mantle/releases/tag/1.5.6,https://api.github.com/repos/Mantle/Mantle/zipball/1.5.6,1.5.6,False,False
1813984,2015-09-13T11:26:10Z,2015-09-15T08:22:17Z,2.0.5,"Implicitly transform properties for types conforming to `MTLJSONSerializing` (@younthu in #605) 
",https://api.github.com/users/dcaunt,157314,dcaunt,https://api.github.com/repos/Mantle/Mantle/releases/1813984/assets,https://api.github.com/repos/Mantle/Mantle/releases/1813984,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.0.5,https://github.com/Mantle/Mantle/releases/tag/2.0.5,https://api.github.com/repos/Mantle/Mantle/zipball/2.0.5,2.0.5,False,False
1663768,2015-08-08T17:16:06Z,2015-08-13T08:32:18Z,2.0.4: One Infinite Loop,"Fixed an issue with recursive definitions (@jmah in https://github.com/Mantle/Mantle/pull/582)
",https://api.github.com/users/dcaunt,157314,dcaunt,https://api.github.com/repos/Mantle/Mantle/releases/1663768/assets,https://api.github.com/repos/Mantle/Mantle/releases/1663768,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.0.4,https://github.com/Mantle/Mantle/releases/tag/2.0.4,https://api.github.com/repos/Mantle/Mantle/zipball/2.0.4,2.0.4,False,False
1625983,2015-07-31T09:44:21Z,2015-08-04T13:01:57Z,2.0.3: Full Glottal Stops,"- Unmapped, optional protocol properties are now using `MTLStoragePropertyNone` (@kevin-traansmission in #523)
- `MTLJSONAdapter` subclasses now behave correctly with class clusters (@hengw in #556)
- Copying a `MTLModel` skips revalidation for better performance (@zadr in #548)
- Fewer `MTLJSONAdapter` allocations in class-based transformers (@jmah in #567)
- Correctly handle storage behavior for optional properties or those declared in a super class (@jmah in #568)

Also includes improvements to the README by @danielgalasko @alikaragoz :sparkling_heart: 
",https://api.github.com/users/robb,212465,robb,https://api.github.com/repos/Mantle/Mantle/releases/1625983/assets,https://api.github.com/repos/Mantle/Mantle/releases/1625983,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.0.3,https://github.com/Mantle/Mantle/releases/tag/2.0.3,https://api.github.com/repos/Mantle/Mantle/zipball/2.0.3,2.0.3,False,False
1329830,2015-05-23T02:49:44Z,2015-05-23T02:53:30Z,2.0.2,"- #525 fixes a memory management crash introduced in #520.
",https://api.github.com/users/jspahrsummers,432536,jspahrsummers,https://api.github.com/repos/Mantle/Mantle/releases/1329830/assets,https://api.github.com/repos/Mantle/Mantle/releases/1329830,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.0.2,https://github.com/Mantle/Mantle/releases/tag/2.0.2,https://api.github.com/repos/Mantle/Mantle/zipball/2.0.2,2.0.2,False,False
1328480,2015-05-21T16:53:06Z,2015-05-22T18:02:38Z,2.0.1,"- #489 and #499 fix Objective-C++ compatibility (thanks @zsk425, @johanrydenstam, and @robb!)
- #503 improves error messaging for validating transformers (thanks @robb!)
- #520 dramatically improves the performance of dynamic method invocations (thanks @adamkaplan!)
",https://api.github.com/users/jspahrsummers,432536,jspahrsummers,https://api.github.com/repos/Mantle/Mantle/releases/1328480/assets,https://api.github.com/repos/Mantle/Mantle/releases/1328480,master,https://api.github.com/repos/Mantle/Mantle/tarball/2.0.1,https://github.com/Mantle/Mantle/releases/tag/2.0.1,https://api.github.com/repos/Mantle/Mantle/zipball/2.0.1,2.0.1,False,False
