id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8300163,2017-10-29T04:06:03Z,2017-10-29T04:15:32Z,3.2.35.0,"* Update in-network detection
* Add dc:creator to dlna output
* Fix detail screen button color with light themes
* show album artist in album identify wizard
* fix music artists not showing in collections
* tap to hide video osd",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8300163/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8300163,master,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.35.0,https://github.com/MediaBrowser/Emby/releases/tag/3.2.35.0,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.35.0,3.2.35.0,False,False
8296216,2017-10-28T04:21:11Z,2017-10-28T04:25:14Z,3.2.34.2-beta,"* Update in-network detection
* Add dc:creator to dlna output
* Fix detail screen button color with light themes
* show album artist in album identify wizard
* fix music artists not showing in collections
* tap to hide video osd",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8296216/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8296216,beta,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.34.2,https://github.com/MediaBrowser/Emby/releases/tag/3.2.34.2,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.34.2,3.2.34.2,False,True
8282134,2017-10-27T04:15:18Z,2017-10-27T04:18:25Z,3.2.34.1-beta,"* Update in-network detection
* Add dc:creator to dlna output
* Fix detail screen button color with light themes",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8282134/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8282134,beta,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.34.1,https://github.com/MediaBrowser/Emby/releases/tag/3.2.34.1,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.34.1,3.2.34.1,False,True
8231813,2017-10-24T05:42:03Z,2017-10-24T06:07:06Z,3.2.34.0,"* Fix next up queries within libraries
* Reduce web socket activity
* Add setting to disable theme videos in the web app
* Adjust default metadata provider order
* Support mpeg2 hardware video decoding with OMX
* Support azw3 book extension
* Add xmltv error handling
* Add restart dialog
* Fix scrolling after back button presses in web app
* Support play next
* Improve preservation of channel info from tv providers
* Update resolved video titles
* Restore restart button for mono releases
* Improve live tv direct play
* Improve subtitle transcoding
* improve movie matching
* Update more from section
* Support delete permissions per library
* Add additional dark theme option
* Fix new item notifications being sent to all users
* Improve display title in now playing section
* Resolve version flipping back and forth in now playing section
* Improve recording schedule display
* Improve upnp port mapping
* Improve home video library features
* Improve image aspect ratio detection
* Improve tuner conflict error handling",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8231813/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8231813,master,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.34.0,https://github.com/MediaBrowser/Emby/releases/tag/3.2.34.0,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.34.0,3.2.34.0,False,False
8226383,2017-10-23T19:14:56Z,2017-10-23T19:18:22Z,3.2.33.20-beta,"* Fix next up queries within libraries
* Reduce web socket activity
* Add setting to disable theme videos in the web app
* Adjust default metadata provider order
* Support mpeg2 hardware video decoding with OMX
* Support azw3 book extension
* Add xmltv error handling
* Add restart dialog
* Fix scrolling after back button presses in web app
* Support play next
* Improve preservation of channel info from tv providers
* Update resolved video titles
* Restore restart button for mono releases
* Improve live tv direct play
* Improve subtitle transcoding
* improve movie matching
* Update more from section
* Support delete permissions per library
* Add additional dark theme option
* Fix new item notifications being sent to all users
* Improve display title in now playing section
* Resolve version flipping back and forth in now playing section
* Improve recording schedule display
* Improve upnp port mapping
* Improve home video library features
* Improve image aspect ratio detection
* Improve tuner conflict error handling",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8226383/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8226383,beta,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.33.20,https://github.com/MediaBrowser/Emby/releases/tag/3.2.33.20,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.33.20,3.2.33.20,False,True
8207387,2017-10-21T16:40:32Z,2017-10-21T16:44:26Z,3.2.33.15-beta,"* Fix next up queries within libraries
* Reduce web socket activity
* Add setting to disable theme videos in the web app
* Adjust default metadata provider order
* Support mpeg2 hardware video decoding with OMX
* Support azw3 book extension
* Add xmltv error handling
* Add restart dialog
* Fix scrolling after back button presses in web app
* Support play next
* Improve preservation of channel info from tv providers
* Update resolved video titles
* Restore restart button for mono releases
* Improve live tv direct play
* Improve subtitle transcoding
* improve movie matching
* Update more from section
* Support delete permissions per library
* Add additional dark theme option
* Fix new item notifications being sent to all users
* Improve display title in now playing section
* Resolve version flipping back and forth in now playing section
* Improve recording schedule display
* Improve upnp port mapping
* Improve home video library features",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8207387/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8207387,beta,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.33.15,https://github.com/MediaBrowser/Emby/releases/tag/3.2.33.15,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.33.15,3.2.33.15,False,True
8155446,2017-10-17T19:50:31Z,2017-10-17T20:05:02Z,3.2.33.12-beta,"* Fix next up queries within libraries
* Reduce web socket activity
* Add setting to disable theme videos in the web app
* Adjust default metadata provider order
* Support mpeg2 hardware video decoding with OMX
* Support azw3 book extension
* Add xmltv error handling
* Add restart dialog
* Fix scrolling after back button presses in web app
* Support play next
* Improve preservation of channel info from tv providers
* Update resolved video titles
* Restore restart button for mono releases
* Improve live tv direct play
* Improve subtitle transcoding
* improve movie matching
* Update more from section
* Support delete permissions per library
* Add additional dark theme option
* Fix new item notifications being sent to all users
* Improve display title in now playing section
* Resolve version flipping back and forth in now playing section",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8155446/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8155446,beta,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.33.12,https://github.com/MediaBrowser/Emby/releases/tag/3.2.33.12,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.33.12,3.2.33.12,False,True
8121416,2017-10-14T18:37:04Z,2017-10-14T18:42:07Z,3.2.33.9-beta,"* Fix next up queries within libraries
* Reduce web socket activity
* Add setting to disable theme videos in the web app
* Adjust default metadata provider order
* Support mpeg2 hardware video decoding with OMX
* Support azw3 book extension
* Add xmltv error handling
* Add restart dialog
* Fix scrolling after back button presses in web app
* Support play next
* Improve preservation of channel info from tv providers
* Update resolved video titles
* Restore restart button for mono releases
* Improve live tv direct play
* Improve subtitle transcoding
* improve movie matching
* Update more from section",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/8121416/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/8121416,beta,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.33.9,https://github.com/MediaBrowser/Emby/releases/tag/3.2.33.9,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.33.9,3.2.33.9,False,True
7959209,2017-10-02T05:27:13Z,2017-10-02T05:54:19Z,3.2.33.0,"* Resolve high cpu usage when streaming live tv
* Update remote control player selection menu
* Separate de-interlacing params by codec
* Update delete function to handle files already deleted
* Update identify popup
* Fix dng photo support
* Fix dlna direct play with samsung smart tv's
* Add skip forward/back length settings
* Expand web app streaming quality settings
* Move season zero display name to per library settings
* Update response headers for HEAD requests
* Improve support for compressed xmltv
* Reduce data collected by anonymous usage reporting
* Improve dlna playback status reporting
* Update LG dlna profile
* Fix missing response headers causing over-aggressive caching in Internet Explorer
* Support nef image format
* Update recording file names to improve sorting
* Add setting to require https
* Add ability to hide items from certain libraries from home screen
* Add fixes for seeking while burning in subtitles",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/7959209/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/7959209,master,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.33.0,https://github.com/MediaBrowser/Emby/releases/tag/3.2.33.0,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.33.0,3.2.33.0,False,False
7846466,2017-09-21T20:54:23Z,2017-09-21T20:58:51Z,3.2.32.0,"* Fix overlapping recordings
* Fix user profile images temporarily being lost",https://api.github.com/users/LukePulverenti,3607463,LukePulverenti,https://api.github.com/repos/MediaBrowser/Emby/releases/7846466/assets,https://api.github.com/repos/MediaBrowser/Emby/releases/7846466,master,https://api.github.com/repos/MediaBrowser/Emby/tarball/3.2.32.0,https://github.com/MediaBrowser/Emby/releases/tag/3.2.32.0,https://api.github.com/repos/MediaBrowser/Emby/zipball/3.2.32.0,3.2.32.0,False,False
