id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6748917,2017-06-18T03:25:02Z,2017-06-18T03:43:53Z,OpenRefine v2.7 Release,"This is the official release of OpenRefine 2.7.  Please **backup your workspace directory** before installing and report any problems that you encounter.

## New features:
- Wikidata Reconcile (replaced old Freebase Reconcile service) and hosted by Wikimedia Foundation.
- Export Clusters button on Clustering dialog.
- Japanese translation
- Support multiple ""logical and"" and ""logical or"" instead of just 2
- ""Transform All"" support to apply the operations to multiple columns
- Some bug fixes

See the full [list of changes](https://github.com/OpenRefine/OpenRefine/issues?utf8=%E2%9C%93&q=milestone%3A2.7%20).
",https://api.github.com/users/jackyq2015,10520203,jackyq2015,https://api.github.com/repos/OpenRefine/OpenRefine/releases/6748917/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/6748917,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.7,https://github.com/OpenRefine/OpenRefine/releases/tag/2.7,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.7,2.7,False,False
5626903,2017-03-03T01:30:54Z,2017-03-03T01:48:59Z,OpenRefine v2.7 Release Candidate 2,"This is the 2nd beta release of OpenRefine 2.7.  Please **backup your workspace directory** before installing and report any problems that you encounter.

## New features:
- Upgrade the Jython library to 2.7
",https://api.github.com/users/jackyq2015,10520203,jackyq2015,https://api.github.com/repos/OpenRefine/OpenRefine/releases/5626903/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/5626903,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.7-rc.2,https://github.com/OpenRefine/OpenRefine/releases/tag/2.7-rc.2,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.7-rc.2,2.7-rc.2,False,True
5426945,2017-02-11T00:47:17Z,2017-02-16T13:33:16Z,OpenRefine v2.7 Release Candidate 1,"This is the first beta release of OpenRefine 2.7.  Please **backup your workspace directory** before installing and report any problems that you encounter.

## New features:
- Wikidata Reconcile (replaced old Freebase Reconcile service) and hosted by Wikimedia Foundation.
- Export Clusters button on Clustering dialog.
- Japanese translation

See the full [list of changes](https://github.com/OpenRefine/OpenRefine/issues?utf8=%E2%9C%93&q=milestone%3A2.7%20).
",https://api.github.com/users/jackyq2015,10520203,jackyq2015,https://api.github.com/repos/OpenRefine/OpenRefine/releases/5426945/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/5426945,291d70c9d0c8c95cb86d2a8cbbc7cb4b5d1db45a,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.7-rc.1,https://github.com/OpenRefine/OpenRefine/releases/tag/2.7-rc.1,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.7-rc.1,2.7-rc.1,False,True
1956732,2015-10-13T22:48:46Z,2015-10-14T17:05:24Z,OpenRefine v2.6-rc2 Release Candidate 2,"**NOTE:**  Release candidate for OpenRefine v2.6. Hopefully no major changes are required except the final versioning and some minor improvoment. Please file issues if found any! **USE AT YOUR OWN RISK**
",https://api.github.com/users/jackyq2015,10520203,jackyq2015,https://api.github.com/repos/OpenRefine/OpenRefine/releases/1956732/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/1956732,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.6-rc.2,https://github.com/OpenRefine/OpenRefine/releases/tag/2.6-rc.2,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.6-rc.2,2.6-rc.2,False,True
1237041,2015-04-30T03:26:40Z,2015-04-30T03:28:43Z,OpenRefine v2.6-rc1 Release Candidate 1,"**NOTE:** This isn't a real release candidate at this point, but rather a trial build for the development team to check out how many loose ends are left to clean up. Please continue to use the v2.6 beta 1 release for now.  **USE AT YOUR OWN RISK**
",https://api.github.com/users/tfmorris,82178,tfmorris,https://api.github.com/repos/OpenRefine/OpenRefine/releases/1237041/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/1237041,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/v2.6-rc1,https://github.com/OpenRefine/OpenRefine/releases/tag/v2.6-rc1,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/v2.6-rc1,v2.6-rc1,False,True
29727,2013-08-27T15:39:12Z,2013-09-02T19:35:21Z,OpenRefine 2.6 beta 1,"This is the first beta release of OpenRefine 2.6.  It is for **testing purposes only** and is **_not_** intended for production work.  Please **backup your workspace directory** before testing and report any problems that you encounter.

**Testing** - _please especially keep an eye out for strings/labels in the UI which are missing or rendered as `undefined`_

## New features:
- shiny new OpenRefine branding
- internationalized UI available in both Italian and English
- a number of small of localization improvements such as support for locale in the toDate() function #729
  (if you'd like to help translating for your language, contact us)
- better data fidelity for import - it's now possible to turn off all automatic conversions 
- improved CSV support, including support for multi-character field separators
- support for the new Freebase v1 APIs released by Google as well as the latest Freebase Suggest 4.3
- better feedback on memory usage and low memory situations when creating projects
- shorter more friendly column names for JSON imports #524 
- sorting of large data sets is orders of magnitude faster #738
- almost one hundred bug fixes including fixes for some of the persistently annoying ones like cross() failures #432 
- more robust project saving and project recovery -- if you have projects in your workspace which have been renamed .project.corrupted, you may be able to recover some of the data if you rename them back to the standard .project extension

A [full list of bugs fixed](https://github.com/OpenRefine/OpenRefine/issues?direction=desc&labels=bug&milestone=1&sort=updated&state=closed) in this release is available. 

## INCOMPATIBLE CHANGE WITH GOOGLE REFINE 2.5:
- data directory has been renamed from ./Google/Refine to ./OpenRefine #777 

If you run both versions, add a property a definition for refine.data_dir using a line like this in the refine.ini for your Google Refine 2.5 installation

`JAVA_OPTIONS=-Drefine.data_dir=/path/to/data/dir`

## MAC OS X Version Requirement

The Mac kit bundles Java 7 which [requires](http://www.java.com/en/download/mac_sysreq-sm.jsp) Mac OS X 10.7.3 (Lion) or later.  The files are compiled for Java 6 compatibility, so it may be possible to run it by hand using Java 6 from Apple's Software Update, but this is unsupported and not recommended.
",https://api.github.com/users/tfmorris,82178,tfmorris,https://api.github.com/repos/OpenRefine/OpenRefine/releases/29727/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/29727,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.6-beta.1,https://github.com/OpenRefine/OpenRefine/releases/tag/2.6-beta.1,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.6-beta.1,2.6-beta.1,False,True
27299,2013-08-15T21:06:31Z,2013-08-15T21:53:27Z,OpenRefine v2.6-alpha.2,"This is the first wide release of 2.6 is for **testing purposes only** and is **_not_** intended for production work.  Please **backup your workspace directory** before testing and report any problems that you encounter.

New features:
- shiny new OpenRefine branding
- internationalized UI available in both Italian and English
  (if you'd like to help translating for your language, contact us)
- better data fidelity for import - it's now possible to turn off all automatic conversions 
- improved CSV support, including support for multi-character field separators
- support for the new Freebase v1 APIs released by Google as well as the latest Freebase Suggest
- better feedback on memory usage and low memory situations when creating projects
- shorter more friendly column names for JSON imports #524 
- sorting of large data sets is orders of magnitude faster #738
- almost one hundred bug fixes including fixes for some of the persistently annoying ones like cross() failueres #432 

Things to keep an eye out for:
- missing UI strings displayed as ""undefined"" or strings with HTML code in them

INCOMPATIBLE CHANGE WITH GOOGLE REFINE 2.5:
- data directory has been renamed from ./Google/Refine to ./OpenRefine #777 

If you run both versions, add a property a definition for refine.data_dir using a line like this in the refine.ini for your Google Refine 2.5 installation

`JAVA_OPTIONS=-Drefine.data_dir=/path/to/data/dir`

Other changes since alpha1:
- browser window is opened automatically on all platforms #773
- bundled extensions now work on all operating systems #781
- various missing internationalization cleanups #766, #775, #767 
- updated to Freebase Suggest 4.3 #762 
- more robust (hopefully) workspace saving code #528 
- support for multi-character separators in CSV files #658 
- support for locale in toDate() #729 
",https://api.github.com/users/tfmorris,82178,tfmorris,https://api.github.com/repos/OpenRefine/OpenRefine/releases/27299/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/27299,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.6-alpha.2,https://github.com/OpenRefine/OpenRefine/releases/tag/2.6-alpha.2,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.6-alpha.2,2.6-alpha.2,False,True
15073,2010-11-10T23:18:41Z,2013-07-24T19:20:43Z,Google Refine 2.0,"## Major Changes
- New extension architecture.
- Generalized reconciliation framework that allows plugging in standard reconciliation services.
- Support for QA on data loads into Freebase.

## Features
- New commands:
  - Fill Down
  - Blank Down
  - Transpose Cells in Columns into Rows
  - Transpose Cells in Rows into Columns (Issue #82)
  - Move Column to Beginning, Move Column to End, Move Column Left, Move Column Right, Reorder Columns
  - Add Column by Fetching URLs
  - Recon commands:
  - Clear recon data for all matching rows
  - Clear recon data for one cell
  - Clear recon data for similar cells
  - Copy recon judgments across columns
- Google Refine Expression Language (GREL):
  - JSON support
  - New functions: smartSplit, escape, parseJson, hasField, uniques
  - New controls: forEachIndex, forRange, filter
  - New parameters:
    - preserveAllTokens on split function
  - Regexp groups capturing GEL function
- Importers
  - New: Json importer
  - CSV and TSV importers: added support for ignoring quotation marks
  - Added support for creating a project by pointing to a data file URL.
- Text facet's choice count limit is now configurable through preference page
- Select All and Unselect All buttons in History Extract dialog
- Schema aligment skeleton: support for multiple cells per cell-as nodes, and for conditional links

## Bug Fixes

TSV/CSV exporter bug: Gridworks crashed when there were empty cells.
 Issue #29 : Delievered ""Collapse whitespace"" transformation does not work
 Issue #69 : ControlFunctionRegistry? now correctly registers Chomp expression as ""chomp"" key.
 Issue #66 : Records not excluded with inverted text facet
 Issue #86 : Parse cells after splitting columns
 Issue #99 : Diff for dates fails with ""unknown error"" always
 Issue #110 : Import of single column text file with Postal Codes shows only 1 row with lots of � chars (?)
 Issue #113 : Export filtered rows as tsv or csv fails; html and excel OK
 Issue #116 : CSV/TSV export data includes blank fields for deleted columns
 Issue #121 : Importing attached file strips backslashes
 Issue #122 : Exporting to Excel on attached project raises server exception
 Issue #126 : Large integers formatted in scientific notation in formulas
 Issue #135 : Hangs when setting cell value to large JSON string
 Issue #138 : Numbers should be right-justified
 Issue #146 : In ""Cluster and Edit Column"", clicking on entry value to set ""Merge?"" checkbox does not reflect the final value of operation

List of all [changes](https://github.com/OpenRefine/OpenRefine/issues?milestone=5&state=closed)
",https://api.github.com/users/tfmorris,82178,tfmorris,https://api.github.com/repos/OpenRefine/OpenRefine/releases/15073/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/15073,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.0,https://github.com/OpenRefine/OpenRefine/releases/tag/2.0,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.0,2.0,False,False
15070,2011-07-10T22:44:00Z,2013-07-24T19:12:51Z,Google Refine 2.1,"Google Refine 2.1 is a maintenance release primarily focused on bug fixes.

## New Features
- JSoup-based HTML parsing ( issue 220  &  issue 338 ) - new functions: parseHtml, select, htmlAttr, htmlText, innerHtml, ownText
  New codec & clustering options: Metaphone3 (American English) and Cologne Phonetic (German -  issue 399 )
- Google Fusion Table import support
- new facet for exact duplicates ( issue 398 )
- save favorite (starred) transforms ( issue 222 )
- new math functions ( issue 224 ) - acos, asin, atan, atan2, cos, cosh, sin, sinh, tan, tanh, even, odd, abs, fact, factn, combin, degrees, radian, gcd (greatest common denominator), lcm (least common mulitple), multinomial, quotient
- new operator: modulo (%)
- new constant: PI
- update to Apache POI 3.7 (Excel library)
- update to Apache Commons Codec 1.5

## Bug Fixes
- issue 415  - Operand evaluation order wrong for + and - operators
- issue 404  - Character set incorrectly detected during project create
- issue 401  - Export error reporting masks real error
- issue 374  - INC function doesn't work for dates
- issue 351  - unable to export to Excel for projects with more than 256 columns
- issue 334  - Fusion Table CSV import causes NPE
- issue 294  - Export date value in CSV/TSV
- issue 263  - & character parsed incorrectly in XML import
- issue 358  - attempts to compare two values with all stop words returns NaN
- issue 276  - Character encoding issue with project create
- issue 228  - partial fix?
- issue 202  - sort text with accents
- issue 197  - date wraparound at year boundary
- issue 196  - removing columns causes error and disables undo
- issue 185  - Same reconciliation candidate for multiple cells causes problems
- issue 184  - date.toString() doesn't work
- issue 107  - non-ASCII characters don't display correctly during reconciliation
- issue 61  - multi-line text literals don't work in XML importer

Full list of [changes](https://github.com/OpenRefine/OpenRefine/issues?milestone=6&state=closed)
",https://api.github.com/users/tfmorris,82178,tfmorris,https://api.github.com/repos/OpenRefine/OpenRefine/releases/15070/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/15070,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.1,https://github.com/OpenRefine/OpenRefine/releases/tag/2.1,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.1,2.1,False,False
15067,2013-07-31T04:52:10Z,2013-07-30T15:08:58Z,OpenRefine 2.6-alpha1,"This is the first alpha release of OpenRefine 2.6 with the new branding.  This kit is primarily for developers testing.  Use AT YOUR OWN RISK and be sure to BACK UP YOUR DATA before testing it.
",https://api.github.com/users/tfmorris,82178,tfmorris,https://api.github.com/repos/OpenRefine/OpenRefine/releases/15067/assets,https://api.github.com/repos/OpenRefine/OpenRefine/releases/15067,master,https://api.github.com/repos/OpenRefine/OpenRefine/tarball/2.6-alpha1,https://github.com/OpenRefine/OpenRefine/releases/tag/2.6-alpha1,https://api.github.com/repos/OpenRefine/OpenRefine/zipball/2.6-alpha1,2.6-alpha1,False,True
