id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8185950,2017-10-19T17:53:59Z,2017-10-19T17:55:39Z,3.0.0 alpha 1,"This is the first alpha release of ReactiveSwift 3.0. It supports Swift 3.2 and Swift 4.0, and requires either Xcode 9 or the Swift 4.0 OSS compiler toolchain.

## Breaking Change

1. `Signal` now uses `Lifetime` for resource management. (#404, kudos to @andersio)

   The `Signal` initialzer now accepts a generator closure that is passed with the input `Observer` and the `Lifetime` as its arguments. The original variant accepting a single-argument generator closure is now obselete. This is a source breaking change.
   
   ```swift
   // New: Add `Disposable`s to the `Lifetime`.
   let candies = Signal<U, E> { (observer: Signal<U, E>.Observer, lifetime: Lifetime) in
      lifetime += trickOrTreat.observe(observer)
   }
   
   // Obsolete: Returning a `Disposable`.
   let candies = Signal { (observer: Signal<U, E>.Observer) -> Disposable? in
      return trickOrTreat.observe(observer)
   }
   ```

## Bugfix

1. Workaround an unexpected EGAGIN error being returned by pthread in 32-bit ARM debug builds. (#508)

## Changes

1. ReactiveSwift has been migrated to Swift 4.0. (#422, kudos to @andersio)

1. `SignalProducer.startWithSignal` now returns the value of the setup closure. (#533, kudos to @Burgestrand)

1. Disabled code coverage data to allow app submissions with Xcode 9.0 (see https://github.com/Carthage/Carthage/issues/2056, kudos to @NachoSoto)

1. The `SignalProducer` internals have undergone a significant refactoring, which bootstraps the effort to reduce the overhead of constant producers and producer compositions. (#487, kudos to @andersio)

## Deprecation

1. `Signal.Observer.action` has been deprecated. Use `Signal.Observer.send` instead. (#515)",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/8185950/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/8185950,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/3.0.0-alpha.1,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/3.0.0-alpha.1,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/3.0.0-alpha.1,3.0.0-alpha.1,False,True
7778264,2017-09-16T09:39:14Z,2017-09-16T09:48:11Z,2.1.0 alpha 2,"This is the second alpha release of ReactiveSwift 2.1. It targets Swift 3.1, Swift 3.2 and Swift 4.0.

## Changes
1. Disabled code coverage data to allow app submissions with Xcode 9.0 (see https://github.com/Carthage/Carthage/issues/2056, kudos to @NachoSoto)
",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7778264/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7778264,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.1.0-alpha.2,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.1.0-alpha.2,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.1.0-alpha.2,2.1.0-alpha.2,False,True
7772993,2017-09-15T17:49:48Z,2017-09-15T17:50:26Z,2.1.0 alpha 1,"This is the first alpha release of ReactiveSwift 2.1. It targets Swift 3.1, Swift 3.2 and Swift 4.0.

## Changes
1. `Signal.Observer.action` has been deprecated. Use `Signal.Observer.send` instead. (#515)

1. Workaround an unexpected EGAGIN error being returned by pthread in 32-bit ARM debug builds. (#508)

1. The `SignalProducer` internals have undergone a significant refactoring, which bootstraps the effort to reduce the overhead of constant producers and producer compositions. (#487, kudos to @andersio)",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7772993/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7772993,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.1.0-alpha.1,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.1.0-alpha.1,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.1.0-alpha.1,2.1.0-alpha.1,False,True
7405718,2017-08-16T04:02:38Z,2017-08-16T04:04:29Z,2.0.1,"This is the first maintenance release of ReactiveSwift 2.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

## Change
1. Addressed the exceptionally high build time. (#495)

## Addition
1. New operator `retry(upTo:interval:on:)`. (#496, kudos to @tjnet)

    This delays retrying on failure by interval until hitting the upTo limitation.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7405718/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7405718,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.0.1,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.1,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.0.1,2.0.1,False,False
7125524,2017-07-21T16:00:18Z,2017-07-21T16:00:40Z,2.0.0,"This is the second major release of ReactiveSwift. It requires Swift 3.1 (Xcode 8.3.x), and preliminarily supports Swift 3.2 and Swift 4.0 (Xcode 9).

## Highlights
### Safer `Signal` lifetime semantics (#355, #463)
The `Signal` lifetime semantics have been updated to improve interoperability with memory debugging tools. ReactiveSwift 2.0 adopted a new `Signal` internal which does not exploit deliberate retain cycles that consequentially confuse memory debugging tools.

ReactiveSwift 2.0 automatically terminates a `Signal`, when:

1.  **(New)** its input observer of the `Signal` is not retained; OR
1. the `Signal` is neither retained nor has any active observer;

> **Input observer** refers to the `Observer` the `Signal` receives input from. It is created and passed to you by `Signal.init`, `Signal.pipe` and `SignalProducer.init`.

Specifically, when an input `Observer` deinitializes, semantically it implies the associated `Signal` has no further event to be delivered. So ReactiveSwift would now interrupt the `Signal` automatically, and release all the associated resources.

```swift
func scopedSignal() -> Signal<Never, NoError> {
    // Note that the `Observer` is discarded immediately.
    let (signal, _) = Signal<Never, NoError>.pipe()
    return signal
}

var isInterrupted = false

withExtendedLifetime(scopedSignal()) { signal in
    signal.observeInterrupted { isInterrupted = true }

    // ReactiveSwift 1.x:
    // The `Signal` is still alive, probably forever unless the observer is detached.
    expect(isInterrupted) == false

    // ReactiveSwift 2.0:
    // The `Signal` is automatically interrupted, since the deinitialization of the
    // input `Observer` implies no further event would be sent.
    expect(isInterrupted) == true
}
```

Similarly for a deinitialised `Signal`, since no further observation can ever be made, ReactiveSwift would dispose of it when it knows for certain it has no active observer. Note that this is already the case for ReactiveSwift 1.x.

```swift
let checkpoint = AnyDisposable()
let escaped = CompositeDisposable()

func scopedObserver() -> Signal<Never, NoError>.Observer {
    // Note that the `Signal` does not escape the scope.
    let (signal, observer) = Signal<Never, NoError>.pipe(disposable: checkpoint)
    escaped += signal.observe(Observer())
    return observer
}

withExtendedLifetime(scopedObserver()) {
    escaped.dispose()

    // ReactiveSwift 1.x and 2.0:
    // Since no further observation can be made to the `Signal`, and it has no
    // active observer at this point, the `Signal` is automatically disposed of.
    expect(checkpoint.isDisposed) == true
}
```

In short, the `Signal` terminates when either of its ends implicitly declare their lack of interest — derived from the deinitialization of the `Signal` or the input `Observer` — to send or receive events. This makes ReactiveSwift more ARC friendly than before.

It is expected that memory debugging tools would no longer report irrelevant negative leaks that were once caused by the ReactiveSwift internals.

### `SignalProducer` resource management (#334)
`SignalProducer` now uses `Lifetime` for resource management. You may observe the `Lifetime` for the disposal of the produced `Signal`. You may also continue to use the `+=` convenience on `Lifetime` for adding `Disposable`s.


```swift
let producer = SignalProducer<Int, NoError> { observer, lifetime in
    lifetime += numbers.observe(observer)
}
```

If you need to interrupt the `SignalProducer`, you should now do it through the input `Observer`: 
```swift
let producer = SignalProducer<Int, NoError> { observer, _ in
    observer.sendInterrupted()
}
```

### Reduced overhead for all `SignalProducer` lifted operators. (#140)

All `SignalProducer` lifted operators no longer yield an extra `Signal`. As a result, the cost of event delivery has been considerably reduced, and `SignalProducer` is generally as performant as `Signal`.

### N-ary `SignalProducer` operators with generic operands (#410)

N-ary `SignalProducer` operators are now generic and accept any type that can be expressed as `SignalProducer`. Types may conform to `SignalProducerConvertible` to become an eligible operand.

For example:
```swift
let property = MutableProperty<Int>(0)
let producer = SignalProducer<Int, NoError>.never
let signal = Signal<Int, NoError>.never

/// Valid in ReactiveSwift 2.0.
_ = SignalProducer.combineLatest(property, producer, signal)
```

## Changes
### Signal and SignalProducer 
1. All `Signal` and `SignalProducer` operators now belongs to the respective concrete types. (#304)

   Custom operators should extend the concrete types directly. `SignalProtocol` and `SignalProducerProtocol` should be used only for constraining associated types.

1. `combineLatest` and `zip` are optimised to have a constant overhead regardless of arity, mitigating the possibility of stack overflow. (#345, #471, kudos to @stevebrambilla for catching a bug in the implementation) 

1. When composing `Signal` and `SignalProducer` of inhabitable types, e.g. `Never` or `NoError`, ReactiveSwift now warns about operators that are illogical to use, and traps at runtime when such operators attempt to instantiate an instance. (#429, kudos to @andersio)

1. `interrupted` now respects `observe(on:)`. (#140)

   When a `SignalProducer` is interrupted, if `observe(on:)` is the last applied operator, `interrupted` would now be delivered on the `Scheduler` passed to `observe(on:)` just like other events.

1. `flatMap(_:transform:)` is renamed to `flatMap(_:_:)`. (#339)

1. `promoteErrors(_:)`is renamed to `promoteError(_:)`. (#408)

1. `Event` is renamed to `Signal.Event`. (#376)

1. `Observer` is renamed to `Signal.Observer`. (#376)

### Action

1. `Action(input:_:)`, `Action(_:)`, `Action(enabledIf:_:)` and `Action(state:enabledIf:_:)` are renamed to `Action(state:execute:)`, `Action(execute:)`, `Action(enabledIf:execute:)` and `Action(state:enabledIf:execute:)` respectively. (#325)

1. Feedbacks from `isEnabled` and `isExecuting` to the state of the same `Action`, including all `enabledIf` convenience initializers, no longer deadlocks. (#400, kudos to @andersio)

   Note that legitimate feedback loops would still deadlock.

1. Added new convenience initialisers to `Action` that make creating actions with state input properties easier. When creating an `Action` that is conditionally enabled based on an optional property, use the renamed `Action.init(unwrapping:execute:)` initialisers. (#455, kudos to @sharplet)

### Properties
1. The memory overhead of property composition has been considerably reduced. (#340)

1. `MutableProperty` now enforces exclusivity of access. (#419, kudos to @andersio)

   In other words, nested modification in `MutableProperty.modify` is now prohibited. Generally speaking, it should have extremely limited impact as in most cases the `MutableProperty` would have been deadlocked already.

1. `ValidationResult` and `ValidatorOutput` have been renamed to `ValidatingProperty.Result` and `ValidatingProperty.Decision`, respectively. (#443)

### Bindings
1. The `BindingSource` now requires only a producer representation of `self`. (#359)

1. The `<~` operator overloads are now provided by `BindingTargetProvider`. (#359)

### Disposables
1. `SimpleDisposable` and `ActionDisposable` has been folded into `AnyDisposable`. (#412)

1. `CompositeDisposable.DisposableHandle` is replaced by `Disposable?`. (#363)

1. The `+=` operator overloads for `CompositeDisposable` are now hosted inside the concrete types. (#412)

### Bag

1. Improved the performance of `Bag`. (#354)

1. `RemovalToken` is renamed to `Bag.Token`. (#354)

### Schedulers

1. `Scheduler` gains a class bound. (#333)

### Lifetime

1. `Lifetime.ended` now uses the inhabitable `Never` as its value type. (#392)

### Atomic

1. `Signal` and `Atomic` now use `os_unfair_lock` when it is available. (#342)

## Additions
1. `FlattenStrategy.race` is introduced. (#233, kudos to @inamiy)

   `race` flattens whichever inner signal that first sends an event, and ignores the rest.

1. `FlattenStrategy.concurrent` is introduced. (#298, kudos to @andersio)

   `concurrent` starts and flattens inner signals according to the specified concurrency limit. If an inner signal is received after the limit is reached, it would be queued and drained later as the in-flight inner signals terminate.

1. New operators: `reduce(into:)` and `scan(into:)`. (#365, kudos to @ikesyo)
 
   These variants pass to the closure an `inout` reference to the accumulator, which helps the performance when a large value type is used, e.g. collection.

1. `combinePrevious` for `Signal` and `SignalProducer` no longer requires an initial value. The first tuple would be emitted as soon as the second value is received by the operator if no initial value is given. (#445, kudos to @andersio)

1. New operator: `promoteValue`. (#429)

1. `promoteError` can now infer the new error type from the context. (#413, kudos to @andersio)

1. `Property(initial:then:)` gains overloads that accept a producer or signal of the wrapped value type when the value type is an `Optional`. (#396)

### Swift 3.2+

1. In Swift 3.2 or later, you can use `map()` with the new Smart Key Paths. (#435, kudos to @sharplet)

1. In Swift 3.2 or later, you may create `BindingTarget` for a key path of a specific object. (#440, kudos to @andersio)

## Deprecations and Removals
1. The requirement `BindingSource.observe(_:during:)` and the implementations have been removed.

1. All Swift 2 (ReactiveCocoa 4) obsolete symbols have been removed.

1. All deprecated methods and protocols in ReactiveSwift 1.1.x are no longer available.

## Bugfixes
1. Fixed an impedance mismatch in the `Signal` internals that caused heap corruptions. (#449, kudos to @gparker42)

1. Mitigated a race condition related to ARC in the `Signal` internal. (#456, kudos to @andersio)


## Acknowledgement

Thank you to all of @ReactiveCocoa and all our contributors, but especially to @andersio, @calebd, @cwalcott, @eimantas, @erwald, @gparker42, @ikesyo, @Igor-Palaguta, @inamiy, @keitaito, @Marcocanc, @mdiep, @NachoSoto, @sharplet, @stephencelis, @stevebrambilla and @tjnet. ReactiveSwift is only possible due to the many hours of work that these individuals have volunteered. ❤️",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7125524/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7125524,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.0.0,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.0,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.0.0,2.0.0,False,False
7013401,2017-07-12T13:05:31Z,2017-07-12T13:08:51Z,1.1.5,"This is a maintenance release of ReactiveSwift 1.1. It is compatible with Swift 3.

## Fixed
* A compile error with Xcode 9ß3 (#484, thanks @stephencelis!)",https://api.github.com/users/mdiep,1302,mdiep,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7013401/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7013401,1.x-maintenance,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/1.1.5,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/1.1.5,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/1.1.5,1.1.5,False,False
7012893,2017-07-12T12:27:07Z,2017-07-12T12:30:49Z,1.1.4,This is a maintenance release of ReactiveSwift 1.1. It is compatible with Swift 3.0 and 3.1.,https://api.github.com/users/mdiep,1302,mdiep,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7012893/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7012893,1.x-maintenance,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/1.1.4,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/1.1.4,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/1.1.4,1.1.4,False,False
7009636,2017-07-12T07:51:50Z,2017-07-12T07:53:42Z,2.0.0 Release Candidate 3,"This is the third release candidate of ReactiveSwift 2.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

## Changes
1. Updated for Swift 4.0 shipped with Xcode 9 beta 3. (#484, kudos to @stephencelis)

1. `Lifetime.+=` which ties a `Disposable` to a `Lifetime`, is now part of the public API and is no longer deprecated.

1. Feedbacks from `isEnabled` to the state of the same `Action` no longer deadlocks if it does not constitute an infinite feedback loop. (#481, kudos to @andersio)

   Note that `isExecuting` already supports `Action` state feedback, and legitimate feedback loops would still deadlock.
",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7009636/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/7009636,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.0.0-rc.3,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.0-rc.3,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.0.0-rc.3,2.0.0-rc.3,False,True
6941867,2017-07-05T18:59:19Z,2017-07-05T19:00:43Z,2.0.0 Release Candidate 2,"This is the second release candidate of ReactiveSwift 2.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

### Bugfix

1. Fixed a deadlock upon disposal when combining operators, i.e. zip and combineLatest, are used. (#471, kudos to @stevebrambilla for catching the bug)
",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/6941867/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/6941867,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.0.0-rc.2,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.0-rc.2,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.0.0-rc.2,2.0.0-rc.2,False,True
6845586,2017-06-27T07:38:42Z,2017-06-27T07:46:26Z,2.0.0 Release Candidate 1,"This is the first release candidate of ReactiveSwift 2.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

## Changes
1. If the input observer of a `Signal` deinitializes while the `Signal` has not yet terminated, an `interrupted` event would now be automatically sent. (#463, kudos to @andersio)

1. `ValidationResult` and `ValidatorOutput` have been renamed to `ValidatingProperty.Result` and `ValidatingProperty.Decision`, respectively. (#443)

1. Mitigated a race condition related to ARC in the `Signal` internal. (#456, kudos to @andersio)

## Addition

1. Added new convenience initialisers to `Action` that make creating actions with state input properties easier. When creating an `Action` that is conditionally enabled based on an optional property, use the renamed `Action.init(unwrapping:execute:)` initialisers. (#455, kudos to @sharplet)",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/6845586/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/releases/6845586,master,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/tarball/2.0.0-rc.1,https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.0-rc.1,https://api.github.com/repos/ReactiveCocoa/ReactiveSwift/zipball/2.0.0-rc.1,2.0.0-rc.1,False,True
