id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7579547,2017-08-29T12:28:06Z,2017-08-30T19:15:04Z,Selenium 3.5.3,"<li><a href=""https://github.com/seleniumhq/selenium/commit/91eb004d230d8d78ec97180e66bcc7055b16130f"">Fix wrapping of maps with null values. Fixes #3380</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/732a5ad9e39f0b7d0d699b0eaa204c14b51aea40"">Unused imports</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/5285ef6ae55bd9a28085f2c9b54aa87faebeb883"">Unused import</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/de65bafb68f93fe183f370d6e3f4665746524c89"">Linking ignored tests to the corresponding issue</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9be6e6eacd15c44faf2c8704f73b662f84cdd31e"">Fixing encoding of payload passed by hub to a node</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/1f25db90aa527bb9cd1ed0de3e1b141c8b1144b8"">Move `ActiveSession` and `Session` even closer</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/198735f592bb88151cb894a3e01cc396fe8c7e4b"">Implement screenshot saving for InMemorySession</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/a4eda2568bad46b78ac2c1dafb31b434b4013885"">Remove unused field</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/ab385555fadc9185a4a3619f62e01b872c0675a8"">[py] convert OSS capabilities to W3C equivalent for W3C payload</a> :: lmtierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/58fffa6aa26ef9274f56c08f39e17b147c609fd5"">[py] add IE Options class</a> :: lmtierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/466c084ded575ef20e1917abf577cc3cd9416b9f"">[py] allow IE WebDriver to accept IE Options</a> :: lmtierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/3e0e6ffc2d7d6d70e71c5a33980e4e26523a47c2"">Add temporary iOS platform to aid W3C migration (#4559)</a> :: Luke Inman-Semerau</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/915823244742a8bb37d876ce27319b08466ea83e"">remove unnecessary pytest marking, address flake8 issues</a> :: Lucas Tierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/cd10cae4ca1fba833948cad3e12507f338c2208e"">Make Chrome driver aware of touch actions</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/38e4a10040e0a4f3fc64e9b3a4814ee9acc2282d"">Fix incorrect documentation for Chrome emulation</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/7a197cce08e47d052112e1339fc4cddea6fc1ea8"">Allow passing speed to flick action</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/3e1bac65e8b09a4e300ddde8b89ff2ce5f75c008"">Don't print mouse/key deprecations on using TouchActionBuilder</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/6afbc2e41055ff92f2bc0b84df291449c7c77c6c"">Ignore difference in browser handling of links with the same blank target</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/19408132593577014e28ddab5f7053019e4fc001"">Synchronizing ""platform"" and ""platformName"" capability values. Fixes #4565</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4a3ec2d5bbc44ca258f5a9d71c82835de319cffa"">Defending against chromedriver that sometimes returns null value as the result of findElements operation. See #4555</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/0e801b26098468173691e3b572631b939c9d6f8a"">No logical change: minor java 8 syntax tweak</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/2be28288db4be6ab7d31996bc0b200f20490d257"">Prevent a Grid Hub blindly assuming 404 == dead session</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/13c1113d990a437bf214a119a91e43ee27e15609"">[Grid]: Handle poorly formed JSON responses</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/b0b598f8c968f921282258869f5f0b5b5a52f077"">Unignored marionette tests fixed in nightly</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/bf1e8372bc6cb7eff1f7113ac943dc08283da306"">[Grid]: Add a w3c status endpoint for nodes and hubs</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/5c658dfc556170b7d67ab7d8c9971fbff24408c8"">Add a target for running Grid tests</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/52b826234f10c6647301a6604630c481637a5985"">Forgot to wire the GridSupplier into the WebDriverBuilder</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4c97156ceb917b1c78b863724be2ecc99c108132"">Add shortcut targets for running grid tests</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/8d7004002fea7cc1b1a6ceb9d8f454f45cf2fdbf"">Grid tests are also remote tests</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/cfebaadb72a424e7674df0250f6d67470fc6c400"">Actions: correctly fill sequences</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/7e034d949f2a04cc32acaaefda0c42a703a06793"">Fixing javadoc to match OSS spec</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/07eb380981093b8bd844775f23cbd724643ac614"">Linking ignored tests to bug reports</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/7e6e03d8e1dfb591447392d33b1b8d8abc7e4490"">Adding a new test inspired by issue #578. Driver should be able to set page load timeout once and handle sequential pages with load timeouts.</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/6c37bb464f4a8dce31062200f780b9d10e783c81"">Ensure DriverService instances found by ServiceLocators are used</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/1da22d48ae8dc3c34747423f799e2a33bd498539"">ActiveSession: allow new factories to be bound</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/870a5c07cf4c86bd5447ba24f3aa4281a23b3ba5"">Add new test into test suite</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/30ebe6ed32e701e59a5cdfe726caa2b47b74614b"">Adding tests for focus and blur events inspired by #825</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/1bd61c06a0bcc37aac266af5e314c2add1feb46f"">Ignoring just added tests in marionette</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/fb2f4977138d2cad57918c377d76b332a04c262a"">Ignoring recently added test in legacy Firefox driver</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/59d5019204be37958fd23d7cceefe2b59ca917bd"">Fixing a grid test: two new status servlets were added recently</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/60fc2d44de742917365193a5af7dc57d26969af2"">Oops, there are two checks in this test, only one was fixed in the previous commit</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/c95b44bc096c615ae11324a63da24925a4ac4b37"">Linking ignored test to bug report</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9731d698c7145d668ea9012d328afdf892ebeb7b"">Return toReturn.</a> :: GitHub</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/7dec9f12c33023afe9be95eda1c068479afe07a5"">Adding tests for executeScript that returns recursive structures</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/95f25152c54239fddc74ce64eb02e146222b17ea"">Grid tests need geckodriver apparently</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/18791bdffcd52a43f3f4ea522b26de48623fa107"">Ignoring failed tests</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4e5969142b2ee464d6852124b80c08301d5c0326"">Adding a test for click to an element partially (>50%) hidden by overflow</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/77ae1f87a01e97a9978a0643e40a31c877fbe8a7"">Implementing ability to ignore tests in grid environment</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/ce962bd842173f1215c6bb04a41038fdb265dbe3"">Bump Java version number to 3.5.3</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/1080c9107c472e9a069fdd9eeb7121182fabc43c"">All Platforms have a family.</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/bd255ec3469af5dcc813a5bf46ae349772a44a53"">Avoid throwing an exception in RemoteWebDriver.toString()</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/f4a22f2d6139482d4e878bfc0975f8b5d09c1dad"">A Platform family returns `null` from `getFamily`</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/d9a3d3f4dec7f6ad96643f1b79c9c37b87059153"">Update java release targets</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/a88d25fe6b71a9b200480374462078614f5319ac"">Update java changelog one last time</a> :: Simon Stewart</li> ",https://api.github.com/users/ddavison,2972876,ddavison,https://api.github.com/repos/SeleniumHQ/selenium/releases/7579547/assets,https://api.github.com/repos/SeleniumHQ/selenium/releases/7579547,master,https://api.github.com/repos/SeleniumHQ/selenium/tarball/selenium-3.5.3,https://github.com/SeleniumHQ/selenium/releases/tag/selenium-3.5.3,https://api.github.com/repos/SeleniumHQ/selenium/zipball/selenium-3.5.3,selenium-3.5.3,False,False
7579543,2017-08-21T17:22:24Z,2017-08-30T19:14:43Z,Selenium 3.5.2,"<li><a href=""https://github.com/seleniumhq/selenium/commit/ad33a8d29817a4b61f7d64bffd46dc3e37aafa89"">Handle stacktrace from legacy Firefox driver</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/5743d45e850589261da3b9106a81a3959f92ee32"">Deprecate Alert#authenticate</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/fe0476d04e08e8d1f0e6aef387ecbda826893189"">Updating Java CHANGELOG for version 3.5. Fixes #3877</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4be56fb32fb87ccef026abb372e481c38303a0a9"">Unignoring a bunch of tests in marionette, file uploading and d-n-d work now</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/e377b92308ab9b2e2fef875290205d84f5936cfd"">Ensure we append text to the end of content editables.</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/209cb2bbc1b5cc2927db80333ae3d235558ee551"">Move the content editable test into ContentEditableTest</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/212c6df3537aee442af9ab9cb98ea4454810ee8f"">Mark content editable tests as not yet implemented</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/0a4ccb9c679767803b053430005c4e98b9dd519f"">Safari returns ""macOS"" as the platform</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/5729dfde869d1143e483568529c11d87438e4d3a"">This test requires a fresh browser in marionette too</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9a6a79c1033c68ef353062d72e5e3131ba0dbc24"">Ignore rules should recognize Edge</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9a4f5fd8c9c7c8ee027f8f62e7a000fe42fea76c"">A temporarily solution: official littleproxy release is not compatible with guava 22. We use littleproxy just to run ProxySettingTest in Java, so it's safe enough to use a custom build that fixes guava incompatibility.</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/d25d9664864654e02c22cfb4b9491f5796f3a729"">Updating IE driver atoms to properly return element position</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/312a8afce4b7822404037741b445aa531f3ba3b2"">Updating IE driver prebuilts for 3.5.1 point-release</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/afdf13b849e3d9d104dd3f6a4f24c82989826d76"">Implementing /wd/hub/sessions endpoint in selenium server</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/5bf5a90a7e390d02e5cfc9847e4cb5563804752e"">Add the `/file` endpoint to the new server</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/8db389076bd2d5b4384345777908d9b4f8ec2c12"">Creating temp dir for files uploaded to remote server.</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4b3bfa7615d31a5b978f884918055111952fb7e3"">[py] Add Safari to API docs [skip ci]</a> :: Dave Hunt</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/7e8fc51ed07340d053379dbb504a853f35d7be49"">Remove unused import.</a> :: GitHub</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/90cfe356742aaf80adef2316c5648e905fcb59f2"">[js] Add a new ElementNotInteractableError</a> :: Jason Leyba</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/f9aa0e2ebcd64f757f5f6723830cc8a70228332f"">[js] Update examples & docs to not rely on btnG on the Google search page</a> :: Jason Leyba</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/d4eb9a2f230a9c25a6e2ca5314eff28fb50722df"">Migrate from GSON to our own serializer/deserializer</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/6574275719f5d350118aced006e826cbbfa8a06d"">More migration to our own JSON serialisers</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/d834a3077342e9ea327ff46d0081b96ed8c964da"">InMemorySession does not need a second tempfs</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/60480b0460aec3a8956a78c15adcccf4db58dc54"">Move Session and ActiveSession closer</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/1df7898bab64d4ed3dc8bab3981ee2c2e0f90cff"">Attempt to avoid sending doubles instead of longs in JSON</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/b954014cb94c58ae9eee15773e293b5f2e047996"">Bump Java version to 3.5.2</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/e7dc2c37ed3558d379fd45a7f09f55b49d6453ad"">Correct the CHANGELOG</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/21ac65f9602b646c4b189c3a79e1ba36807d1693"">More CHANGELOG shenanigans</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/10229a90206eab5be67d051d9a35eeab302fe39d"">Once more updating version numbers</a> :: Simon Stewart</li> ",https://api.github.com/users/ddavison,2972876,ddavison,https://api.github.com/repos/SeleniumHQ/selenium/releases/7579543/assets,https://api.github.com/repos/SeleniumHQ/selenium/releases/7579543,master,https://api.github.com/repos/SeleniumHQ/selenium/tarball/selenium-3.5.2,https://github.com/SeleniumHQ/selenium/releases/tag/selenium-3.5.2,https://api.github.com/repos/SeleniumHQ/selenium/zipball/selenium-3.5.2,selenium-3.5.2,False,False
7579538,2017-08-16T18:01:10Z,2017-08-30T19:14:17Z,Selenium 3.5.1,"<li><a href=""https://github.com/seleniumhq/selenium/commit/e09e28f016c9f53196cf68d6f71991c5af4a35d4"">[rb] update ruby changelog for 3.5.0</a> :: Lucas Tierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/cf857141b96bb2a9696223dc01937dee95f5dfa2"">[rb] fix ie options param in docs [ci skip]</a> :: Lucas Tierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/ff38353f1432a0ab6abce0e78b1e4b0e70c7819f"">update AUTHORS</a> :: Lucas Tierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/f1dd68b815a5e6291a4a5b6608ed314582166d79"">Updating IE driver resources for impending 3.5 release</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/385f9489d6762e75f2f9daffe9d96c3bbd68ffee"">Updating .NET CHANGELOG for 3.5 release</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/1d603d58da5d9ce0b4e9a9ab6dcb9acee4608cf9"">allow rb IE test failure on Appveyor</a> :: Lucas Tierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/2f6f60fc6a4ed702caf34b53884158378a942919"">Unignoring tests for Safari on .NET</a> :: Jim</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9cf3a4b90b469ad3be17e792d4f7db998236b00e"">Deleting PhantomJS jobs from travis</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/60e8255c68d568ab504d9afbd62dab302a85d0b2"">Deleting python 3.4 and 3.5 unit test jobs from travis</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/7b81ced5464799587fc582fb5e5bb8560098fab2"">Undeprecating pause action, it's a legit W3C compatible action now.</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/64ebe723f3604b4881bdbea481f3a0ffb96bd6d8"">A dirty hack that allows 32-bit Java to find location of 64-bit program files on windows. Fixes #3525</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/50f9bb1c129407d0f392e9ecebd2181edc20f3df"">Fixing javadoc for JavascriptExecutor, it can return maps. Fixes #3599</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/c81a3f3ff3ed0879a3d6500429b8dbda1b6763c4"">Ignoring tests in legacy firefox, the related issue closed but not fixed.</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/fb3d4c43faa9aa885123d813e56bb87f6be52d19"">Unignoring tests in marionette, new firefox nightly fixed the issue with capabilities</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/3291605f264f388940eef73009482d3a11ffd462"">Unignoring one more test in marionette, and fixing calls to deprecated methods.</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/fcd010d882e1281e7077023a41ee5e4675290637"">More aggressive use of mocks in EventFiringWebDriver tests</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/b932200978b8c6fa11cfd6652d355e411e09f84f"">Wrapping result of executeScript in EventFiringWebDriver. Fixes #3380</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/846c3ae04db6515c605070488db2ba420ce48704"">Checking for interface instead of a concrete class in element to json converter. Fixes #3047</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/c283923f88fb65deb446fb206651e10e44b75574"">bumping guava to 23, have to set the maven version explicitly because guava apparently doesn't know how to use maven either! yay!</a> :: Luke Inman-Semerau</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/ac0a5b572bb36e512b12045fa1e7fd89e6993a9c"">Increasing Java heap space available for buck to 2GB</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/fa7d32ffa819a1350ef85350aa5efc28fc344119"">Read stdout/stderr of child process on JRuby</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/e2e3ea41f6be517a8e88c5df820f0e348c4ba25f"">Updating .NET projects to use Visual Studio 2017</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/3690155ae9fd9e7d2dd0c9ac70cada0725663f99"">Removing unused source file from .NET</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/e3536727c1d7290f87b7192ffbba5eb1c823c670"">Removing deprecated screenshot formats in .NET</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9e5a64018aa7eb34be60510fd2c33c8a9fc0caf7"">Removing deprecated IsJavaScriptEnabled property from .NET</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/27ca9703667d5c5fbbaceff580ba7ffcc5ac6f3b"">Suppressing static analysis warnings</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/0722dbcc66f91c09fe1bc84bf7f952a6ddfa5cfc"">Updating .NET Visual Studio 2017 projects to use NUnit Test Adapter</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4ce57f6fa1b04ed3acc35dc69264f37df99a39bb"">Adding ability to detect spec-compliant capabilities in .NET</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/08954de1db7ddeb8f03cf855f504866da162c627"">Adding ability to run Edge via remote in .NET tests</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/e529d0a9e151a563e8a0959728a5432047d9b38f"">Adding new session remote tests for .NET</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/43517271ff159203f3af9cbed8ff52c828a0da37"">Updating .editorconfig to work with Visual Studio 2017</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/04988354babe0052165eb909cfe6475e92ca2a6f"">Updating C++ projects to work with Visual Studio 2017</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/3b74ce2d69e6450b9d41220526445f1e4c6fefde"">Bumping version resources and CHANGELOG for .NET 3.5.1 point-release</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/a506ad27c91ebdb5714d908fe3afd25cc0ad726b"">Fixing guava version in eclipse and IDEA project files</a> :: Alexei Barantsev</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/f49083f178adb53a2d40c2450d73dfc9de9fdd08"">Bump java version to 3.5.1</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/88e08c8ae0b65970fda25b4b7e28bb862a73155e"">Handle null values in stack traces when marshalling exceptions</a> :: Simon Stewart</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/eed161ce5a96da52c90a7a070de552fad38fb808"">Allow non-local connections.</a> :: GitHub</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/b4720fcaa45a8e71390ac78c932ed595fcd157fe"">Initial support for .NET Core</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/3c69c54b596d99b10cca1c132697ac64206c5bd6"">Release selenium-webdriver 3.5.1</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/f4bd516f1e73b03d6c8ebeb9fb6e682bad3ad19a"">Correctly process driver stacktrace upon error</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/dab663db4a110f0bacc8eac826b9530c7a4e9073"">Enable debug mode when DEBUG environment variable is set</a> :: Alex Rodionov</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/4cf028acb2331b747f2eb6395fc344effe8226c9"">Fix node Options documentation (#4479)</a> :: Lucas Tierney</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/d453c86bfc74a9c2730fa638288624a78d3492b3"">Updating .NET FirefoxOptions to not force specifying binary location</a> :: Jim Evans</li> 
<li><a href=""https://github.com/seleniumhq/selenium/commit/9c21bb67ef9c4aa1d8577d1638e7a885e5b087e7"">Accept negative default window position.</a> :: GitHub</li> ",https://api.github.com/users/ddavison,2972876,ddavison,https://api.github.com/repos/SeleniumHQ/selenium/releases/7579538/assets,https://api.github.com/repos/SeleniumHQ/selenium/releases/7579538,master,https://api.github.com/repos/SeleniumHQ/selenium/tarball/selenium-3.5.1,https://github.com/SeleniumHQ/selenium/releases/tag/selenium-3.5.1,https://api.github.com/repos/SeleniumHQ/selenium/zipball/selenium-3.5.1,selenium-3.5.1,False,False
