id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6922051,2017-07-04T09:01:08Z,2017-07-04T09:04:54Z,v3.2.0,"* Fixed editing rect size when clear button is present to no overlap [#148](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/148)
* Added `titleFont` as open var to set another font in `titleLabel` [#141](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/141). Thanks to [@rabenson](https://github.com/rabenson) and [@rubenadlm](https://github.com/rubenadlm).
",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/6922051/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/6922051,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v3.2.0,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v3.2.0,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v3.2.0,v3.2.0,False,False
6119097,2017-04-19T08:34:16Z,2017-04-19T08:35:18Z,v3.1.0,"### Improvements

* Made `isLTRLanguage` `open` so it can actually be set by users [#121](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/121).
* Silence warnings due to `M_PI` being deprecated in Xcode 8.3 [#116](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/116). Thanks to [@z3bi](https://github.com/z3bi).
* Adds UIAppearance support [#118](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/118). Thanks to [mwfire](https://github.com/mwfire).
* Fix for RTL issue while editing texts [#126](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/126). Thanks to [@mehrdadmaskull](https://github.com/Mehrdadmaskull)

### No Functional Change

* Added swiftlint and cleaned up the source code to conform with it [#125](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/125). Thanks to [@moogle19](https://github.com/moogle19)
",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/6119097/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/6119097,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v3.1.0,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v3.1.0,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v3.1.0,v3.1.0,False,False
5662530,2017-03-07T11:18:44Z,2017-03-07T11:21:17Z,v3.0.0,"
### Breaking

Change implementation of amimation callbacks to include boolean completed flag.

#### Before
```swift
textfield.setTitleVisible(false, animated: true) {
	// Perform callback actions
}
```

#### Now

```swift
textfield.setTitleVisible(false, animated: true) { completed in
	// Perform callback actions using completed flag
}
```

See (#112)[https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/112]",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/5662530/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/5662530,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v3.0.0,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v3.0.0,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v3.0.0,v3.0.0,False,False
5175685,2017-01-16T23:02:08Z,2017-01-16T23:04:51Z,v2.0.1,"- Added `@discardableResult` to `becomeFirstResponder` and `resignFirstResponder`. This silences Xcode warnings about unused results of those functions and brings the implementation closer to the iOS API [#98](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/98). Thanks to [bennokress](https://github.com/bennokress)
- Disable `GCC_GENERATE_TEST_COVERAGE_FILES` and `GCC_INSTRUMENT_PROGRAM_FLOW_ARCS` in release configs. This was causing rejections when submitting to Apple when the library is integrated manually or with Carthage [#97](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/97). Thanks to [vytautasgimbutas](https://github.com/vytautasgimbutas)
",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/5175685/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/5175685,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v2.0.1,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v2.0.1,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v2.0.1,v2.0.1,False,False
4856629,2016-12-07T15:03:08Z,2016-12-07T15:04:04Z,v2.0.0 Swift 3 support 🎉,"- Adds swift 3 support. Thanks to [@DenHeadless](https://github.com/DenHeadless). See [#67](https://github.com/Skyscanner/SkyFloatingLabelTextField/pull/67)
",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/4856629/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/4856629,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v2.0.0,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v2.0.0,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v2.0.0,v2.0.0,False,False
4793131,2016-11-30T10:40:56Z,2016-11-30T10:45:39Z,Fix release for CocoaPods,"The tag pointed to in .podspec was not updated in the 1.3 release causing it to still point to 1.2.1 instead of 1.3. This release fixes that and correctly points the podspec to the right git tag.
",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/4793131/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/4793131,swift-2.3,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v1.3.1,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v1.3.1,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v1.3.1,v1.3.1,False,False
4792557,2016-11-30T09:37:41Z,2016-11-30T09:39:35Z,V1.3 Swift 2.3 support,"- Adds support for Swift 2.3. Thanks to okipol88. See #69
- Adds support for iOS 7. Thanks to acecilia. See #51
",https://api.github.com/users/k0nserv,1333960,k0nserv,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/4792557/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/4792557,swift-2.3,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v1.3,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v1.3,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v1.3,v1.3,False,False
3263735,2016-05-19T17:52:49Z,2016-05-19T17:53:18Z,v1.2.1,"Bugfix: title was blinking when tapping the textfield.
",https://api.github.com/users/gergelyorosz,1094502,gergelyorosz,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/3263735/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/3263735,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v1.2.1,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v1.2.1,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v1.2.1,v1.2.1,False,False
3073065,2016-04-21T21:23:18Z,2016-04-21T21:27:59Z,v1.2.0,"- Added RTL language support
- Changed the behaviour of `errorMessage`, removing unnecessary business logic.
  - Before this change there was some ""hidden"" business logic around the resetting of errorMessage, namely:
    - Whenever the control was selected by a user, it got cleared (becomeFirstResponder invoked)
    - Whenever the text changed, it also got reset (when `textField(textField:,range:string:)` was invoked)
  - After this change what's different:
    - The errorMessage is no longer reset by any text or focus changes. If a developer sets this message, the error will be displayed, until this property is cleared. To implement the previous functionality, just subscribe to the `textField(textField:,range:string:)` event on the delegate
    - As a side effect of this, the workaround of double-invoking `textField(textField:,range:string:)` has been removed, fixing the bug raised by [this Issue](https://github.com/Skyscanner/SkyFloatingLabelTextField/issues/27)
",https://api.github.com/users/gergelyorosz,1094502,gergelyorosz,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/3073065/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/3073065,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v1.2.0,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v1.2.0,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v1.2.0,v1.2.0,False,False
2961084,2016-04-06T06:43:04Z,2016-04-06T06:43:48Z,v1.1.1,"- Bugfix: setting the error message via the `textField?(shouldChangeCharactersInRange:replacementString:)` method is now possible
- Added example on how to use the control from Objective C
",https://api.github.com/users/gergelyorosz,1094502,gergelyorosz,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/2961084/assets,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/releases/2961084,master,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/tarball/v1.1.1,https://github.com/Skyscanner/SkyFloatingLabelTextField/releases/tag/v1.1.1,https://api.github.com/repos/Skyscanner/SkyFloatingLabelTextField/zipball/v1.1.1,v1.1.1,False,False
