id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6754040,2017-06-19T06:20:23Z,2017-06-19T07:14:19Z,Robo 3T 1.1 with MongoDB 3.4 Support,"https://robomongo.org/download
http://blog.robomongo.org/robomongo-1-1/

    New Features:
      - MongoDB 3.4 support
      - New NumberDecimal (Decimal128) data type support
      - ECMAScript 2015 aka ES6 Support (Modernized JavaScript Implementation)
      - Re-naming from Robomongo to Robo 3T

    Improvements & Fixes:
      - Stability Improvements: Fix included to prevent a crash on MACOS Sierra
      - Shell timeout is configurable on UI now 'Options->Change Shell Timeout'
      - Fix for Robomongo Shell Timeout Issue (silently, prematurely finishing long lasting scripts) 
      - Security Improvements: OpenSSL version upgrade to openssl-1.0.1u (22-Sep-2016)
      - Tool chain upgrades: Modern C++14 features are enabled and usable for developers

    Notes: 
      - Currently this beta has known issues with Centos, it may not start/work on Centos 6 and 7.",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6754040/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6754040,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v1.1.1,https://github.com/Studio3T/robomongo/releases/tag/v1.1.1,https://api.github.com/repos/Studio3T/robomongo/zipball/v1.1.1,v1.1.1,False,False
6627742,2017-06-07T06:34:11Z,2017-06-07T06:40:15Z,Robomongo 1.0.3 - Patch version with crash fix for updates notification bar,"Attempt to prevent MAC OS Sierra crash related to updates notification bar.
",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6627742/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6627742,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v1.0.3-patch,https://github.com/Studio3T/robomongo/releases/tag/v1.0.3-patch,https://api.github.com/repos/Studio3T/robomongo/zipball/v1.0.3-patch,v1.0.3-patch,False,True
6351597,2017-05-12T09:44:17Z,2017-05-12T09:45:54Z,Robomongo 1.1 - Beta version with MongoDB 3.4 Support,"This is a **beta** release for testing and includes the following changes:

    New Features:
      - MongoDB 3.4 Support 
      - New NumberDecimal (Decimal128) data type support
      - ECMAScript 2015 (Modernized JavaScript Implementation aka ES6) Support  

    Improvements:
      - Security Improvements: OpenSSL version upgrade to openssl-1.0.1u (22-Sep-2016)
      - Tool Chain Improvements: Modern C++14 features are enabled 

    Notes: 
      - Currently this beta has known issues with Centos, it may not start/work on Centos 6 and 7.",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6351597/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6351597,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v1.1.0-beta,https://github.com/Studio3T/robomongo/releases/tag/v1.1.0-beta,https://api.github.com/repos/Studio3T/robomongo/zipball/v1.1.0-beta,v1.1.0-beta,False,True
6337257,2017-04-27T15:45:41Z,2017-05-10T11:04:34Z,Robomongo 1.0.2 - Patch version with ECMAScript 2015 (ES6) Support,ECMAScript 2015 (Modernized JavaScript Implementation aka ES6) Support,https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6337257/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6337257,Patch_1.0.2_ES6_Support,https://api.github.com/repos/Studio3T/robomongo/tarball/v1.0.2,https://github.com/Studio3T/robomongo/releases/tag/v1.0.2,https://api.github.com/repos/Studio3T/robomongo/zipball/v1.0.2,v1.0.2,False,True
6192307,2017-04-26T09:20:41Z,2017-04-26T09:22:03Z,Robomongo 1.0,"    New Features:
      - Update Notifications Bar
      - Welcome Tab
      - Welcome Wizard

    Improvements:
      - Replica set name configurable on UI
      - Configuration file system location change
      - ""About Robomongo"" dialog changes
    
    Fixes:
      - Fix to avoid the same set name problem (https://github.com/Studio3T/robomongo/issues/1302)
      - Timestamp value is represented incorrectly (https://github.com/Studio3T/robomongo/issues/1159)
      - Local Timezone shows wrong date (https://github.com/Studio3T/robomongo/issues/501)
      - Time zone shown as ""000:00"" when UTC +00:00 is used as local timezone(https://github.com/Studio3T/robomongo/issues/1309)

More:   http://blog.robomongo.org/robomongo-1-0",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6192307/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6192307,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v1.0.0,https://github.com/Studio3T/robomongo/releases/tag/v1.0.0,https://api.github.com/repos/Studio3T/robomongo/zipball/v1.0.0,v1.0.0,False,False
6192254,2017-02-03T08:02:43Z,2017-04-26T09:17:30Z,Robomongo 1.0-RC1,"    New Features:
      - Replica set support.
      - New 'Attributes' column in connections list window showing connection properties such as 'Replica Set', 'SSL' and 'SSH'.  
      - New operation logging for almost all operations.

    Improvements:
      - Improved error handling (no double error windows) for all fail and success conditions for almost all operations. (i.e. Create, Drop Database,  Create, Edit User, Create, Drop, Duplicate, Rename Collection etc.)
      - Windows size is saved and restored for Edit, View and Insert Document dialogs.
      - Connections are automatically imported from the latest Robomongo version.
      - More informative and adjusted log level prefix strings haven added for log window. (Error, Warn, Info etc..).

More: http://blog.robomongo.org/robomongo-1-rc1/
",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6192254/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6192254,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v1.0.0-rc1,https://github.com/Studio3T/robomongo/releases/tag/v1.0.0-rc1,https://api.github.com/repos/Studio3T/robomongo/zipball/v1.0.0-rc1,v1.0.0-rc1,False,False
6192182,2016-10-06T13:28:20Z,2017-04-26T09:11:45Z,Robomongo 0.9.0,"    New Features:
      - Full size editor with dockable output window.
      - New JSON object context menu items: ""Copy Name"" and ""Copy Path"" are added.
      - New database context menu items: ""Current Operations"" and ""Kill Operation"" are added.
      - Minimize to Tray Icon for Windows.
        
    Other Changes
      - Cloud platforms Compose, mLab and Amazon EC2 were tested and added as supported platforms.
      - Maximize/Restore result button behavior and icon have been improved.
      - For better code quality and code reviews, Robomongo Code Quality and Robomongo Code Review pages have been created.
        https://github.com/paralect/robomongo/wiki/Robomongo-Code-Review
        https://github.com/paralect/robomongo/wiki/Robomongo-Code-Quality

More:   http://blog.robomongo.org/robomongo-0-9-0-final/
",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6192182/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6192182,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v0.9.0,https://github.com/Studio3T/robomongo/releases/tag/v0.9.0,https://api.github.com/repos/Studio3T/robomongo/zipball/v0.9.0,v0.9.0,False,False
6192156,2016-08-16T09:29:18Z,2017-04-26T09:09:34Z,Robomongo 0.9.0 RC10,"    New Features:
      - SSL connections with advanced options are now supported.
      - MongoDB Atlas (Cloud MongoDB) is supported.
      - Cross Platform High DPI enhancements. 
    
    Enhancements:
      - For better security, OpenSSL has been upgraded to OpenSSL 1.0.1p.
      - Qt has been updated from Qt 5.5 to latest Qt 5.7. With this update there are many 
        enhancements including cross platform High DPI support.

More: http://blog.robomongo.org/robomongo-rc10/
",https://api.github.com/users/simsekgokhan,19390749,simsekgokhan,https://api.github.com/repos/Studio3T/robomongo/releases/6192156/assets,https://api.github.com/repos/Studio3T/robomongo/releases/6192156,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v0.9.0-rc10,https://github.com/Studio3T/robomongo/releases/tag/v0.9.0-rc10,https://api.github.com/repos/Studio3T/robomongo/zipball/v0.9.0-rc10,v0.9.0-rc10,False,False
3362459,2016-06-02T20:54:02Z,2016-06-02T20:52:33Z,Robomongo 0.9.0 RC9,"```
  New Features:
    - Create Collection dialog with advanced options.
    - New feature has been added to save/restore window sizes. (#1102)
    - Connection settings from previous versions of Robomongo are 
      now automatically imported starting from Robomongo 0.9.0 RC9. (#1086)
    - Support for querying documents by UUIDs is added, both in legacy and new encoding. (#432)

  Fixed:
    - SSH connection failure to servers on Ubuntu and OS X with the following error:
      ""Resource temporarily unavailable. Error when starting up SSH session: -8""  (#1090)
    - Correct handling of create/drop of databases and collections. (#1083)
```

Read detailed blog post about this release:
http://blog.robomongo.org/robomongo-rc9
",https://api.github.com/users/schetnikovich,678660,schetnikovich,https://api.github.com/repos/Studio3T/robomongo/releases/3362459/assets,https://api.github.com/repos/Studio3T/robomongo/releases/3362459,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v0.9.0-rc9,https://github.com/Studio3T/robomongo/releases/tag/v0.9.0-rc9,https://api.github.com/repos/Studio3T/robomongo/zipball/v0.9.0-rc9,v0.9.0-rc9,False,False
3041042,2016-04-18T10:59:02Z,2016-04-18T11:00:41Z,Robomongo 0.9.0 RC8,"What's new:
[http://blog.robomongo.org/robomongo-rc8]()
",https://api.github.com/users/schetnikovich,678660,schetnikovich,https://api.github.com/repos/Studio3T/robomongo/releases/3041042/assets,https://api.github.com/repos/Studio3T/robomongo/releases/3041042,master,https://api.github.com/repos/Studio3T/robomongo/tarball/v0.9.0-rc8,https://github.com/Studio3T/robomongo/releases/tag/v0.9.0-rc8,https://api.github.com/repos/Studio3T/robomongo/zipball/v0.9.0-rc8,v0.9.0-rc8,False,False
