id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7952233,2017-09-30T16:03:28Z,2017-09-30T16:04:53Z,6.0.0,Add support for Swift 4 and Xcode 9,https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/7952233/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/7952233,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/6.0.0,https://github.com/Thomvis/BrightFutures/releases/tag/6.0.0,https://api.github.com/repos/Thomvis/BrightFutures/zipball/6.0.0,6.0.0,False,False
7135874,2017-07-23T10:48:24Z,2017-07-23T10:50:36Z,6.0.0-beta.1: Xcode 9 / Swift 4,Adds support for Swift 4 and Xcode 9,https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/7135874/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/7135874,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/6.0.0-beta.1,https://github.com/Thomvis/BrightFutures/releases/tag/6.0.0-beta.1,https://api.github.com/repos/Thomvis/BrightFutures/zipball/6.0.0-beta.1,6.0.0-beta.1,False,True
5945911,2017-04-01T15:45:11Z,2017-04-01T16:01:38Z,5.2.0,Adds support for Swift 3.1 and Xcode 8.3,https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/5945911/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/5945911,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/5.2.0,https://github.com/Thomvis/BrightFutures/releases/tag/5.2.0,https://api.github.com/repos/Thomvis/BrightFutures/zipball/5.2.0,5.2.0,False,False
4581576,2016-11-05T19:05:09Z,2016-11-05T19:05:50Z,5.1.0,"Adds compatibility with the Swift Package Manager
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/4581576/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/4581576,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/5.1.0,https://github.com/Thomvis/BrightFutures/releases/tag/5.1.0,https://api.github.com/repos/Thomvis/BrightFutures/zipball/5.1.0,5.1.0,False,False
4158364,2016-09-17T07:28:31Z,2016-09-17T07:33:52Z,5.0.1,"Compatible with Swift 3 / Xcode 8
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/4158364/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/4158364,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/v5.0.1,https://github.com/Thomvis/BrightFutures/releases/tag/v5.0.1,https://api.github.com/repos/Thomvis/BrightFutures/zipball/v5.0.1,v5.0.1,False,False
4099779,2016-09-11T15:41:59Z,2016-09-11T15:43:02Z,5.0.0-beta.3,"This beta brings support for Xcode 8 GM.
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/4099779/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/4099779,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/v5.0.0-beta.3,https://github.com/Thomvis/BrightFutures/releases/tag/v5.0.0-beta.3,https://api.github.com/repos/Thomvis/BrightFutures/zipball/v5.0.0-beta.3,v5.0.0-beta.3,False,True
4044663,2016-09-03T11:51:31Z,2016-09-03T12:02:07Z,5.0.0-beta.2,"This beta brings compatibility with Xcode 8 beta 6.
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/4044663/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/4044663,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/v5.0.0-beta.2,https://github.com/Thomvis/BrightFutures/releases/tag/v5.0.0-beta.2,https://api.github.com/repos/Thomvis/BrightFutures/zipball/v5.0.0-beta.2,v5.0.0-beta.2,False,True
3880897,2016-08-13T11:06:56Z,2016-08-13T11:21:24Z,5.0.0-beta.1: Preliminary Swift 3 Support,"- Removes Queue and Semaphore in favor of DispatchQueue and DispatchSemaphore
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/3880897/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/3880897,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/v5.0.0-beta.1,https://github.com/Thomvis/BrightFutures/releases/tag/v5.0.0-beta.1,https://api.github.com/repos/Thomvis/BrightFutures/zipball/v5.0.0-beta.1,v5.0.0-beta.1,False,True
3806484,2016-08-03T20:01:31Z,2016-08-03T20:02:14Z,4.1.1,"Adds support for Swift 2.3 and Xcode 8 (tested with beta 4)
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/3806484/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/3806484,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/v4.1.1,https://github.com/Thomvis/BrightFutures/releases/tag/v4.1.1,https://api.github.com/repos/Thomvis/BrightFutures/zipball/v4.1.1,v4.1.1,False,False
3301570,2016-05-25T10:21:17Z,2016-05-25T10:22:56Z,4.1.0,"- [FIX] AsyncType.delay() now correctly starts the delay after the AsyncType has completed, which was the intended behavior. This fix can be breaking if you depended on the faulty behavior. (https://github.com/Thomvis/BrightFutures/pull/139, thanks peyton!)
",https://api.github.com/users/Thomvis,134170,Thomvis,https://api.github.com/repos/Thomvis/BrightFutures/releases/3301570/assets,https://api.github.com/repos/Thomvis/BrightFutures/releases/3301570,master,https://api.github.com/repos/Thomvis/BrightFutures/tarball/v4.1.0,https://github.com/Thomvis/BrightFutures/releases/tag/v4.1.0,https://api.github.com/repos/Thomvis/BrightFutures/zipball/v4.1.0,v4.1.0,False,False
