id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6116239,2017-04-19T00:14:14Z,2017-04-19T00:16:00Z,TDB 335.63,"### ![3.3.5](https://img.shields.io/badge/branch-3.3.5-yellow.svg)

Lots of changes, too many to list.²",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/6116239/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/6116239,master,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB335.63,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB335.63,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB335.63,TDB335.63,False,False
6116011,2017-04-18T23:25:43Z,2017-04-18T23:35:28Z,TDB 720.00,"### ![master](https://img.shields.io/badge/branch-master-green.svg)

Lots of changes, too many to list.",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/6116011/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/6116011,master,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB720.00,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB720.00,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB720.00,TDB720.00,False,False
4401368,2016-10-16T16:38:56Z,2016-10-16T16:44:11Z,TDB 703.00,"### ![6.x](https://img.shields.io/badge/branch-master-green.svg)
",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/4401368/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/4401368,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB703.00,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB703.00,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB703.00,TDB703.00,False,False
4400869,2016-10-16T14:14:23Z,2016-10-16T14:16:03Z,TDB 335.62,"### ![3.3.5](https://img.shields.io/badge/branch-3.3.5-yellow.svg)
",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/4400869/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/4400869,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB335.62,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB335.62,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB335.62,TDB335.62,False,False
2990577,2016-04-11T01:40:33Z,2016-04-11T01:49:34Z,TDB 335.61,"### ![3.3.5](https://img.shields.io/badge/branch-3.3.5-yellow.svg)
",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2990577/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2990577,master,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB335.61,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB335.61,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB335.61,TDB335.61,False,False
2990570,2016-04-11T01:42:03Z,2016-04-11T01:48:03Z,TDB 6.04,"### ![6.x](https://img.shields.io/badge/branch-6.x-blue.svg)
",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2990570/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2990570,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB6.04,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB6.04,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB6.04,TDB6.04,False,False
2090065,2015-11-08T01:20:45Z,2015-11-08T01:32:20Z,TDB 6.03,"### Changelog (TDB 6.02 -> 6.03) ![6.x](https://img.shields.io/badge/branch-6.x-blue.svg)

#### Spells
- Fixed tooltip values for melee spells 
- Fix threat reduction with Invisibility  
- Avoid losing spell mod auras when check on spellcast fails (Omen of Clarity)  
- Major fixes to stealth behaviour (players vs NPCs)  
- Remove incorrect PvP combat state with Wandering Plague  
- Fix Enhancement Shaman T10 4P bonus set  
- Define new spell attributes 
- Improve spell cooldown handling  

#### Quests
- Add missing quest templates 
- Fix Mount Hyjal board quests - Warchief's Command: Mount Hyjal! 
- Add missing quest POIs 
- Lots of quest fixes  

#### Creatures/NPCs
- Script Bloopaw Warrior and Bloodpaw Marauder  
- Script Deathless Watcher (submerged emote)  
- Add visuals and emotes to Smoldering Skeleton, Anub'ar Ambusher, Anub'ar Cultist and Wastes Digger  
- Add missing 'Boulder Miss'-Emotes to Crystalline Ice Giant  
- Fix an evading issue with SAI  
- Add pathing to Jortun and Scarlet Point in Dragonblight  
- Spawn Dark Iron Brewer  
- Add table dance for Duokna 
- Fix Bom'bay gossip and add emotes in Northwatch Foothold area 
- Complete T11 vendors in Orgrimmar and Stormwind 
- Script Zlagk 
- Scripts for Harbinger of Y'Shaarj and Kor'kron Reaper and related spells 
- Script Script Gordawg <Heart of Fury> SAI in Nagrand/Draenor 
- Script Steelsnout 
- Script Scavenger and Stonehide Riverbeast (in Stormshield) 
- Fix Warlocks' Imp model 

#### Gameobjects
- Add missing gameobject templates 

#### Items
- Gem perfection implemented  

#### Loot
- Add loot to Sack of Ulduar Spoils / Large Sack of Ulduar Spoils  
- Add a lot of quest related gameobject loots 
- Add conditions to gem drops of Ghost Iron Addition 

#### Commands
- Allow .maxskill to be used with self or selected player  
- Add ""debug loadcells"" command  
- Add some sanity checks to ""cast"" commands  
- Print taxinode cheat status  

#### Dungeons/Raids
- Fix Mimirons Rocket Strike not dealing damage in 25man mode  
- Fix a visual issue with Mimirons Rocket Strike and Fix Mimiron DB target attacking players  
- Ruby Sanctum: Fix Meteor Flames  
- Naxxramas: Fix Noth encounter  
- Naxxramas: Fix Loatheb encounter  
- Naxxramas: Fix Sapphiron encounter  
- Naxxramas: Update Faerlina encounter  
- Naxxramas: Update Anub'rekhan encounter  
- Naxxramas: Update Patchwerk encounter  
- Naxxramas: Update Heigan encounter  
- Naxxramas: Update pathing  
- Molten Core: Add pathing  
- AQ20/40: Update spawns and pathing  
- Violet Hold: rewrite the whole instance  
- ICC: Fix Ooze flood targets (Rotface)  
- Stratholme: Update pathing  
- The Eye: Update Kael'thas Sunstrider  

#### Garrisons
- Fixed entering/leaving garrisons from a different map than Draenor 

#### Zones
- Finish pathing for Howling Fjord  
- Finish pathing for Dragonblight  
- Finish pathing for Durotar 
- Finish pathing for Deadwind Pass 
- Finish pathing for Moonglade 
- Finish random movement for Winterspring 
- Update pathing for Azurmyst Isle  
- Update Orgimmar 
- Update Northern Barrens 
- Spawn Stormshield 
- Spawn Mount Hyjal 
- Spawn Wandering Isle 
- Add paths and vendors to Stormshield 
- Updates to Durotar, Razor Hill, Valley of Trails (emotes, paths, ...) 
- Cast speed increasing auras in Pandaria factions' sanctuaries 
- Add SAI scripts to Ashenvale, Azshara, Azuremyst Isle, Darkshore, Deadwind Pass, Dun Morogh, Durotar, Duskwood, Dustwallow Marsh, Eversong Woods, Felwood, Ghostlands, Isle of Queldanas, Loch Modan, Moonglade, Mount Hyjal, Mulgore, Northern Barrens, Winterspring, Zul'Farrak, Elwyn Forest, Southern Barrens and Stonelaton Mountains 
- Add missing NPCs on Tirisfal 
- Add some gameobject quest spawns for Guilneas Quests 

#### Battlegrounds
- Fix Call to Arms: Isle of Conquest  
- Made various variables related to BG queues configurable  

#### Collections
- Implemented heirlooms collection 
- Implemented toybox 
- Basics for battle pets 

#### Chat
- Updated item chat link format 

#### Taxi
- Updated taxi system 

#### Networking/Packets/Opcodes
- Update and enabled multiple packets 
- Support build 20253 
- Add support for calendar 
- Support build 20338 
- Support build 20444 
- Support build 20490 

#### Misc
- Code refactoring  
- Refactor locale tables  
- Locales for POIs and page texts 
- Sync Hunters' pet levels with players' level 
- Fix multiple startup errors  
- Minor changes to the buildsystem/CMake  
- Update combat ratings 
- Add data validation for some tables  
- Fix a waterwalking bug after revive 
- Add Throne of Thunder to instance template and 2 teleport positions 
- Restructure projects to reduce dependencies between them  
- Multiple crash fixes  
- Add SQL check script to detect more errors during a travis build
- Implemented advanced combat logging 
- Implemented serverside validation of reserved/profane names  
- Backported map local guids 
- Updates to the AHBot  
- Unify DB structures between branches  
- Synchronize GUIDs between braches  
",https://api.github.com/users/Carbenium,3409500,Carbenium,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2090065/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2090065,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB6.03,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB6.03,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB6.03,TDB6.03,False,False
2088986,2015-11-07T15:15:15Z,2015-11-07T15:18:38Z,TDB 335.60,"### Changelog (TDB 335.59 -> 335.60) ![3.3.5](https://img.shields.io/badge/branch-3.3.5-yellow.svg)

#### Spells
- Fix some direct damage spells 
- Increase damage of Hunter's Chimera Shot when using Improved Stings talent. 
- Fix threat reduction with Invisibility  
- Avoid losing spell mod auras when check on spellcast fails (Omen of Clarity)  
- Major fixes to stealth behaviour (players vs NPCs)  
- Remove incorrect PvP combat state with Wandering Plague  
- Fix Enhancement Shaman T10 4P bonus set  
- Learn DK runeforging skill, when receving the spell book ability 
- Improve spell cooldown handling  

#### Quests
- Fix quest givers and locales for Well Watcher Solanian 
- Lots of quest fixes  

#### Creatures/NPCs
- Script Bloopaw Warrior and Bloodpaw Marauder  
- Script Deathless Watcher (submerged emote)  
- Add visuals and emotes to Smoldering Skeleton, Anub'ar Ambusher, Anub'ar Cultist and Wastes Digger  
- Add missing 'Boulder Miss'-Emotes to Crystalline Ice Giant  
- Fix an evading issue with SAI  
- Add pathing to Jortun and Scarlet Point in Dragonblight  
- Spawn Dark Iron Brewer  

#### Items
- Gem perfection implemented  

#### Loot
- Add loot to Sack of Ulduar Spoils / Large Sack of Ulduar Spoils  
  
  #### Commands
- Allow .maxskill to be used with self or selected player  
- Add ""debug loadcells"" command  
- Add some sanity checks to ""cast"" commands  
- Print taxinode cheat status  

#### Dungeons/Raids
- Fix Mimirons Rocket Strike not dealing damage in 25man mode  
- Fix a visual issue with Mimirons Rocket Strike and Fix Mimiron DB target attacking players  
- Ruby Sanctum: Fix Meteor Flames  
- Naxxramas: Fix Noth encounter  
- Naxxramas: Fix Loatheb encounter  
- Naxxramas: Fix Sapphiron encounter  
- Naxxramas: Update Faerlina encounter  
- Naxxramas: Update Anub'rekhan encounter  
- Naxxramas: Update Patchwerk encounter  
- Naxxramas: Update Heigan encounter  
- Naxxramas: Update pathing  
- Molten Core: Add pathing  
- AQ20/40: Update spawns and pathing  
- Violet Hold: rewrite the whole instance  
- ICC: Fix Ooze flood targets (Rotface)  
- Stratholme: Update pathing  
- The Eye: Update Kael'thas Sunstrider  

#### Zones
- Finish pathing for Howling Fjord  
- Finish pathing for Dragonblight  
- Update pathing for Azurmyst Isle  

#### Battlegrounds
- Fix Call to Arms: Isle of Conquest  
- Made various variables related to BG queues configurable  

#### Misc
- Code refactoring  
- Refactor locale tables  
- Locales for POIs and page texts 
- Sync Hunters' pet levels with players' level 
- Fix multiple startup errors  
- Minor changes to the buildsystem/CMake  
- Add data validation for some tables  
- Restructure projects to reduce dependencies between them  
- Multiple crash fixes  
- Add SQL check script to detect more errors during a travis build
- Implemented serverside validation of reserved/profane names  
- Backported map local guids 
- Updates to the AHBot  
- Unify DB structures between branches  
- Synchronize GUIDs between braches  
",https://api.github.com/users/Carbenium,3409500,Carbenium,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2088986/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/2088986,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB335.60,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB335.60,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB335.60,TDB335.60,False,False
1532357,2015-07-14T00:24:35Z,2015-07-14T00:31:05Z,TDB 335.59,"TDB 335.59 - 2015/07/14

### Partial\* changelog (TDB 335.58 -> 335.59) ![3.3.5](https://img.shields.io/badge/branch-3.3.5-yellow.svg)

#### Spells
- Fix crashes due to casting spells with unknown effects/targets/auras #14406
- Added Dreadsteed/Felsteed/Charger/Warhorse visuals #14413 #14427
- Fixed spell Infected Worgen Bite (Grizzly Hills) #12165
- Implemented some eject passenger spells
- Added Spell script for quests Among the Champions and The Grand Melee
- Fixed Mark of the Fallen Champion #12308

#### Items
- Fixed Bloodthistle Withdrawl #9343
- Fixed D.I.S.C.O #4214

#### Quests
- Fixed Lohn'goron, Bow of the Torn-heart #2692
- Fixed The Cipher of Damnation #14422
- Fixed Take Down Tethyr! #14294
- Fixed Teleport This! #4878
- Fixed Into the Pit / Back to the Pit #14345
- Fixed Veil Lithic: Preemptive Strike #12564
- Fixed Vision Guide #10309
- Fixed The Cipher of Damnation - Ar'tor's Charge
- Fixed Lohn'goron, Bow of the Torn-hear
- Fixed Ending Their World (Bloodmyst Isle) #1815
- Fixed The Secret Compromised (end script)
- Fixed Kael'thas and the Verdant Sphere (end script)
- Fixed The Fall of Magtheridon (H/A) (end script)
- Fixed Hellfire Fortifications #14887 #15051
- Fixed Slaves to Saronite #7318
- Fixed The Challenge #4802
- Fixed Rivenwood Captives #3648
- Added quest rewards for Kael'thas and the Verdant Sphere #14452
- Added quest rewards for The Cipher of Damnation #14879
- Corrected class requirements of Desecrate this Fire! quests
- Fixed I've Got a Flying Machine #14965
- Fixed The Perfect Dissemblance #12439
- Fixed A Race Against Time #1074
- Fixed Master the Storm #1883
- Fixed Test at Sea #11880
- Fixed Help Tavara #2744
- Fixed On Spirit Wings #5057
- Fixed Finish Me! #6814
- Fixed Reclusive Rune Master #14829
- Fixed The New Horde #14814
- Fixed Kroshius' Infernal Core (end event)
- Fixed Remy ""Two Times"" #12616
- Split the quest_template table in multiple tables

#### NPCs/Creatures
- Corrected Guard Roberts unit flags #13676
- Scripted Tobias the Filth Gorger
- Scripted Altruis the Sufferer
- Scripted Akama (21700)
- Scripted Emissary of Hate
- Fixed trigger visibility of vehicles #14445
- Make Clockwork Mechanic ride Arachnopod
- Fixed The Grim Guzzler fight # #14631
- Added Senani Thunderheart gossip #14861
- Fixing some spawns on The Frozen Halls entrance
- Scripted Megzeg Nukklebust #14863
- Added pathing to Sunreaver Hawkrider in Crystalsong Forest
- Added pathing to Silver Covenant Horseman in Crystalsong Forest/Windrunner's Overlook
- Added pathing to Gundrak Savage
- Scripted Innkeeper Keldamyr #12474
- Fixed some SAI auras set with a wrong event #14875
- Fixed wrong item in Brewfest vendors #14989
- Spawned several missing creatures in The Eye
- Added pathing to multiple creatures in Howling Fjord (Dereleict Strand, Giants Run, Ivalds Ruin, Niffelvar, Bealgun, Agamand, Whisper Gulch, ...)
- Spawned 2 missing Winterskorn Hunter
- Scripted Negaton Screamer
- Scripted Deeprun Diver #12432
- Removed wrong spawns for the quest Veil Lithic: Preemptive Strike #12564
- Scripted Thrallmar grunt #14844
- Add random emotes to UP creatures
- Many missing gossips added #14793

#### Gameobject
- Updated gameobject_template data fields (barberChair and phaseableMO)
- Fixed Dark Keeper Nameplate #6915
- Spawned VOA Meeting stone #10502
- Scripted Silithyst Mound #14637
- Spawn several missing gameobjects in The Eye

#### Dungeons/Instances/Raids
- Fix some Flame Leviathan issues in Ulduar
- Fixed vehicle friendly fire in Ulduar #3292
- Add pathing of some npcs in Ulduar #2070
- Waypoints and corrections in Uldaman #14447
- Add missing spell visuals to Oculus
- Implemented Drake GPS system in Oculus

#### SAI
- Added SMART_ACTION_SET_COUNTER and SMART_EVENT_COUNTER_SET

#### Commands
- Restore "".lfg queue debug"" logging additional information
- Allow to execute .lfg commands from console

#### Misc
- Fix startup DB errors #13707 #14730
- Add the possibility to limit the remove of orphaned entries of the DBUpdater
- Corrected broadcast texts #14793
- Fixed multiple linker errors, static analysis issues, client and server crashes, optimizations, deadlocks
- Removed arena teams support
- Improve source tree visualization in IDEs
- Raise compiler requirement to VS 2013 Update 4 (Windows only)
- Implemented gameobject_addon table, you can now set invisibility for gameobjects for quests
- Multiple changes to logs including type safe logs and less engrish

\* log missing above: https://docs.google.com/document/d/1xUeE8cDUaMAGZ7GS87JbZI1CxhPaHmBaLesvlJyPWDU/edit?usp=sharing
",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/1532357/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/1532357,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB335.59,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB335.59,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB335.59,TDB335.59,False,False
1532191,2015-07-13T23:05:36Z,2015-07-13T23:29:41Z,TDB 6.02,"TDB 6.02 - 2015/07/14

### Partial\* changelog (6.01 -> 6.02) ![6.x](https://img.shields.io/badge/branch-6.x-blue.svg)

#### Spells
- Fix crashes due to casting spells with unknown effects/targets/auras #14406
- Added Dreadsteed/Felsteed/Charger/Warhorse visuals #14413 #14427
- Fixed spell Infected Worgen Bite (Grizzly Hills) #12165
- Implemented some eject passenger spells
- Added Spell script for quests Among the Champions and The Grand Melee
- Fixed Mark of the Fallen Champion #12308
- Bloodlust and Heroism should also check for the Fatigued debuff from Nether Ray Hunter Pets ""Netherwinds"" ability
- Time Warp should also check for the Fatigued debuff given when a Hunter's Nether Ray pet casts Netherwinds
- Implemented implemented SPELL_EFFECT_DESTROY_ITEM

#### Items
- Fixed Bloodthistle Withdrawl #9343
- Fixed D.I.S.C.O #4214

#### Quests
- Fixed Lohn'goron, Bow of the Torn-heart #2692
- Fixed The Cipher of Damnation #14422
- Fixed Take Down Tethyr! #14294
- Fixed Teleport This! #4878
- Fixed Into the Pit / Back to the Pit #14345
- Fixed Veil Lithic: Preemptive Strike #12564
- Fixed Vision Guide #10309
- Fixed The Cipher of Damnation - Ar'tor's Charge
- Fixed Lohn'goron, Bow of the Torn-hear
- Fixed Blood Theory (Desolace)
- Fixed Ending Their World (Bloodmyst Isle) #1815
- Fixed The Secret Compromised (end script)
- Fixed Kael'thas and the Verdant Sphere (end script)
- Fixed The Fall of Magtheridon (H/A) (end script)
- Fixed Hellfire Fortifications #14887 #15051
- Fixed Slaves to Saronite #7318
- Fixed The Challenge #4802
- Fixed Rivenwood Captives #3648
- Added quest rewards for Kael'thas and the Verdant Sphere #14452
- Added quest rewards for The Cipher of Damnation #14879
- Corrected class requirements of Desecrate this Fire! quests
- Fixed I've Got a Flying Machine #14965
- Fixed The Perfect Dissemblance #12439
- Fixed A Race Against Time #1074
- Fixed Master the Storm #1883
- Fixed Test at Sea #11880
- Fixed Help Tavara #2744
- Fixed On Spirit Wings #5057
- Fixed Finish Me! #6814
- Fixed Reclusive Rune Master #14829
- Fixed The New Horde #14814
- Fixed Kroshius' Infernal Core (end event)
- Fixed Remy ""Two Times"" #12616
- Split the quest_template table in multiple tables

#### NPCs/Creatures
- Corrected Guard Roberts unit flags #13676
- Scripted Tobias the Filth Gorger
- Scripted Altruis the Sufferer
- Scripted Akama (21700)
- Scripted Emissary of Hate
- Added loot to Blackrock Worg
- Fixed trigger visibility of vehicles #14445
- Spawned some 'Shakers'
- Make Clockwork Mechanic ride Arachnopod
- Fixed The Grim Guzzler fight # #14631
- Added Senani Thunderheart gossip #14861
- Fixing some spawns on The Frozen Halls entrance
- Scripted Megzeg Nukklebust #14863
- Added pathing to Sunreaver Hawkrider in Crystalsong Forest
- Added pathing to Silver Covenant Horseman in Crystalsong Forest/Windrunner's Overlook
- Added pathing to Gundrak Savage
- Scripted Innkeeper Keldamyr #12474
- Fixed some SAI auras set with a wrong event #14875
- Fixed wrong item in Brewfest vendors #14989
- Spawned several missing creatures in The Eye
- Added pathing to multiple creatures in Howling Fjord (Dereleict Strand, Giants Run, Ivalds Ruin, Niffelvar, Bealgun, Agamand, Whisper Gulch, ...)
- Spawned 2 missing Winterskorn Hunter
- Scripted Negaton Screamer
- Scripted Deeprun Diver #12432
- Removed wrong spawns for the quest Veil Lithic: Preemptive Strike #12564
- Scripted Thrallmar grunt #14844
- Add random emotes to UP creatures
- Many missing gossips added #14793

#### Gameobject
- Updated gameobject_template data fields (barberChair and phaseableMO)
- Fixed Dark Keeper Nameplate #6915
- Spawned VOA Meeting stone #10502
- Scripted Silithyst Mound #14637
- Spawn several missing gameobjects in The Eye

#### Packets/Opcodes/Networking
- Enable multiple packets
- Support 6.2.0 client version
- Added basic support for garrison and scenes

#### Dungeons/Instances/Raids
- Fix some Flame Leviathan issues in Ulduar
- Fixed vehicle friendly fire in Ulduar #3292
- Add pathing of some npcs in Ulduar #2070
- Spawned Dragon Soul (1st part) (+ paths, SAIs, auras, visuals, small events)
- Waypoints and corrections in Uldaman #14447
- Add missing spell visuals to Oculus
- Implemented Drake GPS system in Oculus

#### Areas/Zones
- Spawned Desolace (+ waypoints, vendors, SAI)
- Spawned Feralas (+ Chill-out, waypoints, emotes, SAI)
- Spawned The Vortex Pinnacle (+ waypoints, vendors, SAI)
- Spawned The Wandering Isle (Pandaren starting zone)

#### SAI
- Added SMART_ACTION_SET_COUNTER and SMART_EVENT_COUNTER_SET

#### Commands
- Reset talent specialization when using reset talents command
- Added more npc info to debug phase command
- Added .debug send playscene
- Restore "".lfg queue debug"" logging additional information
- Allow to execute .lfg commands from console

#### Misc
- Fix startup DB errors #13707 #14730
- Add the possibility to limit the remove of orphaned entries of the DBUpdater
- Corrected broadcast texts #14793
- Added a new phasing and map swap system
- Fixed multiple linker errors, static analysis issues, client and server crashes, optimizations, deadlocks
- Removed arena teams support
- Improve source tree visualization in IDEs
- Raise compiler requirement to VS 2013 Update 4 (Windows only)
- Implemented gameobject_addon table, you can now set invisibility for gameobjects for quests
- Change the format of some locale tables
- Multiple changes to logs including type safe logs and less engrish

\* log missing above: https://docs.google.com/document/d/1O1DTxDTVgm8_tzIrWfpgbA1a_HliYAK8-xxz2pIcSa8/edit?usp=sharing
",https://api.github.com/users/DDuarte,530940,DDuarte,https://api.github.com/repos/TrinityCore/TrinityCore/releases/1532191/assets,https://api.github.com/repos/TrinityCore/TrinityCore/releases/1532191,6.x,https://api.github.com/repos/TrinityCore/TrinityCore/tarball/TDB6.02,https://github.com/TrinityCore/TrinityCore/releases/tag/TDB6.02,https://api.github.com/repos/TrinityCore/TrinityCore/zipball/TDB6.02,TDB6.02,False,False
