id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
4573283,2016-11-04T16:29:09Z,2016-11-04T17:16:57Z,release to support Laravel 5.3,,https://api.github.com/users/andrewelkins,7257497,andrewelkins,https://api.github.com/repos/Zizaco/entrust/releases/4573283/assets,https://api.github.com/repos/Zizaco/entrust/releases/4573283,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.8.0-alpha1,https://github.com/Zizaco/entrust/releases/tag/1.8.0-alpha1,https://api.github.com/repos/Zizaco/entrust/zipball/1.8.0-alpha1,1.8.0-alpha1,False,True
2777778,2016-03-09T17:05:35Z,2016-03-09T17:06:06Z,5.2 Release,,https://api.github.com/users/andrewelkins,7257497,andrewelkins,https://api.github.com/repos/Zizaco/entrust/releases/2777778/assets,https://api.github.com/repos/Zizaco/entrust/releases/2777778,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.7.0,https://github.com/Zizaco/entrust/releases/tag/1.7.0,https://api.github.com/repos/Zizaco/entrust/zipball/1.7.0,1.7.0,False,False
2746795,2016-03-04T17:32:28Z,2016-03-04T17:44:38Z,5.1 release,,https://api.github.com/users/andrewelkins,7257497,andrewelkins,https://api.github.com/repos/Zizaco/entrust/releases/2746795/assets,https://api.github.com/repos/Zizaco/entrust/releases/2746795,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.6.0,https://github.com/Zizaco/entrust/releases/tag/1.6.0,https://api.github.com/repos/Zizaco/entrust/zipball/1.6.0,1.6.0,False,False
2162199,2015-11-20T19:05:07Z,2015-11-20T19:07:15Z,Lots of improvements,"5.1 improvements
Bug fixes
Lang improvements
",https://api.github.com/users/andrewelkins,7257497,andrewelkins,https://api.github.com/repos/Zizaco/entrust/releases/2162199/assets,https://api.github.com/repos/Zizaco/entrust/releases/2162199,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.5.0,https://github.com/Zizaco/entrust/releases/tag/1.5.0,https://api.github.com/repos/Zizaco/entrust/zipball/1.5.0,1.5.0,False,False
1644363,2015-08-07T18:05:40Z,2015-08-07T21:22:43Z,Bug fix release,"Fixes a few bugs. Updates to L 5.1.
",https://api.github.com/users/andrewelkins,7257497,andrewelkins,https://api.github.com/repos/Zizaco/entrust/releases/1644363/assets,https://api.github.com/repos/Zizaco/entrust/releases/1644363,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.4.1,https://github.com/Zizaco/entrust/releases/tag/1.4.1,https://api.github.com/repos/Zizaco/entrust/zipball/1.4.1,1.4.1,False,False
585659,2014-09-26T15:53:59Z,2014-09-26T15:55:01Z,Updates config to use Laravel 5 Dev ,,https://api.github.com/users/andrew13,764875,andrew13,https://api.github.com/repos/Zizaco/entrust/releases/585659/assets,https://api.github.com/repos/Zizaco/entrust/releases/585659,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.3.0,https://github.com/Zizaco/entrust/releases/tag/1.3.0,https://api.github.com/repos/Zizaco/entrust/zipball/1.3.0,1.3.0,False,False
578553,2014-09-24T02:20:26Z,2014-09-24T02:38:45Z,Changes repo to my ardent for now,,https://api.github.com/users/andrew13,764875,andrew13,https://api.github.com/repos/Zizaco/entrust/releases/578553/assets,https://api.github.com/repos/Zizaco/entrust/releases/578553,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.2.5,https://github.com/Zizaco/entrust/releases/tag/1.2.5,https://api.github.com/repos/Zizaco/entrust/zipball/1.2.5,1.2.5,False,False
578168,2014-09-23T18:03:26Z,2014-09-23T22:32:24Z,Adds ability to use with L5,,https://api.github.com/users/andrew13,764875,andrew13,https://api.github.com/repos/Zizaco/entrust/releases/578168/assets,https://api.github.com/repos/Zizaco/entrust/releases/578168,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.2.4,https://github.com/Zizaco/entrust/releases/tag/1.2.4,https://api.github.com/repos/Zizaco/entrust/zipball/1.2.4,1.2.4,False,False
281856,2014-03-28T04:58:33Z,2014-04-21T22:21:52Z,Pull in latest,,https://api.github.com/users/andrew13,764875,andrew13,https://api.github.com/repos/Zizaco/entrust/releases/281856/assets,https://api.github.com/repos/Zizaco/entrust/releases/281856,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.2.0,https://github.com/Zizaco/entrust/releases/tag/1.2.0,https://api.github.com/repos/Zizaco/entrust/zipball/1.2.0,1.2.0,False,False
132906,2013-12-28T04:23:35Z,2013-12-28T04:23:49Z,Ardent 2.3.x to 2.4.x,,https://api.github.com/users/andrew13,764875,andrew13,https://api.github.com/repos/Zizaco/entrust/releases/132906/assets,https://api.github.com/repos/Zizaco/entrust/releases/132906,master,https://api.github.com/repos/Zizaco/entrust/tarball/1.1.0,https://github.com/Zizaco/entrust/releases/tag/1.1.0,https://api.github.com/repos/Zizaco/entrust/zipball/1.1.0,1.1.0,False,False
