id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7873999,2017-09-20T09:57:35Z,2017-09-25T08:40:24Z,Release 1.11,Brackets 1.11 is here!,https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/7873999/assets,https://api.github.com/repos/adobe/brackets/releases/7873999,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.11,https://github.com/adobe/brackets/releases/tag/release-1.11,https://api.github.com/repos/adobe/brackets/zipball/release-1.11,release-1.11,False,False
7724603,2017-09-12T13:41:59Z,2017-09-12T15:02:51Z,Brackets 1.11 2nd Pre-release for community testing,"This is Brackets 1.11 2nd pre-release build. In this release, CEF has been upgraded for Linux which resolved the much reported libgcrypt dependency, basic es6 support has been added by providing eslint out of the box and making required changes to list Classes/methods/arrow function expressions/generator functions/async functions/class getter-setter methods and much more. ",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/7724603/assets,https://api.github.com/repos/adobe/brackets/releases/7724603,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.11-prerelease-2,https://github.com/adobe/brackets/releases/tag/release-1.11-prerelease-2,https://api.github.com/repos/adobe/brackets/zipball/release-1.11-prerelease-2,release-1.11-prerelease-2,False,True
7623711,2017-09-04T07:34:40Z,2017-09-04T09:43:44Z,Brackets 1.11 Pre-release for community testing,"This is Brackets 1.11 1st pre-release build. In this release, CEF has been upgraded for Linux which resolved the much reported libgcrypt dependency, basic es6 support has been added by providing eslint out of the box and making required changes to list Classes/methods/arrow function expressions/generator functions/async functions/class getter-setter methods and much more. ",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/7623711/assets,https://api.github.com/repos/adobe/brackets/releases/7623711,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.11-prerelease-1,https://github.com/adobe/brackets/releases/tag/release-1.11-prerelease-1,https://api.github.com/repos/adobe/brackets/zipball/release-1.11-prerelease-1,release-1.11-prerelease-1,False,True
6961759,2017-07-04T15:51:09Z,2017-07-07T08:24:40Z,Release 1.10,Brackets 1.10 is here!,https://api.github.com/users/saurabh95,5630113,saurabh95,https://api.github.com/repos/adobe/brackets/releases/6961759/assets,https://api.github.com/repos/adobe/brackets/releases/6961759,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.10,https://github.com/adobe/brackets/releases/tag/release-1.10,https://api.github.com/repos/adobe/brackets/zipball/release-1.10,release-1.10,False,False
6909299,2017-07-03T04:52:24Z,2017-07-03T08:37:33Z,Brackets 1.10 Pre-release for community testing,"This pre-release build would have the following features which will be part of the upcoming Brackets release.

Support for the most popular encodings
Native menus for Linux
backward/forward navigation in edit history
Preserves search History which can be accessed by navigation keys as an embedded drop down in the search input
User can enable/disable default extensions from extension manager
Added pseudo selector/elements and AtRules hints in CSS
CSS hints in style attribute value for HTML documents",https://api.github.com/users/saurabh95,5630113,saurabh95,https://api.github.com/repos/adobe/brackets/releases/6909299/assets,https://api.github.com/repos/adobe/brackets/releases/6909299,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.10-prerelease-4,https://github.com/adobe/brackets/releases/tag/release-1.10-prerelease-4,https://api.github.com/repos/adobe/brackets/zipball/release-1.10-prerelease-4,release-1.10-prerelease-4,False,True
6861955,2017-06-28T09:48:17Z,2017-06-28T10:31:06Z,Brackets 1.10 Pre-release for community testing,"This is Brackets 1.10 3rd pre-release build. 
In this release 
* UTF-8 encoding limitation has been removed and Brackets will now support a lot of popular encoding formats 
* Added native menus for Linux
* Provides backward/forward navigation in edit history
* Preserves search History which can be accessed by navigation keys as an embedded drop down in the search input
* User can enable/disable default extensions from extension manager
* Added pseudo selector/elements and AtRules hints in CSS
* CSS hints in style attribute value for HTML documents",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/6861955/assets,https://api.github.com/repos/adobe/brackets/releases/6861955,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.10-prerelease-3,https://github.com/adobe/brackets/releases/tag/release-1.10-prerelease-3,https://api.github.com/repos/adobe/brackets/zipball/release-1.10-prerelease-3,release-1.10-prerelease-3,False,True
6459175,2017-05-22T06:40:01Z,2017-05-22T07:30:15Z,Brackets 1.10 Pre-release for community testing,"This is a Brackets 1.10 pre-release build. This release adds native menus for Linux, Search History UI, pseudo selector and AtRules hints in CSS, CSS hints in style attribute value for HTML documents.",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/6459175/assets,https://api.github.com/repos/adobe/brackets/releases/6459175,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.10-prerelease-2,https://github.com/adobe/brackets/releases/tag/release-1.10-prerelease-2,https://api.github.com/repos/adobe/brackets/zipball/release-1.10-prerelease-2,release-1.10-prerelease-2,False,True
6016817,2017-04-07T18:37:47Z,2017-04-07T19:43:26Z,Brackets 1.10 Pre-release for community testing,"This is a Brackets 1.10 pre-release build. This release contains fix for custom font-family issues, support for Quick Docs for HTML documents, migration of Quick Docs to MDN for both HTML and CSS and now search history is stored in state and can be traversed using arrow keys while focus is on search box.",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/6016817/assets,https://api.github.com/repos/adobe/brackets/releases/6016817,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.10-prerelease-1,https://github.com/adobe/brackets/releases/tag/release-1.10-prerelease-1,https://api.github.com/repos/adobe/brackets/zipball/release-1.10-prerelease-1,release-1.10-prerelease-1,False,True
5841813,2017-03-21T09:20:19Z,2017-03-23T10:29:29Z,Brackets 1.9,Brackets 1.9 is here!,https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/5841813/assets,https://api.github.com/repos/adobe/brackets/releases/5841813,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.9,https://github.com/adobe/brackets/releases/tag/release-1.9,https://api.github.com/repos/adobe/brackets/zipball/release-1.9,release-1.9,False,False
5750811,2017-03-15T08:40:44Z,2017-03-15T10:31:15Z,Brackets 1.9 Stable Pre-release for community testing,This is a Brackets 1.9 pre-release build.,https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/5750811/assets,https://api.github.com/repos/adobe/brackets/releases/5750811,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.9-prerelease-2,https://github.com/adobe/brackets/releases/tag/release-1.9-prerelease-2,https://api.github.com/repos/adobe/brackets/zipball/release-1.9-prerelease-2,release-1.9-prerelease-2,False,True
5686983,2017-03-09T08:42:01Z,2017-03-09T09:22:06Z,Brackets 1.9 Pre-release for community testing,"This is a Brackets 1.9 pre-release build. This release contains reverse inspect for live preview, extension sorting mechanism based on download count and much more.",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/5686983/assets,https://api.github.com/repos/adobe/brackets/releases/5686983,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.9-prerelease,https://github.com/adobe/brackets/releases/tag/release-1.9-prerelease,https://api.github.com/repos/adobe/brackets/zipball/release-1.9-prerelease,release-1.9-prerelease,False,True
4621940,2016-11-01T11:08:39Z,2016-11-10T10:41:05Z,Brackets 1.8,"Brackets 1.8 is here!
",https://api.github.com/users/swmitra,12087205,swmitra,https://api.github.com/repos/adobe/brackets/releases/4621940/assets,https://api.github.com/repos/adobe/brackets/releases/4621940,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.8,https://github.com/adobe/brackets/releases/tag/release-1.8,https://api.github.com/repos/adobe/brackets/zipball/release-1.8,release-1.8,False,False
4141257,2016-10-28T05:31:03Z,2016-10-28T08:08:25Z,Brackets 1.8 Pre-release for community testing,"This is Brackets 1.8 Pre-release, posted for community testing. Please report any unintended behavior which might occur during installation and use of the software. 

Please note that this builds doesn't contain the Brackets 1.8 specific string translations. 
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/4141257/assets,https://api.github.com/repos/adobe/brackets/releases/4141257,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.8-prerelease,https://github.com/adobe/brackets/releases/tag/release-1.8-prerelease,https://api.github.com/repos/adobe/brackets/zipball/release-1.8-prerelease,release-1.8-prerelease,False,True
3416129,2016-06-08T06:34:09Z,2016-06-10T10:43:13Z,Brackets 1.7,"This is Brackets 1.7 build!
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/3416129/assets,https://api.github.com/repos/adobe/brackets/releases/3416129,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.7,https://github.com/adobe/brackets/releases/tag/release-1.7,https://api.github.com/repos/adobe/brackets/zipball/release-1.7,release-1.7,False,False
3366879,2016-06-01T19:11:56Z,2016-06-03T11:54:21Z,Brackets 1.7 Pre-release build,"## What's New in Release 1.7
-  **[CEF shell upgrade to 2623](https://github.com/adobe/brackets-shell/pull/544)** by [nethip](https://github.com/nethip) : Brackets app shell is now upgraded to CEF 2623. The long standing issue with mouse scroll being too fast on Windows is now fixed with the CEF upgrade.
- **[Recent Files Navigation dialog](https://github.com/adobe/brackets/pull/12012)** by [swmitra](https://github.com/swmitra) : The new _Recent Files_ navigation dialog shows a history of all opened files, allowing one to switch to a file visually. The new dialog also tracks opened files that are not in the working set.
- **[64 bit on MAC](https://github.com/adobe/brackets-shell/pull/544)** by [nethip](https://github.com/nethip) : Brackets on MAC is now 64 bit!

Thanks to the community for [numerous improvements and fixes](https://github.com/adobe/brackets/wiki/Release-Notes:-1.7#community-contributions-to-brackets)
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/3366879/assets,https://api.github.com/repos/adobe/brackets/releases/3366879,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.7-prerelease1,https://github.com/adobe/brackets/releases/tag/release-1.7-prerelease1,https://api.github.com/repos/adobe/brackets/zipball/release-1.7-prerelease1,release-1.7-prerelease1,False,True
2419299,2016-01-12T12:25:40Z,2016-01-20T11:00:12Z,Release 1.6,"Brackets 1.6 is here.
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/2419299/assets,https://api.github.com/repos/adobe/brackets/releases/2419299,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.6,https://github.com/adobe/brackets/releases/tag/release-1.6,https://api.github.com/repos/adobe/brackets/zipball/release-1.6,release-1.6,False,False
2419292,2016-01-12T12:25:40Z,2016-01-20T11:00:03Z,Release 1.6+Extract bundle,"This is Brackets Extract Bundle!
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/2419292/assets,https://api.github.com/repos/adobe/brackets/releases/2419292,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.6+eb4,https://github.com/adobe/brackets/releases/tag/release-1.6%2Beb4,https://api.github.com/repos/adobe/brackets/zipball/release-1.6+eb4,release-1.6+eb4,False,False
2337646,2015-12-24T09:48:41Z,2015-12-24T12:24:12Z,Brackets 1.6 Pre-release build,"## What's New in Release 1.6
-  **[Add flip-view and close buttons to pane-headers](https://github.com/adobe/brackets/pull/11749)** by [petetnt](https://github.com/petetnt) : In split view, documents now can be closed via the new close button added at the right corners of both the panes. Also, document now can be easily moved into the other pane, using the new flip button.
- **[Type Inference in hint list](https://github.com/adobe/brackets/pull/11949)** by [swmitra](https://github.com/swmitra) : Javascript code hints are now further improved to show more information like the type and documentation associated with the function/variable along with any hyperlinks.
- **[Split View (Same Document)](https://github.com/adobe/brackets/pull/11820)** by [swmitra](https://github.com/swmitra) : Same document can now be opened in both the panes, when in split view.
- **[Toggle panels and no-Distraction mode ](https://github.com/adobe/brackets/pull/11732)** by abose : Brackets now has a no-distraction mode which can be enabled using _Cmd-Shift-2_ shortcut. Once enabled, this mode will hide the toolbar bar panel on the right as well as the project tree.
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/2337646/assets,https://api.github.com/repos/adobe/brackets/releases/2337646,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.6-prerelease1,https://github.com/adobe/brackets/releases/tag/release-1.6-prerelease1,https://api.github.com/repos/adobe/brackets/zipball/release-1.6-prerelease1,release-1.6-prerelease1,False,True
1958311,2015-10-04T04:47:36Z,2015-10-15T07:34:48Z,Release 1.5+Extract bundle,"This is Brackets 1.5 extract bundle!
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/1958311/assets,https://api.github.com/repos/adobe/brackets/releases/1958311,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.5+eb4,https://github.com/adobe/brackets/releases/tag/release-1.5%2Beb4,https://api.github.com/repos/adobe/brackets/zipball/release-1.5+eb4,release-1.5+eb4,False,False
1958306,2015-10-04T04:47:36Z,2015-10-15T07:34:22Z,Release 1.5,"Brackets 1.5 is here!
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/1958306/assets,https://api.github.com/repos/adobe/brackets/releases/1958306,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.5,https://github.com/adobe/brackets/releases/tag/release-1.5,https://api.github.com/repos/adobe/brackets/zipball/release-1.5,release-1.5,False,False
1590131,2015-07-27T10:58:00Z,2015-07-27T11:37:00Z,Release 1.4+Extract bundle,"This is Brackets 1.4 + Extract bundle!
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/1590131/assets,https://api.github.com/repos/adobe/brackets/releases/1590131,master,https://api.github.com/repos/adobe/brackets/tarball/release-1.4+eb4,https://github.com/adobe/brackets/releases/tag/release-1.4%2Beb4,https://api.github.com/repos/adobe/brackets/zipball/release-1.4+eb4,release-1.4+eb4,False,False
1590118,2015-07-27T06:06:53Z,2015-07-27T11:36:42Z,Release 1.4,"Brackets 1.4 is here!
",https://api.github.com/users/nethip,1577184,nethip,https://api.github.com/repos/adobe/brackets/releases/1590118/assets,https://api.github.com/repos/adobe/brackets/releases/1590118,release,https://api.github.com/repos/adobe/brackets/tarball/release-1.4,https://github.com/adobe/brackets/releases/tag/release-1.4,https://api.github.com/repos/adobe/brackets/zipball/release-1.4,release-1.4,False,False
