id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
3887922,2016-08-14T16:12:00Z,2016-08-15T12:55:33Z,v0.3.3,"# New
- New condition operator: **Any** / **Existed** / **Not Existed**
- New condition type: **header** / **cookie** / **request method**
- New matcher condition editor with reactor feature
- Summary support group by rule
- Dashboard can bind to a host
- New option for verynginx cookie-prefix
- Now can see the count of every status code in summary module 
- Update openresty to 1.9.15.1
- Improved some display style and slow method...

# Fix
- Fix display incorrectly with very slow network
- Fix dispaly order of Frequency Limit table header
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/3887922/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/3887922,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.3.3,https://github.com/alexazhou/VeryNginx/releases/tag/v0.3.3,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.3.3,v0.3.3,False,False
3322257,2016-05-27T14:56:01Z,2016-05-27T16:03:06Z,v0.3.2,"# New
- Auto verify the config on input
- Static file backend can set expire time.
- New request route with faster speed
- New notice with multicolour
- Refresh page after logout
- Add Dockerfile

# Fix
- Fix args checker crash with args like “/?b&b=1”
- Fix repeated load config from config.json at sometimes
- No confirm when leave without saving new configuration
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/3322257/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/3322257,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.3.2,https://github.com/alexazhou/VeryNginx/releases/tag/v0.3.2,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.3.2,v0.3.2,False,False
3165552,2016-05-05T14:44:49Z,2016-05-05T15:18:41Z,v0.3.1,"# Fix
- Crash because can't found lua-resty-dns module when using with lua-nginx-module ( not openresty )
- No matter what you set that the root path of static_file backend always ""/tmp"" 
- Some text  
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/3165552/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/3165552,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.3.1,https://github.com/alexazhou/VeryNginx/releases/tag/v0.3.1,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.3.1,v0.3.1,False,False
3136206,2016-05-01T15:41:27Z,2016-05-01T15:54:47Z,v0.3.0,"# New
- Add **proxy pass** backend module（now can config proxy-pass on web）
- Add **static file** backend module
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/3136206/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/3136206,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.3,https://github.com/alexazhou/VeryNginx/releases/tag/v0.3,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.3,v0.3,False,False
3133644,2016-04-30T16:02:21Z,2016-04-30T16:03:35Z,V0.2.1,"# New
- Improve style of bottom bar
- Improve notice text

# Fix
- Fix path in readme
- Fix matcher test error
- Fix matcher error when there is a arg condition with name empty
- Fix re in default rules
- Fix summary failed on some special case
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/3133644/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/3133644,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2.1,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2.1,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2.1,v0.2.1,False,False
2838029,2016-03-17T16:57:43Z,2016-03-18T05:53:10Z,v0.2 ,"# New
- Change the entry uri of control panel to `/verynginx/index.html`
- Bottom bar for quickly save / reread config
- All Ajax request use relative path

# Fix
- Rewrite error with empty RegEx in rule
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2838029/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2838029,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2,v0.2,False,False
2793251,2016-03-10T23:18:02Z,2016-03-11T14:45:40Z,v0.2-beta6,"# Fix
- Fix editor crash error
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2793251/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2793251,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2-beta6,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2-beta6,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2-beta6,v0.2-beta6,False,False
2777703,2016-03-09T16:33:58Z,2016-03-09T16:55:42Z,v0.2-beta5,"# New
- Add browser Verify
- Now can edit a existed rule
- Add readonly mode
- Can run without cjson ( slowly but usable )

# Fix
- String replace bug in action browser verify when uri args contain ""%""
- Only one worker update to  latest  running config after save
- Do uri encode with the uri before show it on the summary table to prevent inject attack
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2777703/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2777703,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2-beta5,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2-beta5,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2-beta5,v0.2-beta5,False,True
2711378,2016-02-27T11:47:24Z,2016-02-29T16:16:52Z,v0.2-beta4,"# New
- Add login faild notify

# Fix
- Summary table overflowed when uri is very long
- Editor bug of ""URI Rewrite"" 
- Matcher error when there are more then one conditions in it
- Only one worker used the latest running config after save config
- Redirect error when the regex in config is empty
- URI rewrite error when the regex in config is empty
  ...
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2711378/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2711378,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2-beta4,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2-beta4,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2-beta4,v0.2-beta4,False,False
2663288,2016-02-22T14:33:39Z,2016-02-22T15:57:59Z,v0.2-beta3,"#Fix
- matcher error when post big data 
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2663288/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2663288,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2-beta3,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2-beta3,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2-beta3,v0.2-beta3,False,True
2659618,2016-02-22T03:43:13Z,2016-02-22T15:58:27Z,v0.2-beta2,"Fix:
- Login problem
- Calculate error of response time in status page
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2659618/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2659618,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2-beta2,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2-beta2,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2-beta2,v0.2-beta2,False,True
2657632,2016-02-21T16:12:22Z,2016-02-21T16:28:25Z,v0.2-beta1 A big update,"# what't new?
- New Matcher-Action framework
- More powerful waf
- Rewrite uri inside nginx
- Englist dashboard

And so on..

# tips:
- Not compatible with the config.son of v0.1, if you upgrade from v0.1, you need config VeryNginx again. I'm sorry about that.
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2657632/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2657632,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.2-beta1,https://github.com/alexazhou/VeryNginx/releases/tag/v0.2-beta1,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.2-beta1,v0.2-beta1,False,True
2656513,2016-02-21T07:09:06Z,2016-02-21T07:22:00Z,v0.1-beta4,"- Fix args filter error when a empty args existed
- Support filter post args of MIMI type application/x-www-form-urlencoded
- Add localhost to whitelist
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2656513/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2656513,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.1-beta4,https://github.com/alexazhou/VeryNginx/releases/tag/v0.1-beta4,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.1-beta4,v0.1-beta4,False,False
2633486,2016-02-17T16:17:25Z,2016-02-17T16:37:53Z,v0.1-beta3,"Improve:
    1，lua performance
Fix:
    1，temporary summary result not clean period
    2，redirect editor
    3，UserAgent filter raise exception when user agent is null
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2633486/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2633486,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.1-beta3,https://github.com/alexazhou/VeryNginx/releases/tag/v0.1-beta3,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.1-beta3,v0.1-beta3,False,True
2567433,2016-02-07T03:37:11Z,2016-02-07T03:42:48Z,v0.1-beta2,"Fix https bug , ip blacklist filter, and some text
",https://api.github.com/users/alexazhou,9353779,alexazhou,https://api.github.com/repos/alexazhou/VeryNginx/releases/2567433/assets,https://api.github.com/repos/alexazhou/VeryNginx/releases/2567433,master,https://api.github.com/repos/alexazhou/VeryNginx/tarball/v0.1-beta2,https://github.com/alexazhou/VeryNginx/releases/tag/v0.1-beta2,https://api.github.com/repos/alexazhou/VeryNginx/zipball/v0.1-beta2,v0.1-beta2,False,True
