id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8149919,2017-10-17T13:47:53Z,2017-10-17T13:56:29Z,v3.1.2,**Important Bugfix** #2609 Data filters are not correctly applied in Entity Framework Core,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/8149919/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/8149919,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.1.2,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.1.2,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.1.2,v3.1.2,False,False
8112057,2017-10-13T14:05:38Z,2017-10-13T15:04:42Z,v3.1.1,https://github.com/aspnetboilerplate/aspnetboilerplate/issues/2599 Fixed feature setting problem,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/8112057/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/8112057,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.1.1,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.1.1,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.1.1,v3.1.1,False,False
8107025,2017-10-13T08:37:13Z,2017-10-13T08:44:52Z,v3.1.0,"### Enhancements

* #2526 Implement IUserAuthenticatorKeyStore for module zero.
* #2586 EmailSenderBase should use Configuration.DefaultFromDisplayName properly.
* #2596 Upgrade to IdentityServer 2.0.
* #2557 CakeBuild integration.
* #2577 Updated / corrected Lithuanian translations for Abp.ZeroCore and Abp.
* #2510 Throw an AggregateException which contains friendly message.
* #2568 Public HttpClient in AbpAspNetCoreIntegratedTestBase.
* #2507 abp.utils.setCookieValue Add domain parameter.
* #2497 Resolved conflict with ApiVersioning library.
* #2469 Added nuget package descriptions.
* #2544 Add localization in ZeroCore for AbpZero-zh-CN.xml .
* #2536 Add RightToLeft property to Language Entity.
* #2515 Define route to CSHTML with querystring does not load.

### Bug fixes

* #2529 Ef core query Filter for TenantFeatureSetting not applied.
* #1955 Optional parameters for app services do not work anymore.",https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/8107025/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/8107025,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.1.0,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.1.0,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.1.0,v3.1.0,False,False
7669205,2017-09-07T11:20:21Z,2017-09-07T13:05:34Z,v3.0.0,"### Breaking Changes

- #2406 Upgrade to .netstandard 2.0, asp.net core 2.0, entity framework core 2.0 and asp.net core identity 2.0.

### Features

- #2429 Allow to download prerelease/beta templates on aspnetboilerplate.com
- #570 API documentation to web site. See https://aspnetboilerplate.com/api-docs/html/R_Project_Documentation.htm

### Enhancements

- #2407 Merge module-zero repository into aspnetboilerplate repository on Github (for faster development cycle).
- #2425 Move constants from AbpTenant abstract class into the AbpTenantBase.
- #2399 Changed PermissionDependencyContext from internal to public.
- Updated some localization files.",https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7669205/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7669205,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.0.0,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.0.0,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.0.0,v3.0.0,False,False
7653728,2017-09-06T13:49:51Z,2017-09-06T14:02:26Z,v3.0.0-rc2,v3.0.0-rc2,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7653728/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7653728,dev,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.0.0-rc2,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.0.0-rc2,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.0.0-rc2,v3.0.0-rc2,False,True
7635677,2017-09-05T08:54:46Z,2017-09-05T10:35:25Z,v3.0.0-rc1,v3.0.0-rc1,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7635677/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7635677,dev,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.0.0-rc1,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.0.0-rc1,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.0.0-rc1,v3.0.0-rc1,False,True
7513688,2017-08-24T10:26:11Z,2017-08-24T18:31:22Z,v3.0.0-beta3,v3.0.0-beta3,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7513688/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7513688,netstandard2.0,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.0.0-beta3,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.0.0-beta3,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.0.0-beta3,v3.0.0-beta3,False,True
7478570,2017-08-22T13:38:23Z,2017-08-22T14:08:00Z,v3.0.0-beta2,Fix for ZeroCore dependency resolve issue in v3.0.0-beta1.,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7478570/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7478570,netstandard2.0,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.0.0-beta2,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.0.0-beta2,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.0.0-beta2,v3.0.0-beta2,False,False
7476207,2017-08-22T11:09:58Z,2017-08-22T11:27:03Z,v3.0.0-beta1,"#2406 Upgrade to .netstandard 2.0, asp.net core 2.0, entity framework core 2.0 and asp.net core identity 2.0",https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7476207/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7476207,netstandard2.0,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v3.0.0-beta1,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v3.0.0-beta1,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v3.0.0-beta1,v3.0.0-beta1,False,False
7283560,2017-08-04T10:19:11Z,2017-08-04T11:02:08Z,v2.3.0,"### Enhancements

* #2388 Create properties in base repositories to get active transaction/connection.
* #2393 Upgrade nuget dependencies for v2.3 release.
* #2389 Upgrade to EntityFramework.DynamicFilters 2.10.0.
* #2314 Use derived service name in audit logs for CrupAppServices.
* #2364 Make ExpressionSpecification public.

### Bug fixes

* #2384 Generated IsDisabled key is a string (not a bool).",https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7283560/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7283560,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v2.3.0,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v2.3.0,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v2.3.0,v2.3.0,False,False
7172166,2017-07-26T10:25:46Z,2017-07-26T10:29:25Z,v2.2.2,#2354 Unit of work interception does not work for interface proxies.,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7172166/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7172166,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v2.2.2,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v2.2.2,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v2.2.2,v2.2.2,False,False
7141716,2017-07-24T08:58:50Z,2017-07-24T09:00:53Z,v2.2.1,Fixed problems in v2.2.0 release. Please ignore v2.2.0 and install this (v2.2.1) release.,https://api.github.com/users/hikalkan,1210527,hikalkan,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7141716/assets,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/releases/7141716,master,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/tarball/v2.2.1,https://github.com/aspnetboilerplate/aspnetboilerplate/releases/tag/v2.2.1,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate/zipball/v2.2.1,v2.2.1,False,False
