id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6998565,2017-07-11T12:54:07Z,2017-07-11T12:55:52Z,Mustache.php v2.12.0,"* Prevent redundant Autoloader registration (Thanks @hcpss-banderson!)
* Add a ProductionFilesystemLoader, which doesn't read template file contents before every render.
* Improve test coverage.
* Fix a bug when rendering the same block names multiple times in one template.
* Add a `delimiters` option for overriding default delimiters at the engine level.
* Add validation to prevent empty `template_class_prefix` config.",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/6998565/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/6998565,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.12.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.12.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.12.0,v2.12.0,False,False
3777888,2016-07-31T06:18:31Z,2016-07-31T06:19:52Z,Mustache.php v2.11.1,"- Fix test bootstrap in PHP < 5.5
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/3777888/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/3777888,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.11.1,https://github.com/bobthecow/mustache.php/releases/tag/v2.11.1,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.11.1,v2.11.1,False,False
3777869,2016-07-31T06:07:47Z,2016-07-31T06:09:11Z,Mustache.php v2.11.0,"- Add support for exception chaining (Thanks @thewilkybarkid!)
- Support parent tags and block args as direct children of blocks and sections. 
- Add support for non-local templates via FilesystemLoader (Thanks @oschettler!)
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/3777869/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/3777869,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.11.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.11.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.11.0,v2.11.0,False,False
2703033,2016-02-27T19:22:48Z,2016-02-27T19:23:29Z,Mustache.php v2.10.0,"- Respect delimiter changes inside lambda sections. See janl/mustache.js#489
- Fix incorrect padding added to lambda values inside partials. See #286
- Make LambdaHelper invokable. See #285
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/2703033/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/2703033,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.10.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.10.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.10.0,v2.10.0,False,False
1677504,2015-08-15T19:23:15Z,2015-08-15T19:24:03Z,Mustache.php v2.9.0,"- Lazily evaluate template BLOCKS pragma sections. See #264 and #265. Thanks @damyon!
- Add ANCHORED-DOT pragma to enable ""anchored dot notation"". See #129 and mustache/spec#52
- A bit of CS cleanup, and remove the unused create_example script.
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/1677504/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/1677504,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.9.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.9.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.9.0,v2.9.0,False,False
1113811,2015-04-01T06:37:35Z,2015-04-01T06:39:56Z,Mustache.php v2.8.0,"- Tons of CS fixes. Thanks @keradus!
- Fix for extra indent inside template inheritance sections.
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/1113811/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/1113811,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.8.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.8.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.8.0,v2.8.0,False,False
516474,2014-08-26T19:50:13Z,2014-08-26T19:59:52Z,Mustache.php v2.7.0,"- Add [template inheritance, via the BLOCKS pragma](https://github.com/bobthecow/mustache.php/wiki/BLOCKS-pragma). Thanks @jazzdan and the rest of the @Etsy devs!
- Add a `pragmas` option to the Mustache_Engine constructor for enabling default pragmas.
- A couple of performance improvements. Thanks @nizsheanez!
- Code cleanup. Thanks @keradus!
- Check coding standards on CI. Thanks @keradus!
- Fix whitespace bug in nested partials. Thanks for the bug report, @mikesherov and @behance!
- Allow omitting the filters on closing section tags, for example, `{{# a | b }}{{/ a }}` is now valid.
- Increase test coverage, improve comments and examples.

## If you process Mustache parse trees yourself…

Note that the parse tree representation of filtered interpolation and section tokens has changed. The tag name is now separate from the filters list. For example, the template:

``` html+jinja
{{%FILTERS}}
{{ foo | bar }}
```

was parsed as:

``` php
[
  [
    ""type"" => ""%"",
    ""name"" => ""FILTERS"",
    ""line"" => 0
  ],
  [
    ""type""  => ""_v"",
    ""name""  => ""foo | bar | baz"",
    ""otag""  => ""{{"",
    ""ctag""  => ""}}"",
    ""line""  => 0,
    ""index"" => 33
  ]
]
```

but is now parsed as:

``` php
[
  [
    ""type"" => ""%"",
    ""name"" => ""FILTERS"",
    ""line"" => 0
  ],
  [
    ""type""    => ""_v"",
    ""name""    => ""foo"",
    ""otag""    => ""{{"",
    ""ctag""    => ""}}"",
    ""line""    => 0,
    ""index""   => 33,
    ""filters"" => [
      ""bar"",
      ""baz""
    ]
  ]
]
```
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/516474/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/516474,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.7.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.7.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.7.0,v2.7.0,False,False
386438,2014-04-14T01:24:41Z,2014-06-20T19:37:09Z,Mustache.php v2.6.0,"Lots of little changes, plus two bigger ones:
- Fix disabling lambda template cache option: it didn't before, now it does.
- Improve tokenizer performance: 25-60% performance boost!
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/386438/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/386438,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.6.0,https://github.com/bobthecow/mustache.php/releases/tag/v2.6.0,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.6.0,v2.6.0,False,False
386436,2014-06-20T19:34:51Z,2014-06-20T19:36:45Z,Mustache.php v2.6.1,"- Code cleanup (thanks @keradus!)
- Fix parse error with mismatched triple-mustache delimiters (thanks @smarden1!)
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/386436/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/386436,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.6.1,https://github.com/bobthecow/mustache.php/releases/tag/v2.6.1,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.6.1,v2.6.1,False,False
204886,2014-01-09T00:36:12Z,2014-02-28T19:36:23Z,Mustache.php v2.5.1,"Fix a tokenization error with sections containing only the number zero.

Yay PHP!
",https://api.github.com/users/bobthecow,53660,bobthecow,https://api.github.com/repos/bobthecow/mustache.php/releases/204886/assets,https://api.github.com/repos/bobthecow/mustache.php/releases/204886,master,https://api.github.com/repos/bobthecow/mustache.php/tarball/v2.5.1,https://github.com/bobthecow/mustache.php/releases/tag/v2.5.1,https://api.github.com/repos/bobthecow/mustache.php/zipball/v2.5.1,v2.5.1,False,False
