id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6314031,2017-05-08T16:43:17Z,2017-05-08T16:46:37Z,3.1.3,- Fix the [issue](https://github.com/carambalabs/SugarRecord/issues/330) reported about Carthage not being able to compile.,https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/6314031/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/6314031,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.1.3,https://github.com/carambalabs/SugarRecord/releases/tag/3.1.3,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.1.3,3.1.3,False,False
6024047,2017-04-09T10:20:31Z,2017-04-09T10:21:27Z,3.1.2,"Bump podspec to 3.1.2
Add backgroundOperation method to the storage (#325)
* [background-operation] Add backgroundOperation method to the storage

* [background-operation] Fix unit tests

* [background-operation] Add tests to backgroundOperation

* [background-operation] Remove realm from storage type
Update deprecated syntax on the README file
Bump podspec to 3.1.1
Update Bundle dependencies
Remove Realm support
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/6024047/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/6024047,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.1.2,https://github.com/carambalabs/SugarRecord/releases/tag/3.1.2,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.1.2,3.1.2,False,False
6011934,2017-03-23T13:13:58Z,2017-04-07T12:46:45Z,3.1.1,"Bump podspec to 3.1.1
Update Bundle dependencies
Remove Realm support
Update dependencies and define ruby-version
Bump podspec to 3.0.3
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/6011934/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/6011934,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.1.1,https://github.com/carambalabs/SugarRecord/releases/tag/3.1.1,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.1.1,3.1.1,False,False
5844633,2017-03-23T11:18:44Z,2017-03-23T13:01:30Z,3.0.3,"Bump podspec to 3.0.3
Bump podspec to 3.0.2
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/5844633/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/5844633,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.0.3,https://github.com/carambalabs/SugarRecord/releases/tag/3.0.3,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.0.3,3.0.3,False,False
5843473,2017-03-23T11:17:19Z,2017-03-23T11:18:46Z,3.0.2,"Bump podspec to 3.0.2
Bump podspec to 3.0.1
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/5843473/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/5843473,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.0.2,https://github.com/carambalabs/SugarRecord/releases/tag/3.0.2,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.0.2,3.0.2,False,False
5843452,2016-11-21T20:26:54Z,2017-03-23T11:17:21Z,3.0.1,"Bump podspec to 3.0.1
Updated the github URL that's being called to use HTTPS (#314)

Use the right NSFetchedResultsControllerDelegate method. Fix for Delegate method not being called. (CoreDataObservable with no informations #307) (#310)

fixed documents directory for tvOS (#309)

Implement tests for the new Request methods
Add filteredWith IN and NOT IN (#305)
* fiteredWith IN and NOT IN added

* Update Request.swift
Bump version to 3.0.0
Bump podspec to 3.0.1
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/5843452/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/5843452,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.0.1,https://github.com/carambalabs/SugarRecord/releases/tag/3.0.1,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.0.1,3.0.1,False,False
4351992,2016-10-10T20:04:02Z,2016-10-10T20:09:32Z,3.0.0 - 💘 Swift,"- Official Swift 3 support.
- Improved compatibility with [Carthage](https://github.com/carthage/carthage).
- `Request` has been renamed by `FetchRequest`.
- Added example saving data from an API.
- Bug fixing.
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/4351992/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/4351992,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.0.0,https://github.com/carambalabs/SugarRecord/releases/tag/3.0.0,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.0.0,3.0.0,False,False
4254574,2016-09-28T15:44:52Z,2016-09-28T15:36:16Z,3.0.0-alpha.2 - Enjoy,"- Solved issue building for Carthage https://github.com/carambalabs/SugarRecord/pull/295
- `Request` renamed to `FetchRequest` https://github.com/carambalabs/SugarRecord/issues/280
- API update to match Swift 3 guidelines https://github.com/carambalabs/SugarRecord/issues/290
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/4254574/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/4254574,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.0.0-alpha.2,https://github.com/carambalabs/SugarRecord/releases/tag/3.0.0-alpha.2,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.0.0-alpha.2,3.0.0-alpha.2,False,False
4186767,2016-09-21T07:23:24Z,2016-09-20T22:17:38Z,3.0.0-alpha.1 - Jave fun,"- Dropped support to Swift 2.3 https://github.com/carambalabs/SugarRecord/pull/278
- Swift 3.0 support https://github.com/carambalabs/SugarRecord/pull/278
- Carthage support https://github.com/carambalabs/SugarRecord/pull/278
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/4186767/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/4186767,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/3.0.0-alpha.1,https://github.com/carambalabs/SugarRecord/releases/tag/3.0.0-alpha.1,https://api.github.com/repos/carambalabs/SugarRecord/zipball/3.0.0-alpha.1,3.0.0-alpha.1,False,False
4023747,2016-08-31T22:56:51Z,2016-08-31T22:57:30Z,2.3.1,"Bump podspec to 2.3.1
Add danger
Add tests again
Update README with caramba info
Updated podspec info
Bump Realm version
Fix esamples
Fix a few things in the README
Merge pull request #272 from carambalabs/remove-rx-carthage
Remove Reactive framework and Carthage
Create tests target
Update pods
Remove Carthage project and Reactive references in the README file
Remove Carthage, Rx and ReactiveCocoa
Create .pullapprove.yml
Update README
Add files via upload
Update Cartifle.resolved
Merge pull request #270 from dukemike/issues/269
only perform version checks on debug builds. refs #269
only perform version checks on debug builds. refs #269
",https://api.github.com/users/pepibumur,663605,pepibumur,https://api.github.com/repos/carambalabs/SugarRecord/releases/4023747/assets,https://api.github.com/repos/carambalabs/SugarRecord/releases/4023747,master,https://api.github.com/repos/carambalabs/SugarRecord/tarball/2.3.1,https://github.com/carambalabs/SugarRecord/releases/tag/2.3.1,https://api.github.com/repos/carambalabs/SugarRecord/zipball/2.3.1,2.3.1,False,False
