id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7639643,2017-09-05T15:23:25Z,2017-09-05T15:35:43Z,,"- Fix a bug that can't show header and footer together. ( #174, #175, #176, #179 )
- Update demo. ( #173 )",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/7639643/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/7639643,develop,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9.7,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9.7,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9.7,0.9.7,False,False
4534246,2017-05-24T14:31:33Z,2017-05-24T14:38:00Z,,"- Better Swift 3 and Xcode 8.1 support. (#151, #152)
- Better Carthage support. (#153)
- etc.
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/4534246/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/4534246,develop,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9.6,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9.6,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9.6,0.9.6,False,False
3137596,2016-08-23T23:37:25Z,2016-08-23T23:38:57Z,0.9.5,"- Public methods and attributes for Swift project (#132)
- Adding Framework project with shared scheme to support Carthage (#126)
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/3137596/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/3137596,master,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9.5,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9.5,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9.5,0.9.5,False,False
1717400,2016-04-07T23:49:59Z,2016-05-02T02:32:43Z,,"- Fix Swift build error (#108)
- Per-section insets (#107)
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1717400/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1717400,master,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9.4,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9.4,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9.4,0.9.4,False,False
1299128,2015-08-09T22:57:08Z,2015-08-09T22:58:01Z,Minor update,"- Fix for issue when layout is rotated (#100)
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1299128/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1299128,master,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9.2,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9.2,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9.2,0.9.2,False,False
1299126,2015-05-09T22:55:27Z,2015-05-15T02:46:49Z,,"- Fix some typo
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1299126/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1299126,develop,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9.1,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9.1,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9.1,0.9.1,False,False
1155769,2015-05-07T13:58:44Z,2015-05-07T14:07:21Z,More configurations and bug fix,"- Minimum content height configuration (#84)
- Minimum column spacing per section configuration (#86)
- Fix a crash when no data and no section (#76, #93)
- Swift update (#77, #92, #98)
- Long cell disappearing fix (#78)
- Fix height calculation (#79)
- Pixel perfect (#83)
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1155769/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/1155769,master,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.9,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.9,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.9,0.9,False,False
470868,2014-09-21T03:02:33Z,2014-09-21T03:04:01Z,More configurations and Swift version,"- Adding a configuration option to determine the order of rendering the items. Options include Left-to-Right | Right-to-Left | Shortest column first (existing default).
- New demo screenshots
- Custom column count per section
- Swift version
- Code cleanup
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/470868/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/470868,master,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.8,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.8,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.8,0.8,False,False
305631,2014-05-06T12:45:01Z,2014-05-06T12:47:07Z,More delegate methods and Travis-CI,"- Stability improvement
- Integrate Travis-CI
- Add more delegate methods
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/305631/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/305631,develop,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.7,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.7,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.7,0.7,False,False
252267,2014-01-29T15:52:40Z,2014-04-02T02:25:45Z,Support multiple sections and header/footer for section,"- [Add] Multiple sections.
- [Add] Header and/or footer for section.
- [Add] More properties and delegation methods.
- [Change] Remove `delegate` property, your collectionView's delegate **MUST** conforms to `<CHTCollectionViewDelegateWaterfallLayout>` protocol.
",https://api.github.com/users/chiahsien,1225437,chiahsien,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/252267/assets,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/releases/252267,develop,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/tarball/0.5,https://github.com/chiahsien/CHTCollectionViewWaterfallLayout/releases/tag/0.5,https://api.github.com/repos/chiahsien/CHTCollectionViewWaterfallLayout/zipball/0.5,0.5,False,False
