id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7624676,2017-09-04T11:05:30Z,2017-09-04T11:06:27Z,Deployer 6.0.3,Add support for Laravel 5.5,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/7624676/assets,https://api.github.com/repos/deployphp/deployer/releases/7624676,master,https://api.github.com/repos/deployphp/deployer/tarball/v6.0.3,https://github.com/deployphp/deployer/releases/tag/v6.0.3,https://api.github.com/repos/deployphp/deployer/zipball/v6.0.3,v6.0.3,False,False
7552168,2017-08-29T05:14:52Z,2017-08-29T05:16:09Z,Deployer 6.0.2,Fixed bug in _Httpie_ util.,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/7552168/assets,https://api.github.com/repos/deployphp/deployer/releases/7552168,master,https://api.github.com/repos/deployphp/deployer/tarball/v6.0.2,https://github.com/deployphp/deployer/releases/tag/v6.0.2,https://api.github.com/repos/deployphp/deployer/zipball/v6.0.2,v6.0.2,False,False
7551068,2017-08-29T01:42:59Z,2017-08-29T01:51:58Z,Deployer 6.0.1,Little bug fix in stat.,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/7551068/assets,https://api.github.com/repos/deployphp/deployer/releases/7551068,master,https://api.github.com/repos/deployphp/deployer/tarball/v6.0.1,https://github.com/deployphp/deployer/releases/tag/v6.0.1,https://api.github.com/repos/deployphp/deployer/zipball/v6.0.1,v6.0.1,False,False
7480725,2017-08-22T15:51:36Z,2017-08-22T16:06:16Z,Deployer 6.0.0,"Big release of Deployer with bunch of new features and improvements: [CHANGELOG.md](https://github.com/deployphp/deployer/blob/master/CHANGELOG.md).

![Deployer 6.0.0](https://user-images.githubusercontent.com/141232/29574955-389e19b2-878d-11e7-8fd1-524b21fb10f8.gif)

This release contains one of most wanted features – `default_timeout` which allows to setup custom timeout for `run` function.

Also common recipe now ships with new task `deploy:info` which displays info about deployment:

<img width=""240"" alt=""2017-08-22 23 03 13"" src=""https://user-images.githubusercontent.com/141232/29575260-20ac0200-878e-11e7-938d-858719c256e1.png"">


To upgrade dep phar run next command:
```
dep self-update --upgrade
```
For information about migrating from older version see [UPGRADE.md](https://github.com/deployphp/deployer/blob/master/UPGRADE.md)",https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/7480725/assets,https://api.github.com/repos/deployphp/deployer/releases/7480725,master,https://api.github.com/repos/deployphp/deployer/tarball/v6.0.0,https://github.com/deployphp/deployer/releases/tag/v6.0.0,https://api.github.com/repos/deployphp/deployer/zipball/v6.0.0,v6.0.0,False,False
7121847,2017-07-21T11:04:26Z,2017-07-21T11:05:48Z,Deployer 4.3.1,"Backported feature: possibility to use callable when setting `default_stage`.
",https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/7121847/assets,https://api.github.com/repos/deployphp/deployer/releases/7121847,4.x,https://api.github.com/repos/deployphp/deployer/tarball/v4.3.1,https://github.com/deployphp/deployer/releases/tag/v4.3.1,https://api.github.com/repos/deployphp/deployer/zipball/v4.3.1,v4.3.1,False,False
6908501,2017-07-03T07:01:32Z,2017-07-03T07:02:01Z,Deployer 5.1.3,Fixed bug with wrong version printed after self-update command,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/6908501/assets,https://api.github.com/repos/deployphp/deployer/releases/6908501,master,https://api.github.com/repos/deployphp/deployer/tarball/v5.1.3,https://github.com/deployphp/deployer/releases/tag/v5.1.3,https://api.github.com/repos/deployphp/deployer/zipball/v5.1.3,v5.1.3,False,False
6908412,2017-07-03T06:44:39Z,2017-07-03T06:47:49Z,Deployer 5.1.2,This release fixes a few bugs with parallel deploy and improves `config:current` and Symfony recipes.,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/6908412/assets,https://api.github.com/repos/deployphp/deployer/releases/6908412,master,https://api.github.com/repos/deployphp/deployer/tarball/v5.1.2,https://github.com/deployphp/deployer/releases/tag/v5.1.2,https://api.github.com/repos/deployphp/deployer/zipball/v5.1.2,v5.1.2,False,False
6810379,2017-06-23T03:47:09Z,2017-06-23T03:48:06Z,Deployer 5.1.1,Fixed annoying bug with self-update.,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/6810379/assets,https://api.github.com/repos/deployphp/deployer/releases/6810379,master,https://api.github.com/repos/deployphp/deployer/tarball/v5.1.1,https://github.com/deployphp/deployer/releases/tag/v5.1.1,https://api.github.com/repos/deployphp/deployer/zipball/v5.1.1,v5.1.1,False,False
6804206,2017-06-22T16:14:04Z,2017-06-22T16:30:59Z,Deployer 5.1.0,"This release contains a few very important bug fixes for inventory management, improvement in ssh multiplexing initialization (no more one second wait) and a few new cool features.

New `run` command to run any arbitrary command on remote server:

```
dep run 'pwd'
```  

New `-o` option to override config options:

```
dep deploy -o ssh_multiplexing=true
```

And an autocomplete script for tasks and options in terminal and new `config:hosts` to see info about all available hosts.

To upgrade to latest version:

```
dep self-update
```",https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/6804206/assets,https://api.github.com/repos/deployphp/deployer/releases/6804206,master,https://api.github.com/repos/deployphp/deployer/tarball/v5.1.0,https://github.com/deployphp/deployer/releases/tag/v5.1.0,https://api.github.com/repos/deployphp/deployer/zipball/v5.1.0,v5.1.0,False,False
6558144,2017-05-31T13:32:24Z,2017-05-31T13:33:14Z,Deployer 5.0.3,This update includes bug fixes and improvements.,https://api.github.com/users/antonmedv,141232,antonmedv,https://api.github.com/repos/deployphp/deployer/releases/6558144/assets,https://api.github.com/repos/deployphp/deployer/releases/6558144,master,https://api.github.com/repos/deployphp/deployer/tarball/v5.0.3,https://github.com/deployphp/deployer/releases/tag/v5.0.3,https://api.github.com/repos/deployphp/deployer/zipball/v5.0.3,v5.0.3,False,False
