id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7826851,2017-09-20T15:57:14Z,2017-09-20T16:03:04Z,v2.0.0-alpha1,"Support Laravel 5.5

- Dropped support for below 5.5 due to too many dependancies
- Removed OAuth2 Provider
- Dingo Route extends form Illuminate Route",https://api.github.com/users/thilanga,1523586,thilanga,https://api.github.com/repos/dingo/api/releases/7826851/assets,https://api.github.com/repos/dingo/api/releases/7826851,master,https://api.github.com/repos/dingo/api/tarball/v2.0.0-alpha1,https://github.com/dingo/api/releases/tag/v2.0.0-alpha1,https://api.github.com/repos/dingo/api/zipball/v2.0.0-alpha1,v2.0.0-alpha1,False,True
5415211,2017-02-10T00:56:04Z,2017-02-10T00:57:44Z,v1.0.0-beta8,"This release is to get a version tagged for Laravel 5.4, and make everyone happy.
",https://api.github.com/users/hskrasek,787487,hskrasek,https://api.github.com/repos/dingo/api/releases/5415211/assets,https://api.github.com/repos/dingo/api/releases/5415211,master,https://api.github.com/repos/dingo/api/tarball/v1.0.0-beta8,https://github.com/dingo/api/releases/tag/v1.0.0-beta8,https://api.github.com/repos/dingo/api/zipball/v1.0.0-beta8,v1.0.0-beta8,False,True
5083539,2016-12-27T22:09:26Z,2017-01-06T02:24:05Z,v1.0.0-beta7,,https://api.github.com/users/hskrasek,787487,hskrasek,https://api.github.com/repos/dingo/api/releases/5083539/assets,https://api.github.com/repos/dingo/api/releases/5083539,master,https://api.github.com/repos/dingo/api/tarball/v1.0.0-beta7,https://github.com/dingo/api/releases/tag/v1.0.0-beta7,https://api.github.com/repos/dingo/api/zipball/v1.0.0-beta7,v1.0.0-beta7,False,True
4004446,2016-08-30T03:57:04Z,2016-08-30T04:05:24Z,v1.0.0 Beta 6,"This beta aims to add fixes, features, and touchups from the below issues and PR's

#1008, #741, #919 #998, #1014, #1024, #1102, #1177, #1176, #1152 

Oh, and **Laravel 5.3** support 🎉 
",https://api.github.com/users/hskrasek,787487,hskrasek,https://api.github.com/repos/dingo/api/releases/4004446/assets,https://api.github.com/repos/dingo/api/releases/4004446,master,https://api.github.com/repos/dingo/api/tarball/v1.0.0-beta6,https://github.com/dingo/api/releases/tag/v1.0.0-beta6,https://api.github.com/repos/dingo/api/zipball/v1.0.0-beta6,v1.0.0-beta6,False,True
3935698,2016-08-21T18:10:37Z,2016-08-21T18:13:06Z,v1.0.0 Beta 5,"This is the back to the drawing board release. My attempted fix for a few issues, introduced a new issue, so reverting that get some sort of stability returned until I can work out a better fix.
",https://api.github.com/users/hskrasek,787487,hskrasek,https://api.github.com/repos/dingo/api/releases/3935698/assets,https://api.github.com/repos/dingo/api/releases/3935698,master,https://api.github.com/repos/dingo/api/tarball/v1.0.0-beta5,https://github.com/dingo/api/releases/tag/v1.0.0-beta5,https://api.github.com/repos/dingo/api/zipball/v1.0.0-beta5,v1.0.0-beta5,False,True
3933825,2016-08-21T02:35:31Z,2016-08-21T03:03:37Z,v1.0.0 Beta 4,"Beta 4 aims to bring us one step closer to a stable v1.0.0 release. This tag contains fixes for the following issue:
- #1098  - Allow for Accept headers to contain versions with hyphens eg. `v1.0-beta`
- #981 - Issue where middleware for a route comes across as a string instead of an array of middlewares
- #996 and #1149 - Resolves an issue where exception responses are generated twice, loosing middleware adjustments. Also resolves an issue that causes exceptions to be logged twice.
",https://api.github.com/users/hskrasek,787487,hskrasek,https://api.github.com/repos/dingo/api/releases/3933825/assets,https://api.github.com/repos/dingo/api/releases/3933825,master,https://api.github.com/repos/dingo/api/tarball/v1.0.0-beta4,https://github.com/dingo/api/releases/tag/v1.0.0-beta4,https://api.github.com/repos/dingo/api/zipball/v1.0.0-beta4,v1.0.0-beta4,False,True
1723127,2015-08-26T03:37:52Z,2015-08-26T03:39:02Z,v1.0.0 Beta 2,"This is the second public beta for v1.0.0.

### Noteworthy Changes
- The vendor tree has been overhauled and will need updating in configuration files and/or `.env` files. The main change here is that the default standards tree used is now the unregistered tree (`x`).
- A new configuration key `standardsTree` (or `API_STANDARDS_TREE`) now exists which lets you change between `x`, `prs`, and `vnd` trees depending on your requirements.
- The `vendor` configuration key is now called `subtype` and `API_SUBTYPE` for `.env` files.
- The `Accept` header you use will now vary depending on the standards tree you're using, e.g., `Accept: application/x.yourapp.v1+json` or `Accept: application/prs.yourapp.v1+json`.
- Configuration keys no longer accept closures. Basic auth has since been removed as a default and will need to be configured in a service provider or bootstrap file.

### Upgrading
- If you update and receive configuration errors, make sure you grab the latest changes to the `config/api.php` file.
- Make sure you update your `.env` file to reference the new variable names, `API_STANDARDS_TREE` and `API_SUBTYPE`.
- Update any references to your `Accept` header as necessary.
",https://api.github.com/users/jasonlewis,829059,jasonlewis,https://api.github.com/repos/dingo/api/releases/1723127/assets,https://api.github.com/repos/dingo/api/releases/1723127,master,https://api.github.com/repos/dingo/api/tarball/v1.0.0-beta2,https://github.com/dingo/api/releases/tag/v1.0.0-beta2,https://api.github.com/repos/dingo/api/zipball/v1.0.0-beta2,v1.0.0-beta2,False,True
781603,2014-12-14T10:16:02Z,2014-12-14T10:16:31Z,v0.8.2,,https://api.github.com/users/jasonlewis,829059,jasonlewis,https://api.github.com/repos/dingo/api/releases/781603/assets,https://api.github.com/repos/dingo/api/releases/781603,master,https://api.github.com/repos/dingo/api/tarball/v0.8.2,https://github.com/dingo/api/releases/tag/v0.8.2,https://api.github.com/repos/dingo/api/zipball/v0.8.2,v0.8.2,False,True
770814,2014-12-10T10:53:15Z,2014-12-10T10:59:36Z,v0.8.1,,https://api.github.com/users/jasonlewis,829059,jasonlewis,https://api.github.com/repos/dingo/api/releases/770814/assets,https://api.github.com/repos/dingo/api/releases/770814,master,https://api.github.com/repos/dingo/api/tarball/v0.8.1,https://github.com/dingo/api/releases/tag/v0.8.1,https://api.github.com/repos/dingo/api/zipball/v0.8.1,v0.8.1,False,True
763057,2014-12-08T02:24:46Z,2014-12-08T02:26:16Z,v0.8.0,,https://api.github.com/users/jasonlewis,829059,jasonlewis,https://api.github.com/repos/dingo/api/releases/763057/assets,https://api.github.com/repos/dingo/api/releases/763057,master,https://api.github.com/repos/dingo/api/tarball/v0.8.0,https://github.com/dingo/api/releases/tag/v0.8.0,https://api.github.com/repos/dingo/api/zipball/v0.8.0,v0.8.0,False,True
