id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7770846,2017-09-15T09:30:12Z,2017-09-15T15:09:35Z,4.0.0-alpha3,"* Support tracking Jersey filters in Jersey resources (#1118, #1193)
* Add `ResponseMetered` annotation for Jersey resources (#1186) ",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/7770846/assets,https://api.github.com/repos/dropwizard/metrics/releases/7770846,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v4.0.0-alpha3,https://github.com/dropwizard/metrics/releases/tag/v4.0.0-alpha3,https://api.github.com/repos/dropwizard/metrics/zipball/v4.0.0-alpha3,v4.0.0-alpha3,False,False
7770795,2017-09-15T08:34:13Z,2017-09-15T15:06:02Z,3.2.5,* [InstrumentedScheduledExecutorService] Fix the scheduledFixedDelay to call the correct method #1192 ,https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/7770795/assets,https://api.github.com/repos/dropwizard/metrics/releases/7770795,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.2.5,https://github.com/dropwizard/metrics/releases/tag/v3.2.5,https://api.github.com/repos/dropwizard/metrics/zipball/v3.2.5,v3.2.5,False,False
7514974,2017-08-03T13:01:23Z,2017-08-24T20:04:32Z,3.2.4,"* Fix GraphiteReporter rate reporting #1167 
* Remove non Jdk6 compatible letter from date pattern #1163 
* Fix uncaught CancellationException when stopping reporter #1170 ",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/7514974/assets,https://api.github.com/repos/dropwizard/metrics/releases/7514974,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.2.4,https://github.com/dropwizard/metrics/releases/tag/v3.2.4,https://api.github.com/repos/dropwizard/metrics/zipball/v3.2.4,v3.2.4,False,False
6929441,2017-06-28T07:48:41Z,2017-07-04T19:33:17Z,3.2.3,"*  Improve ScheduledReporter convertDurations precision #1115 
*  Suppress all kinds of Throwables raised by report() #1128 
*  Exponentially Decaying Reservoir was giving incorrect values in the snapshot if the inactive period was too long #1135
*  Ability to get default metrics registry without an exception #1140
*  Ability to get default health check registry without an exception #1152 
* `SlidingTimeWindowArrayReservoir` as a fast alternative of `SlidingTimeWindowReservoir` #1139 #1144 #1145 
*  Avoid a NPE in `toString` of `HealthCheck.Result` #1141 ",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/6929441/assets,https://api.github.com/repos/dropwizard/metrics/releases/6929441,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.2.3,https://github.com/dropwizard/metrics/releases/tag/v3.2.3,https://api.github.com/repos/dropwizard/metrics/zipball/v3.2.3,v3.2.3,False,False
6589384,2017-06-02T17:52:58Z,2017-06-02T18:19:50Z,3.1.5,* More robust lookup of *ThreadLocal* and *LongAdder* on JDK6 (e.g. WebLogic) #1136 ,https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/6589384/assets,https://api.github.com/repos/dropwizard/metrics/releases/6589384,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.1.5,https://github.com/dropwizard/metrics/releases/tag/v3.1.5,https://api.github.com/repos/dropwizard/metrics/zipball/v3.1.5,v3.1.5,False,False
5803772,2017-03-20T14:16:29Z,2017-03-20T14:34:07Z,3.2.2,"* Fix creating a uniform snapshot from a collection #1111
* Register metrics defined at Resource level #1105",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/5803772/assets,https://api.github.com/repos/dropwizard/metrics/releases/5803772,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.2.2,https://github.com/dropwizard/metrics/releases/tag/v3.2.2,https://api.github.com/repos/dropwizard/metrics/zipball/v3.2.2,v3.2.2,False,False
5704506,2017-03-10T15:39:26Z,2017-03-10T15:58:04Z,3.2.1,"* Shutdown health check registry #1084
* Add support for the default shared health check registry name #1095
* Make SharedMetricRegistries thread-safe #1094 
* Report the size of the snapshot via JMX #1102
* Don't ignore the counter attribute #1090
* Add support to disable attributes in ConsoleReporter #1092
* Rollback GraphiteSanitize to replacing whitespaces #1099",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/5704506/assets,https://api.github.com/repos/dropwizard/metrics/releases/5704506,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.2.1,https://github.com/dropwizard/metrics/releases/tag/v3.2.1,https://api.github.com/repos/dropwizard/metrics/zipball/v3.2.1,v3.2.1,False,False
5702801,2017-03-10T13:23:01Z,2017-03-10T13:41:40Z,3.1.4,* Fix accidentally broken Graphite UDP reporter #1100,https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/5702801/assets,https://api.github.com/repos/dropwizard/metrics/releases/5702801,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.1.4,https://github.com/dropwizard/metrics/releases/tag/v3.1.4,https://api.github.com/repos/dropwizard/metrics/zipball/v3.1.4,v3.1.4,False,False
5563243,2017-02-24T14:18:46Z,2017-02-24T14:37:51Z,3.2.0,"- `GraphiteReporter` opens a new TCP connection when sending metrics instead of maintaining a persisted connection. #1047 
- `GraphiteReporter` retries DNS lookups in case of a lookup failure. #1064
- `ScheduledReporter` suppresses all kind of exceptions raised by the `report` method. #1049 
- JDK's `ThreadLocalRandom` is now used by default. #1052
- JDK's `LongAdder` is now used by default. #1055 
- Fixed a race condition bug in `ExponentiallyDecayingReservoir`. #1033 
- Fixed a long overflow bug in `SlidingTimeWindowReservoir`. #1063
- `AdminServlet` supports CPU profiling. #927 
- `GraphiteReporter` sanitizes metrics. #938
- Support for publishing `BigInteger` and `BigDecimal` metrics in `GraphiteReporter`. #933 
- Support for publishing boolean metrics in `GraphiteReporter`. #905
- Added support for overriding the format of floating numbers in `GraphiteReporter`. #1073 
- Added support for disabling reporting of metric attributes. #1048 
- Reporters are more user friendly for managed environments like GAE or JEE. #1018
- Support for setting a custom initial delay for reporters. #999 
- Support for custom details in a result of a health check. #663
- Support for asynchronous health checks #1077
- Added a listener for health checks. #1068
- Health checks are reported as unhealthy on exceptions. #783 
- Allow setting a custom prefix for Jetty's `InstrumentedQueuedThreadPool`. #947
- Allow setting custom prefix for Jetty's `QueuedThreadPool`. #908 
- Added support for Jetty 9.3 and higher. #1038
- Fixed instrumentation of Jetty9 async servlets. #1074 
- Added support for JCache/JSR 107 metrics. #1010
- Added thread-safe getters for metrics with custom instantiations. #1023 
- Added an overload of `Timer#time` that takes a `Runnable`. #989
- Support extracting the request URI from wrapped requests in `HttpClientMetricNameStrategies`. #947 
- Support for the log4j2 xml-based config. #900
- Internal `Striped64` doesn't depend on `sun.misc.Unsafe` anymore. #966 
- Optimized creation of `UniformSnapshot`. #970
- Added a memory pool gauge to the JVM memory usage metrics. #786 
- Added support for async servlets for `metric-servlet`. #796
- Opt-in default shared metric registry. #801 
- Added support for patterns in MBean object names #809 
- Allow a pluggable strategy for the name of the CSV files for `CsvReporter`. #882
- Upgraded to slf4j 1.22
- Upgraded to Jackson 2.6.6
- Upgraded to amqp-client 3.6.6
- Upgraded to httpclient 4.5.2
- Upgraded to log4j2 2.3
- Upgraded to logback 1.1.10
",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/5563243/assets,https://api.github.com/repos/dropwizard/metrics/releases/5563243,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.2.0,https://github.com/dropwizard/metrics/releases/tag/v3.2.0,https://api.github.com/repos/dropwizard/metrics/zipball/v3.2.0,v3.2.0,False,False
5562927,2017-02-24T13:56:08Z,2017-02-24T14:09:54Z,3.1.3,"- `GraphiteReporter` opens a new TCP connection when sending metrics instead of maintaining a persisted connection. #1036
- \* `GraphiteReporter` retries DNS lookups in case of a lookup failure. `#1064
- `ScheduledReporter` suppresses all kind of exceptions raised by the `report` method. #1040 
- JDK's `ThreadLocalRandom` is now used by default. #1052
- JDK's `LongAdder` is now used by default. `#1055
- Fixed a race condition bug in `ExponentiallyDecayingReservoir` #1046
- Fixed a long overflow bug in `SlidingTimeWindowReservoir`  #1072
",https://api.github.com/users/arteam,1717632,arteam,https://api.github.com/repos/dropwizard/metrics/releases/5562927/assets,https://api.github.com/repos/dropwizard/metrics/releases/5562927,4.0-development,https://api.github.com/repos/dropwizard/metrics/tarball/v3.1.3,https://github.com/dropwizard/metrics/releases/tag/v3.1.3,https://api.github.com/repos/dropwizard/metrics/zipball/v3.1.3,v3.1.3,False,False
