id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8065920,2017-09-27T08:12:49Z,2017-10-10T16:44:05Z,Beats 5.6.3,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.6/release-notes-5.6.3.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/8065920/assets,https://api.github.com/repos/elastic/beats/releases/8065920,master,https://api.github.com/repos/elastic/beats/tarball/v5.6.3,https://github.com/elastic/beats/releases/tag/v5.6.3,https://api.github.com/repos/elastic/beats/zipball/v5.6.3,v5.6.3,False,False
7923116,2017-09-25T14:00:06Z,2017-09-28T17:12:59Z,Beats 6.0.0-rc1,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/6.0/release-notes-6.0.0-rc1.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7923116/assets,https://api.github.com/repos/elastic/beats/releases/7923116,master,https://api.github.com/repos/elastic/beats/tarball/v6.0.0-rc1,https://github.com/elastic/beats/releases/tag/v6.0.0-rc1,https://api.github.com/repos/elastic/beats/zipball/v6.0.0-rc1,v6.0.0-rc1,False,True
7891559,2017-09-18T23:09:53Z,2017-09-26T16:54:57Z,Beats 5.6.2,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.6/release-notes-5.6.2.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7891559/assets,https://api.github.com/repos/elastic/beats/releases/7891559,master,https://api.github.com/repos/elastic/beats/tarball/v5.6.2,https://github.com/elastic/beats/releases/tag/v5.6.2,https://api.github.com/repos/elastic/beats/zipball/v5.6.2,v5.6.2,False,False
7790187,2017-09-11T19:46:22Z,2017-09-18T17:22:38Z,Beats 5.6.1,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.6/release-notes-5.6.1.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7790187/assets,https://api.github.com/repos/elastic/beats/releases/7790187,master,https://api.github.com/repos/elastic/beats/tarball/v5.6.1,https://github.com/elastic/beats/releases/tag/v5.6.1,https://api.github.com/repos/elastic/beats/zipball/v5.6.1,v5.6.1,False,False
7682998,2017-09-06T11:07:23Z,2017-09-11T16:12:10Z,Beats 5.6.0,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.6/release-notes-5.6.0.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7682998/assets,https://api.github.com/repos/elastic/beats/releases/7682998,master,https://api.github.com/repos/elastic/beats/tarball/v5.6.0,https://github.com/elastic/beats/releases/tag/v5.6.0,https://api.github.com/repos/elastic/beats/zipball/v5.6.0,v5.6.0,False,False
7682987,2017-09-06T11:07:23Z,2017-09-11T16:11:41Z,Beats 5.5.3,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.5/release-notes-5.5.3.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7682987/assets,https://api.github.com/repos/elastic/beats/releases/7682987,master,https://api.github.com/repos/elastic/beats/tarball/v5.5.3,https://github.com/elastic/beats/releases/tag/v5.5.3,https://api.github.com/repos/elastic/beats/zipball/v5.5.3,v5.5.3,False,False
7572088,2017-08-28T09:40:21Z,2017-08-31T20:45:11Z,Beats 6.0.0-beta2,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/6.0/release-notes-6.0.0-beta2.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7572088/assets,https://api.github.com/repos/elastic/beats/releases/7572088,master,https://api.github.com/repos/elastic/beats/tarball/v6.0.0-beta2,https://github.com/elastic/beats/releases/tag/v6.0.0-beta2,https://api.github.com/repos/elastic/beats/zipball/v6.0.0-beta2,v6.0.0-beta2,False,True
7421977,2017-08-08T16:09:58Z,2017-08-17T17:58:39Z,Beats 5.5.2,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.5/release-notes-5.5.2.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7421977/assets,https://api.github.com/repos/elastic/beats/releases/7421977,master,https://api.github.com/repos/elastic/beats/tarball/v5.5.2,https://github.com/elastic/beats/releases/tag/v5.5.2,https://api.github.com/repos/elastic/beats/zipball/v5.5.2,v5.5.2,False,False
7247294,2017-08-02T18:00:40Z,2017-08-08T17:29:11Z,Beats 6.0.0-beta1,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/6.0/release-notes-6.0.0-beta1.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7247294/assets,https://api.github.com/repos/elastic/beats/releases/7247294,master,https://api.github.com/repos/elastic/beats/tarball/v6.0.0-beta1,https://github.com/elastic/beats/releases/tag/v6.0.0-beta1,https://api.github.com/repos/elastic/beats/zipball/v6.0.0-beta1,v6.0.0-beta1,False,True
7155778,2017-07-18T17:10:37Z,2017-07-25T16:00:48Z,Beats 5.5.1,"Downloads: https://www.elastic.co/downloads/beats

Release notes: https://www.elastic.co/guide/en/beats/libbeat/5.5/release-notes-5.5.1.html",https://api.github.com/users/tsg,101817,tsg,https://api.github.com/repos/elastic/beats/releases/7155778/assets,https://api.github.com/repos/elastic/beats/releases/7155778,master,https://api.github.com/repos/elastic/beats/tarball/v5.5.1,https://github.com/elastic/beats/releases/tag/v5.5.1,https://api.github.com/repos/elastic/beats/zipball/v5.5.1,v5.5.1,False,False
