id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8239213,2017-10-24T14:56:24Z,2017-10-24T15:06:17Z,v0.11.0,"* Add `--env` CLI option to preload environment (#131, #132)
* Add support for persistent history (#130)
* Drop Python 2.6 support (#129)
* Ignore `data.json` generated from tests (#128)",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/8239213/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/8239213,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.11.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.11.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.11.0,v0.11.0,False,False
7251275,2017-08-02T04:45:22Z,2017-08-02T04:50:19Z,v0.10.2,"* Fix typos in documentation (#119, #121)
* Use tuples inside of str.startswith (#122)
* Remove extra argument from six.u (#123)
* Conditionally install ordereddict package on Python 2.6 (#124)",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/7251275/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/7251275,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.10.2,https://github.com/eliangcs/http-prompt/releases/tag/v0.10.2,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.10.2,v0.10.2,False,False
6353020,2017-05-11T13:22:53Z,2017-05-11T13:28:25Z,v0.10.1,"* cd without an argument resets URL to root (#114)
* Fix --spec crash issue on Windows (#116)",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/6353020/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/6353020,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.10.1,https://github.com/eliangcs/http-prompt/releases/tag/v0.10.1,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.10.1,v0.10.1,False,False
6092744,2017-03-28T09:22:55Z,2017-04-16T15:48:04Z,v0.10.0,* Add support for ls and OpenAPI/Swagger spec (#63),https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/6092744/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/6092744,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.10.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.10.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.10.0,v0.10.0,False,False
5882644,2017-03-27T15:27:07Z,2017-03-27T16:03:25Z,v0.9.3,"* Change LICENSE from MIT to AGPL
* Add COMM-LICENSE",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/5882644/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/5882644,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.9.3,https://github.com/eliangcs/http-prompt/releases/tag/v0.9.3,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.9.3,v0.9.3,False,False
5466815,2017-02-15T16:06:23Z,2017-02-15T16:11:54Z,v0.9.2,"- Fix bug: Unable to escape separator in paramter name (#106)
- Fix bug: rm -b autocomplete for raw json paramters (29e0895)
- Fix bug: Cursor being reset to position 0 (#107)
- Fix bug: UnboundLocalError on 'new_opts' (#110)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/5466815/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/5466815,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.9.2,https://github.com/eliangcs/http-prompt/releases/tag/v0.9.2,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.9.2,v0.9.2,False,False
5238661,2017-01-23T13:46:29Z,2017-01-23T13:48:32Z,v0.9.1,"- Fix bug: Crash when using non-ascii chars on Python 2.7 (#104)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/5238661/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/5238661,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.9.1,https://github.com/eliangcs/http-prompt/releases/tag/v0.9.1,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.9.1,v0.9.1,False,False
5162381,2017-01-15T05:35:37Z,2017-01-15T05:39:08Z,v0.9.0,"- Add support for Vi mode (#85)
- Add support for HTTPie := separator (#68)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/5162381/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/5162381,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.9.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.9.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.9.0,v0.9.0,False,False
4675180,2016-11-16T13:32:40Z,2016-11-16T13:36:34Z,v0.8.0,"- Add support for OPTIONS method (#84)
- Fix highlighting bug with parameters starting with HTTP method names (#86)
- Fix excessive newlines after headers and body (#89)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/4675180/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/4675180,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.8.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.8.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.8.0,v0.8.0,False,False
4455936,2016-10-22T03:20:32Z,2016-10-22T03:29:39Z,v0.7.0,"- New feature: Shell substitution (#54, #61, #74)
- New feature: Piping to shell (#61, #74)
- New feature: Be able to delete all parameters of a given type (#79)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/4455936/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/4455936,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.7.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.7.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.7.0,v0.7.0,False,False
4161518,2016-09-18T06:59:04Z,2016-09-18T07:01:32Z,v0.6.0,"- New feature: env command (#70, #73)
- New feature: output redirection (#70, #73)
- New feature: source and exec commands (#70, #73)
- Remove grouped-by-hostname persistent contexts (#70, #73)
- Change default URL to http://localhost:8000 (#78)
- Change persistent context format from JSON to ""http-prompt script"" (#78)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/4161518/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/4161518,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.6.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.6.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.6.0,v0.6.0,False,False
4148572,2016-07-31T10:21:09Z,2016-09-16T02:06:53Z,v0.5.0,"- Fix bug: Syntax error on option names with dashes (#69)
- Allow to set cookies automatically (#46)
- Add contributing guide (#62)
",https://api.github.com/users/eliangcs,740461,eliangcs,https://api.github.com/repos/eliangcs/http-prompt/releases/4148572/assets,https://api.github.com/repos/eliangcs/http-prompt/releases/4148572,master,https://api.github.com/repos/eliangcs/http-prompt/tarball/v0.5.0,https://github.com/eliangcs/http-prompt/releases/tag/v0.5.0,https://api.github.com/repos/eliangcs/http-prompt/zipball/v0.5.0,v0.5.0,False,False
