id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8055121,2017-10-08T09:41:28Z,2017-10-09T23:31:00Z,Zstandard v1.3.2 - Long Range Mode,"# Zstandard Long Range Match Finder

Zstandard has a new long range match finder written by our intern Stella Lau (@stellamplau), which specializes on finding long matches in the distant past. It integrates seamlessly with the regular compressor, and the output can be decompressed just like any other Zstandard compressed data.

The long range match finder adds minimal overhead to the compressor, works with any compression level, and maintains Zstandard's blazingly fast decompression speed. However, since the window size is larger, it requires more memory for compression and decompression.

To go along with the long range match finder, we've increased the maximum window size to 2 GB. The decompressor only accepts window sizes up to 128 MB by default, but `zstd -d --memory=2GB` will decompress window sizes up to 2 GB.

## Example usage

```
# 128 MB window size
zstd -1 --long file
zstd -d file.zst

# 2 GB window size (window log = 31)
zstd -6 --long=31 file
zstd -d --long=31 file.zst
# OR
zstd -d --memory=2GB file.zst
```

```c
ZSTD_CCtx *cctx = ZSTD_createCCtx();
ZSTD_CCtx_setParameter(cctx, ZSTD_p_compressionLevel, 19);
ZSTD_CCtx_setParameter(cctx, ZSTD_p_enableLongDistanceMatching, 1); // Sets windowLog=27
ZSTD_CCtx_setParameter(cctx, ZSTD_p_windowLog, 30); // Optionally increase the window log
ZSTD_compress_generic(cctx, &out, &in, ZSTD_e_end);

ZSTD_DCtx *dctx = ZSTD_createDCtx();
ZSTD_DCtx_setMaxWindowSize(dctx, 1 << 30);
ZSTD_decompress_generic(dctx, &out, &in);
```

## Benchmarks

We compared the zstd long range matcher to zstd and [lrzip](https://github.com/ckolivas/lrzip). The benchmarks were run on an AMD Ryzen 1800X (8 cores with 16 threads at 3.6 GHz).

### Compressors

* zstd — The regular Zstandard compressor.
* zstd 128 MB — The Zstandard compressor with a 128 MB window size.
* zstd 2 GB — The Zstandard compressor with a 2 GB window size.
* lrzip xz — The lrzip compressor with default options, which uses the xz backend at level 7 with 16 threads.
* lrzip xz single — The lrzip compressor with a single-threaded xz backend at level 7.
* lrzip zstd — The lrzip compressor without a backend, then its output is compressed by zstd (not multithreaded).

### Files

* Linux 4.7 - 4.12 — This file consists of the uncompressed tarballs of the six Linux kernel release from 4.7 to 4.12 concatenated together in order. This file is extremely compressible if the compressor can match against the previous versions well.
* Linux git — This file is a tarball of the linux repo, created by `git clone https://github.com/torvalds/linux && tar -cf linux-git.tar linux/`. This file gets a small benefit from long range matching. This file shows how the long range matcher performs when there isn't too many matches to find.

### Results

Both zstd and zstd 128 MB don't have large enough of a window size to compress Linux 4.7 - 4.12 well. zstd 2 GB compresses the fastest, and slightly better than lrzip-zstd. lrzip-xz compresses the best, and at a reasonable speed with multithreading enabled. The place where zstd shines is decompression ease and speed. Since it is just regular Zstandard compressed data, it is decompressed by the highly optimized decompressor.

The Linux git file shows that the long range matcher maintains good compression and decompression speed, even when there are far less long range matches. The decompression speed takes a small hit because it has to look further back to reconstruct the matches.

Compression Ratio vs Speed | Decompression Speed
---------------------------|--------------------
![Linux 4.7 - 12 compression ratio vs speed](https://github.com/facebook/zstd/blob/6d8778d8e7af50f0a7055d239df796e34f188239/doc/images/linux-4.7-12-compress.png ""Linux 4.7 - 12 compression ratio vs speed"") | ![Linux 4.7 - 12 decompression speed](https://github.com/facebook/zstd/blob/6d8778d8e7af50f0a7055d239df796e34f188239/doc/images/linux-4.7-12-decompress.png ""Linux 4.7 - 12 decompression speed"")
![Linux git compression ratio vs speed](https://github.com/facebook/zstd/blob/6d8778d8e7af50f0a7055d239df796e34f188239/doc/images/linux-git-compress.png ""Linux git compression ratio vs speed"") | ![Linux git decompression speed](https://github.com/facebook/zstd/blob/6d8778d8e7af50f0a7055d239df796e34f188239/doc/images/linux-git-decompress.png ""Linux git decompression speed"")

## Implementation details 

The long distance match finder was inspired by great work from Con Kolivas' [lrzip](http://ck.kolivas.org/apps/lrzip/README.md), which in turn was inspired by Andrew Tridgell's [rzip](https://rzip.samba.org/). Also, let's mention Bulat Ziganshin's [srep](https://encode.ru/threads/43-FreeArc?highlight=srep), which we have not been able to test unfortunately (site down), but the discussions on [encode.ru](https://encode.ru/forums/2-Data-Compression) proved great sources of inspiration.

Therefore, many similar mechanisms are adopted, such as using a [rolling hash](https://en.wikipedia.org/wiki/Rolling_hash), and filling a [hash table](https://en.wikipedia.org/wiki/Hash_table) divided into buckets of entries.

That being said, we also made different choices, with the goal to favor speed, as can be observed in benchmark. The rolling hash formula is selected for computing efficiency. There is a restrictive insertion policy, which only inserts candidates that respect a mask condition. The insertion policy allows us to skip the hash table in the common case that a match isn't present. Confirmation bits are saved, to only check for matches when there is a strong presumption of success. These and a few more details add up to make zstd's long range matcher a speed-oriented implementation.

The biggest difference though is that the long range matcher is blended into the regular compressor, producing a single valid zstd frame, undistinguishable from normal operation (except obviously for the larger window size). This makes decompression a single pass process, preserving its speed property.

More details are available directly in source code, at [lib/compress/zstd_ldm.c](https://github.com/facebook/zstd/blob/master/lib/compress/zstd_ldm.c).

## Future work

This is a first implementation, and it still has a few limitations, that we plan to lift in the future.

The long range matcher doesn't interact well with multithreading. Due to the way zstd multithreading is currently implemented, memory usage will scale with the window size times the number of threads, which is a problem for large window sizes. We plan on supporting multithreaded long range matching with reasonable memory usage in a future version.

Secondly, Zstandard is currently limited to a 2 GB window size because of indexer's design. While this is a significant update compared to previous 128 MB limit, we believe this limitation can be lifted altogether, with some structural changes in the indexer. However, it also means that window size would become really big, with knock-off consequences on memory usage. So, to reduce this load, we will have to consider memory map as a complementary way to reference past content in the uncompressed file.

# Detailed list of changes 

- new : __long range mode__, using `--long` command, by Stella Lau (@stellamplau)
- new : ability to generate and decode magicless frames (#591)
- changed : maximum nb of threads reduced to 200, to avoid address space exhaustion in 32-bits mode
- fix : multi-threading compression works with custom allocators, by @terrelln 
- fix : a rare compression bug when compression generates very large distances and bunch of other conditions (only possible at `--ultra -22`)
- fix : 32-bits build can now decode large offsets (levels 21+)
- cli : added LZ4 frame support by default, by Felix Handte (@felixhandte)
- cli : improved `--list` output
- cli : new : can split input file for dictionary training, using command `-B#`
- cli : new : clean operation artefact on Ctrl-C interruption (#854)
- cli : fix : do not change /dev/null permissions when using command `-t` with root access, reported by @mike155 (#851)
- cli : fix : write file size in header in multiple-files mode
- api : added macro `ZSTD_COMPRESSBOUND()` for static allocation
- api : experimental : new advanced decompression API
- api : fix : `sizeof_CCtx()` used to over-estimate
- build: fix : compilation works with `-mbmi` (#868)
- build: fix : no-multithread variant compiles without `pool.c` dependency, reported by Mitchell Blank Jr (@mitchblank) (#819)
- build: better compatibility with reproducible builds, by Bernhard M. Wiedemann (@bmwiedemann) (#818)
- example : added `streaming_memory_usage`
- license : changed /examples license to BSD + GPLv2
- license : fix a few header files to reflect new license (#825)

",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/8055121/assets,https://api.github.com/repos/facebook/zstd/releases/8055121,master,https://api.github.com/repos/facebook/zstd/tarball/v1.3.2,https://github.com/facebook/zstd/releases/tag/v1.3.2,https://api.github.com/repos/facebook/zstd/zipball/v1.3.2,v1.3.2,False,False
7862187,2017-09-22T16:01:39Z,2017-09-22T23:16:48Z,Zstandard Fuzz Corpora,Zstandard Fuzz Corpora,https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/7862187/assets,https://api.github.com/repos/facebook/zstd/releases/7862187,dev,https://api.github.com/repos/facebook/zstd/tarball/fuzz-corpora,https://github.com/facebook/zstd/releases/tag/fuzz-corpora,https://api.github.com/repos/facebook/zstd/zipball/fuzz-corpora,fuzz-corpora,False,True
7457053,2017-08-20T19:34:18Z,2017-08-20T19:37:00Z,Zstandard v1.3.1,"- **New license** : BSD + GPLv2
- perf: substantially decreased memory usage in Multi-threading mode, thanks to reports by Tino Reichardt (@mcmilk)
- perf: Multi-threading supports up to 256 threads. Cap at 256 when more are requested (#760)
- cli : improved and fixed `--list` command, by @ib (#772)
- cli : command `-vV` lists supported formats, by @ib (#771)
- build : fixed binary variants, reported by @svenha (#788)
- build : fix Visual compilation for non x86/x64 targets, reported by @GregSlazinski (#718)
- API exp : breaking change : `ZSTD_getframeHeader()` provides more information
- API exp : breaking change : pinned down values of error codes
- doc : fixed huffman example, by Ulrich Kunitz (@ulikunitz)
- new : `contrib/adaptive-compression`, I/O driven compression level, by Paul Cruz (@paulcruz74)
- new : `contrib/long_distance_matching`, statistics tool by Stella Lau (@stellamplau)
- updated : `contrib/linux-kernel`, by Nick Terrell (@terrelln)",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/7457053/assets,https://api.github.com/repos/facebook/zstd/releases/7457053,master,https://api.github.com/repos/facebook/zstd/tarball/v1.3.1,https://github.com/facebook/zstd/releases/tag/v1.3.1,https://api.github.com/repos/facebook/zstd/zipball/v1.3.1,v1.3.1,False,False
6941255,2017-07-05T18:05:17Z,2017-07-05T18:05:54Z,Zstandard v1.3.0,"cli : new : `--list` command, by @paulcruz74 
cli : changed : xz/lzma support enabled by default
cli : changed : `-t *` continue processing list after a decompression error
API : added : `ZSTD_versionString()`
API : promoted to stable status : `ZSTD_getFrameContentSize()`, by @iburinoc 
API exp : **new advanced API** : `ZSTD_compress_generic()`, `ZSTD_CCtx_setParameter()`
API exp : new : API for static or external allocation : `ZSTD_initStatic?Ctx()`
API exp : added : `ZSTD_decompressBegin_usingDDict()`, requested by @Crazee (#700)
API exp : clarified memory estimation / measurement functions.
API exp : changed : strongest strategy renamed `ZSTD_btultra`, fastest strategy `ZSTD_fast` set to 1
Improved : reduced stack memory usage, by @terrelln and @stellamplau 
tools : decodecorpus can generate random dictionary-compressed samples, by @paulcruz74 
new : contrib/seekable_format, demo and API, by @iburinoc 
changed : contrib/linux-kernel, updated version and license, by @terrelln ",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/6941255/assets,https://api.github.com/repos/facebook/zstd/releases/6941255,master,https://api.github.com/repos/facebook/zstd/tarball/v1.3.0,https://github.com/facebook/zstd/releases/tag/v1.3.0,https://api.github.com/repos/facebook/zstd/zipball/v1.3.0,v1.3.0,False,False
6283068,2017-05-04T18:18:24Z,2017-05-04T18:23:23Z,Zstandard v1.2.0,"Major features :
- Multithreading is enabled by default in the cli. Use `-T#` to select nb of thread. To disable multithreading, build target `zstd-nomt` or compile with `HAVE_THREAD=0`.
- New dictionary builder named ""cover"" with improved quality (produces better compression ratio), by @terrelln. Legacy dictionary builder remains available, using `--train-legacy` command.

Other changes :
cli : new : command `-T0` means ""detect and use nb of cores"", by @iburinoc 
cli : new : `zstdmt` symlink hardwired to `zstd -T0`
cli : new : command `--threads=#` (#671)
cli : new : commands `--train-cover` and `--train-legacy`, to select dictionary algorithm and parameters
cli : experimental targets `zstd4` and `xzstd4`, supporting lz4 format, by @iburinoc 
cli : fix : does not output compressed data on console
cli : fix : ignore symbolic links unless `--force` specified,
API : breaking change : `ZSTD_createCDict_advanced()` uses `compressionParameters` as argument
API : added : prototypes `ZSTD_*_usingCDict_advanced()`, for direct control over `frameParameters`.
API : improved: `ZSTDMT_compressCCtx()` reduced memory usage
API : fix : `ZSTDMT_compressCCtx()` now provides `srcSize` in header (#634)
API : fix : src size stored in frame header is controlled at end of frame
API : fix : enforced consistent rules for `pledgedSrcSize==0` (#641)
API : fix : error code `GENERIC` replaced by `dstSizeTooSmall` when appropriate
build: improved cmake script, by @Majlen
build: enabled Multi-threading support for *BSD, by @bapt 
tools: updated `paramgrill`. Command `-O#` provides best parameters for sample and speed target.
new : `contrib/linux-kernel` version, by @terrelln ",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/6283068/assets,https://api.github.com/repos/facebook/zstd/releases/6283068,master,https://api.github.com/repos/facebook/zstd/tarball/v1.2.0,https://github.com/facebook/zstd/releases/tag/v1.2.0,https://api.github.com/repos/facebook/zstd/zipball/v1.2.0,v1.2.0,False,False
5787917,2017-03-16T00:31:40Z,2017-03-17T21:33:25Z,Zstandard v1.1.4,"cli : new : can compress in `*.gz` format, using `--format=gzip` command, by @inikep 
cli : new : advanced benchmark command `--priority=rt`
cli : fix : write on sparse-enabled file systems in 32-bits mode, by @ds77
cli : fix : `--rm` remains silent when input is stdin
cli : experimental `xzstd` target, with support for xz/lzma decoding, by @inikep
speed : improved decompression speed in streaming mode for single pass scenarios (+5%)
memory : DDict (decompression dictionary) memory usage down from 150 KB to 20 KB
arch : 32-bits variant able to generate and decode very long matches (>32 MB), by @iburinoc 
API : new : `ZSTD_findFrameCompressedSize()`, `ZSTD_getFrameContentSize()`, `ZSTD_findDecompressedSize()`
API : changed : dropped support of legacy versions <= v0.3 (can be selected by modifying `ZSTD_LEGACY_SUPPORT` value)
build: new: meson build system in contrib/meson, by @dimkr 
build: improved cmake script, by @Majlen
build: added `-Wformat-security` flag, as recommended by @pixelb 
doc : new : `doc/educational_decoder`, by @iburinoc 

__Warning__ : the experimental target `zstdmt` contained in this release has an issue when using multiple threads on large enough files, which makes it generate buggy header. While fixing the header after the fact is possible, it's still better to avoid the issue. This can be done by using `zstdmt` in pipe mode : 
`cat file | zstdmt -T2 -o file.zst`
This issue is fixed in current `dev` branch, so alternatively, create `zstdmt` from `dev` branch.

_Note_ : pre-compiled Windows binaries attached below contain the fix for `zstdmt`",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/5787917/assets,https://api.github.com/repos/facebook/zstd/releases/5787917,master,https://api.github.com/repos/facebook/zstd/tarball/v1.1.4,https://github.com/facebook/zstd/releases/tag/v1.1.4,https://api.github.com/repos/facebook/zstd/zipball/v1.1.4,v1.1.4,False,False
5372990,2017-02-06T17:17:34Z,2017-02-06T17:19:09Z,Zstandard v1.1.3,"cli : zstd can decompress .gz files (can be disabled with `make zstd-nogz` or `make HAVE_ZLIB=0`)
cli : new : experimental target `make zstdmt`, with multi-threading support
cli : new : improved dictionary builder ""cover"" (experimental), by @terrelln, based on previous work by @ot 
cli : new : advanced commands for detailed parameters, by @inikep
cli : fix zstdless on Mac OS-X, by @apjanke
cli : fix #232 ""compress non-files""
API : new : `lib/compress/ZSTDMT_compress.h` multithreading API (experimental)
API : new : `ZSTD_create?Dict_byReference()`, requested by Bartosz Taudul
API : new : `ZDICT_finalizeDictionary()`
API : fix : `ZSTD_initCStream_usingCDict()` properly writes dictID into frame header, by @indygreg (#511)
API : fix : all symbols properly exposed in libzstd, by @terrelln
build : support for Solaris target, by @inikep
doc : clarified specification, by @iburinoc

Sample set for reference dictionary compression benchmark
=============================================
```
# Download and expand sample set 
wget https://github.com/facebook/zstd/releases/download/v1.1.3/github_users_sample_set.tar.zst
zstd -d github_users_sample_set.tar.zst
tar xf github_users_sample_set.tar
```

```
# benchmark sample set with and without dictionary compression
zstd -b1 -r github
zstd --train -r github
zstd -b1 -r github -D dictionary
```

```
# rebuild sample set archive
tar cf github_users_sample_set.tar github
zstd -f --ultra -22 github_users_sample_set.tar
```
",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/5372990/assets,https://api.github.com/repos/facebook/zstd/releases/5372990,master,https://api.github.com/repos/facebook/zstd/tarball/v1.1.3,https://github.com/facebook/zstd/releases/tag/v1.1.3,https://api.github.com/repos/facebook/zstd/zipball/v1.1.3,v1.1.3,False,False
4926792,2016-12-14T13:53:47Z,2016-12-15T08:00:35Z,Zstandard v1.1.2,"**new** : programs/**gzstd** , combined `*.gz` and `*.zst` decoder, by @inikep 
**new** : zstdless, less on compressed `*.zst` files
**new** : zstdgrep, grep on compressed `*.zst` files
fixed : zstdcat

cli : new : preserve file attributes
cli : fixed : status displays total amount decoded, even for file consisting of multiple frames (like pzstd)
lib : improved : faster decompression speed at ultra compression settings and 32-bits mode
lib : changed : only public ZSTD_ symbols are now exposed in dynamic library
lib : changed : reduced usage  of stack memory
lib : fixed : several corner case bugs, by @terrelln 
API : streaming : decompression : changed : automatic implicit reset when chain-decoding new frames without init
API : experimental : added : dictID retrieval functions, and ZSTD_initCStream_srcSize()
API : zbuff : changed : prototypes now generate deprecation warnings
zlib_wrapper : added support for gz\* functions, by @inikep 
install : better compatibility with FreeBSD, by @DimitryAndric 
source tree : changed : zbuff source files moved to lib/deprecated
",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/4926792/assets,https://api.github.com/repos/facebook/zstd/releases/4926792,dev,https://api.github.com/repos/facebook/zstd/tarball/v1.1.2,https://github.com/facebook/zstd/releases/tag/v1.1.2,https://api.github.com/repos/facebook/zstd/zipball/v1.1.2,v1.1.2,False,False
4543918,2016-11-01T18:13:22Z,2016-11-02T04:06:40Z,Zstandard v1.1.1,"New : cli commands `-M#`, `--memory=`, `--memlimit=`, `--memlimit-decompress=` to limit allowed memory consumption during decompression
New : doc/zstd_manual.html, by @inikep
Improved : slightly better compression ratio at `--ultra` levels (>= 20)
Improved : better memory usage when using streaming compression API, thanks to @Rogier-5 report
Added : API : `ZSTD_initCStream_usingCDict()`, `ZSTD_initDStream_usingDDict()` (experimental section)
Added : `examples/multiple_streaming_compression.c`
Changed : `zstd_errors.h` is now installed within `/include` (and replaces `errors_public.h`)
Updated man page
Fixed : several sanitizer warnings, by @terrelln 
Fixed : `zstd-small`, `zstd-compress` and `zstd-decompress` compilation targets
",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/4543918/assets,https://api.github.com/repos/facebook/zstd/releases/4543918,dev,https://api.github.com/repos/facebook/zstd/tarball/v1.1.1,https://github.com/facebook/zstd/releases/tag/v1.1.1,https://api.github.com/repos/facebook/zstd/zipball/v1.1.1,v1.1.1,False,False
4247235,2016-09-27T22:15:03Z,2016-09-28T03:18:33Z,Zstandard v1.1.0,"New : **pzstd** , parallel version of zstd, by @terrelln 

added : NetBSD install target (#338)
Improved : speed for batches of small files
Improved : speed of zlib wrapper, by @inikep 
Changed : libzstd on Windows supports legacy formats, by @KrzysFR 
Fixed : CLI -d output to stdout by default when input is stdin (#322)
Fixed : CLI correctly detects console on Mac OS-X
Fixed : CLI supports recursive mode -r on Mac OS-X
Fixed : Legacy decoders use unified error codes, reported by benrg (#341), fixed by @inikep 
Fixed : compatibility with OpenBSD, reported by@juanfra684 (#319)
Fixed : compatibility with Hurd, by @inikep (#365)
Fixed : zstd-pgo, reported by @octoploid (#329)
",https://api.github.com/users/Cyan4973,750081,Cyan4973,https://api.github.com/repos/facebook/zstd/releases/4247235/assets,https://api.github.com/repos/facebook/zstd/releases/4247235,dev,https://api.github.com/repos/facebook/zstd/tarball/v1.1.0,https://github.com/facebook/zstd/releases/tag/v1.1.0,https://api.github.com/repos/facebook/zstd/zipball/v1.1.0,v1.1.0,False,False
