id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7239011,2017-08-01T08:55:58Z,2017-08-01T09:12:35Z,Release 4.0.0,See [changelog](CHANGELOG.md) for changes. ,https://api.github.com/users/Nyholm,1275206,Nyholm,https://api.github.com/repos/geocoder-php/Geocoder/releases/7239011/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/7239011,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/4.0.0,https://github.com/geocoder-php/Geocoder/releases/tag/4.0.0,https://api.github.com/repos/geocoder-php/Geocoder/zipball/4.0.0,4.0.0,False,False
2241351,2015-12-06T20:17:20Z,2015-12-06T20:20:37Z,3.3.0 (2015-12-06),"This version officially supports **PHP 7.0**.

---

## CHANGELOG
- Added: timezone field for `FreeGeoIp` provider
- Added: guess method for street and suburb
- Added: use city, town village or hamlet as locality
- Added: return ISO 3166-2 region codes for the US and the rest of the world
- Fixed: `AdminLevelCollection::checkLevel()` (#468)
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/2241351/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/2241351,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.3.0,https://github.com/geocoder-php/Geocoder/releases/tag/v3.3.0,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.3.0,v3.3.0,False,False
1935232,2015-10-09T08:30:41Z,2015-10-09T08:31:33Z,3.2.0 (2015-10-09),"- Added: add `__toString()` methods in `AdminLevel` and `Country`
- Added: `__toString()to`StreamInterface` mock
- Fixed: postal code for `GeoIP2` provider
- Fixed: Make sure we check for an error in the response of the `Yandex` provider
- Fixed: emergency message ""You need to specify the country and region codes.""

Thank you to all contributors!
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/1935232/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/1935232,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.2.0,https://github.com/geocoder-php/Geocoder/releases/tag/v3.2.0,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.2.0,v3.2.0,False,False
1665929,2015-08-13T07:42:18Z,2015-08-13T07:43:50Z,3.1.0 (2015-08-13),"- Added: show more API error messages in `GoogleMaps`
- Fixed: require `http-adapter` `~0.8`
- Fixed: use `https` transport in Yandex provider (#431)
- Updated: documentation
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/1665929/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/1665929,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.1.0,https://github.com/geocoder-php/Geocoder/releases/tag/v3.1.0,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.1.0,v3.1.0,False,False
1189210,2015-04-20T09:50:36Z,2015-04-20T09:58:48Z,New Major Version : 3.0.0 (2015-04-20),"Heya!

After three _alpha_ versions, I am really happy to announce the immediate availability of **Geocoder v3** :fire:

All changes are described in the different _pre-release_ pages:
- [v3.0.0-alpha1](https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0-alpha1)
- [v3.0.0-alpha2](https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0-alpha2)
- [v3.0.0-alpha3](https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0-alpha3)

The [GitHub documentation](https://github.com/geocoder-php/Geocoder#geocoder) is up to date, and the [website](http://geocoder-php.org/) will be updated soon.

**Thank you to all contributors** :heart::heart::heart:
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/1189210/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/1189210,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.0.0,https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.0.0,v3.0.0,False,False
949192,2015-02-13T12:39:03Z,2015-02-13T12:41:48Z,3.0.0-alpha3 (2015-02-13),"This is the new **3.0.0 pre-release**, including the following changes:
- Added: `LocaleTrait` to reduce code duplication
- Added: introduce admin levels concept (see PR #398)
- Fixed: GeoIP2 results use underscore case
- Merged: branch '2.x' (see releases 2.8.1 and 2.8.2 for more details)
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/949192/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/949192,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.0.0-alpha3,https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0-alpha3,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.0.0-alpha3,v3.0.0-alpha3,False,True
831074,2015-01-07T13:23:35Z,2015-01-07T13:31:00Z,2.8.2 (2015-01-07),"- Fixed: encoding issue for `maxmind` provider
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/831074/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/831074,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/2.8.2,https://github.com/geocoder-php/Geocoder/releases/tag/2.8.2,https://api.github.com/repos/geocoder-php/Geocoder/zipball/2.8.2,2.8.2,False,False
802855,2014-12-22T12:59:34Z,2014-12-22T13:05:59Z,3.0.0-alpha2 (2014-12-22),"This is the new **3.0.0 pre-release**, including the following changes:
- Added: Introduce `AddressCollection` class
- Added: new documentation
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/802855/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/802855,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.0.0-alpha2,https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0-alpha2,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.0.0-alpha2,v3.0.0-alpha2,False,True
794905,2014-12-18T16:18:40Z,2014-12-22T13:01:39Z,3.0.0-alpha1 (2014-12-18),"Hi!

I am proud to announce that we are ready to ship the **next major** version of Geocoder: **3.0.0**. This is a **pre-release** which will help us ensure everything works smoothly. We are currently working hard on making Geocoder related projects compatible with this new version, hence the need for a pre-release version.

Basically, we changed almost everything in this library **but** its simplicity and its robustness have been kept. Since 2012, Geocoder provides a powerful API to perform geocoding actions in PHP. However, things in PHP evolved a lot, and we decided to refactor the lib to be **more flexible**, and even **more powerful**.

For instance, **providers are now highly configurable** and Geocoder leverages a [third-party library](https://github.com/egeloen/ivory-http-adapter) implementing [PSR-7](https://github.com/php-fig/fig-standards/blob/master/proposed/http-message.md).

**Update:** the main idea behind this was to introduce a dependency to PSR-7 interfaces, and to avoid the NIH syndrom. The `http-adapter` library is a great one, and Geocoder is not about dealing with HTTP, it is about geocoding stuff.

Geocoder 3.0.0 contains **less code** than previously, 49 classes, 5 interfaces and less than 5300 lines of code for the code (tests are not included here). As a matter of fact, Geocoder 2.x has 56 classes and 6500 lines of code. Removing code was a challenge as we did not want to remove features from this library. We rather **re-organized** Geocoder to fit its initial goal: providing a simple yet powerful way to geocode street and IP addresses, with the ability to switch from one provider to another with ease. [Geocoder Extra](https://github.com/geocoder-php/geocoder-extra) contains alternative providers that are not **worldwide** and therefore less used. Again, we did not remove anything. 

New features have been added, such as the [`TimedGeocoder` implementation](https://github.com/geocoder-php/Geocoder#timedgeocoder) and a [better model layer](https://github.com/geocoder-php/Geocoder/tree/master/src/Geocoder/Model). You will find all details in the [CHANGELOG below](#full-changelog).

The documentation, which has been rewritten, also contains a description of Geocoder's [versioning strategy](https://github.com/geocoder-php/Geocoder#versioning), and we are proud to have a [Contributor Code of Conduct](https://github.com/geocoder-php/Geocoder#contributor-code-of-conduct), because the lack of diversity in Open Source is not acceptable.

Help us making Geocoder 3.0.0 **really stable** by giving this very first pre-release a try!

Last but not the least, **THANK YOU** to all contributors!!! :yellow_heart: :blue_heart: :heart: :green_heart: :ship: :star: :star2:  :blue_heart: :stars: :gift_heart: 

Let's celebrate now!

![](https://spiritofchildrensliterature.files.wordpress.com/2014/06/group-excited.gif)

### Full Changelog
- Added: `using()` method now throws an exception if provider not found
- Added: new Result classes (`Address`, `Bounds`, `Region`, `Country`, `County`, `Coordinates`)
- Added: new named exceptions
- Added: better exception messages
- Added: new HTTP layer thanks to `egeloen/http-adapter` library
- Added: `TimedGeocoder` implementation (works with StopWatch Symfony component)
- Added: `AbstractHttpProvider` (extending `AbstractProvider`)
- Added: provide a way to use IpInfoDB country precision
- Added: cached responses for BingMaps provider (tests)
- Added: cached reponse for GoogleMaps provider (tests)
- Added: `ProviderAggregator` (replacing the former `Geocoder` class)
- Added: ability to change providers locale at runtime
- Documentation: almost entirely rewritten
- Documentation: a note on versioning has been added
- Documentation: a Contributor Code of Conduct has been added for the entire
  Geocoder project
- Fixed: phpdoc, wording
- Fixed: providers are now highly configurable, even at runtime
- Fixed: `FreeGeoIp` property because of an API change
- Moved: IGN OpenLS provider to geocoder-extra (#339)
- Moved: OIORest provider to geocoder-extra (#336)
- Moved: GeoCoder.us provider to geocoder-extra (#338)
- Moved: GeoCoder.ca provider to geocoder-extra (#337)
- Moved: DataScienceToolkit provider to geocoder-extra (#340)
- Moved: Baidu provider to geocoder-extra (#341)
- Moved: IpGeoBase provider to geocoder-extra (#342)
- Renamed: properties such as:
  - city => locality
  - cityDistrict => subLocality
  - zipcode => postalCode
- Refactored: dumpers (remove Interface suffix, define a new method signature)
- Refactored: class names!
- Refactored: all providers now implement the `Geocoder` interface
- Refactored: exception messages are a bit more verbose
- Removed: `Provider`, `Dumper`, `Interface`, and `Exception` suffixes
- Removed: `autoload.php` file
- Removed: `OpenStreetMapsProvider` class (#335)
- Removed: HTTP adapters layer
- Removed: the `Geocoder` class does not exist anymore and has been replaced by
  the `ProviderAggregator` class
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/794905/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/794905,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/v3.0.0-alpha1,https://github.com/geocoder-php/Geocoder/releases/tag/v3.0.0-alpha1,https://api.github.com/repos/geocoder-php/Geocoder/zipball/v3.0.0-alpha1,v3.0.0-alpha1,False,True
763619,2014-12-08T09:28:04Z,2014-12-08T09:36:55Z,2.8.1 (2014-12-08),"- Fixed: freegeoip `zip_code` property because of an API change
",https://api.github.com/users/willdurand,217628,willdurand,https://api.github.com/repos/geocoder-php/Geocoder/releases/763619/assets,https://api.github.com/repos/geocoder-php/Geocoder/releases/763619,master,https://api.github.com/repos/geocoder-php/Geocoder/tarball/2.8.1,https://github.com/geocoder-php/Geocoder/releases/tag/2.8.1,https://api.github.com/repos/geocoder-php/Geocoder/zipball/2.8.1,2.8.1,False,False
