id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7059643,2017-06-27T05:48:42Z,2017-07-17T06:36:45Z,解决部分开发者反应因出现“UITableViewCellContentView”而导致应用审核被拒问题,解决部分开发者反应因出现“UITableViewCellContentView”而导致应用审核被拒问题,https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/7059643/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/7059643,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.2.0,https://github.com/gsdios/SDAutoLayout/releases/tag/2.2.0,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.2.0,2.2.0,False,False
7059112,2017-06-27T05:48:42Z,2017-07-17T04:48:59Z,解决部分开发者反应因出现“UITableViewCellContentView”而导致应用审核被拒问题,解决部分开发者反应因出现“UITableViewCellContentView”而导致应用审核被拒问题,https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/7059112/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/7059112,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.9,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.9,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.9,2.1.9,False,False
6088031,2017-03-23T12:37:15Z,2017-04-15T07:23:26Z,增加设置autoWidthRatio方法,增加设置autoWidthRatio方法,https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/6088031/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/6088031,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.8,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.8,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.8,2.1.8,False,False
3875888,2016-08-12T15:09:44Z,2016-08-12T15:11:33Z,兼容iOS7文字size计算,"兼容iOS7文字size计算
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3875888/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3875888,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.7,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.7,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.7,2.1.7,False,False
3872497,2016-08-12T07:04:49Z,2016-08-12T07:10:46Z,实现在tableview插入新的cell数据时自动缓存管理,"实现在tableview插入新的cell数据时自动缓存管理
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3872497/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3872497,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.6,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.6,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.6,2.1.6,False,False
3872479,2016-08-12T07:04:49Z,2016-08-12T07:06:08Z,实现在tableview插入新的cell数据时自动缓存管理,"实现在tableview插入新的cell数据时自动缓存管理
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3872479/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3872479,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.5,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.5,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.5,2.1.5,False,False
3679626,2016-07-18T10:01:31Z,2016-07-18T10:02:30Z,实现删除某行cell时自动调整height缓存；在某section中插入新数据在旧数据前面自动调整height缓存;修复button内部控件自适应时的部分问题,"实现删除某行cell时自动调整height缓存；在某section中插入新数据在旧数据前面自动调整height缓存;修复button内部控件自适应时的部分问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3679626/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3679626,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.4,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.4,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.4,2.1.4,False,False
3604665,2016-07-07T08:31:21Z,2016-07-07T08:34:47Z,实现删除某行cell时自动调整height缓存；在某section中插入新数据在旧数据前面自动调整height缓存;修复button内部控件自适应时的部分问题,"实现删除某行cell时自动调整height缓存；在某section中插入新数据在旧数据前面自动调整height缓存;修复button内部控件自适应时的部分问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3604665/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3604665,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.3,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.3,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.3,2.1.3,False,False
3514900,2016-06-23T06:39:06Z,2016-06-24T06:28:51Z,实现删除某行cell时自动调整height缓存；修复button内部控件自适应时的部分问题,"实现删除某行cell时自动调整height缓存；修复button内部控件自适应时的部分问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3514900/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3514900,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.2,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.2,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.2,2.1.2,False,False
3302477,2016-05-25T12:13:16Z,2016-05-25T12:13:34Z,增加设置偏移量offset功能；修复用xib生成的view出现的部分约束失效问题；修复其他bug,"增加设置偏移量offset功能；修复用xib生成的view出现的部分约束失效问题；修复其他bug
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3302477/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3302477,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.1,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.1,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.1,2.1.1,False,False
3301100,2016-05-25T09:34:47Z,2016-05-25T09:36:02Z,增加设置偏移量offset功能；修复用xib生成的view出现的部分约束失效问题；修复其他bug,"增加设置偏移量offset功能；修复用xib生成的view出现的部分约束失效问题；修复其他bug
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3301100/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3301100,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.1.0,https://github.com/gsdios/SDAutoLayout/releases/tag/2.1.0,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.1.0,2.1.0,False,False
3249192,2016-05-18T08:30:25Z,2016-05-18T08:32:11Z,增加设置偏移量offset功能；修复用xib生成的view出现的部分约束失效问题,"增加设置偏移量offset功能；修复用xib生成的view出现的部分约束失效问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3249192/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3249192,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/2.0.0,https://github.com/gsdios/SDAutoLayout/releases/tag/2.0.0,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/2.0.0,2.0.0,False,False
3153757,2016-05-04T05:26:10Z,2016-05-04T06:35:28Z,修复之前button作为父视图时内部控件不能自动布局问题,"修复之前button作为父视图时内部控件不能自动布局问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3153757/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3153757,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/1.53,https://github.com/gsdios/SDAutoLayout/releases/tag/1.53,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/1.53,1.53,False,False
3001989,2016-04-12T13:16:09Z,2016-04-12T13:15:22Z,修复宽度自适应label在重用时候偶尔出现的宽度计算不准确的问题,"修复宽度自适应label在重用时候偶尔出现的宽度计算不准确的问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3001989/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/3001989,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/1.52,https://github.com/gsdios/SDAutoLayout/releases/tag/1.52,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/1.52,1.52,False,False
2989423,2016-04-10T17:19:08Z,2016-04-10T17:24:27Z,修复宽度自适应label在重用时候偶尔出现的宽度计算不准确的问题,"修复宽度自适应label在重用时候偶尔出现的宽度计算不准确的问题
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/2989423/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/2989423,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/1.51,https://github.com/gsdios/SDAutoLayout/releases/tag/1.51,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/1.51,1.51,False,False
2897383,2016-03-26T12:16:12Z,2016-03-28T03:24:18Z,升级了缓存机制，新版本在tableview滑动cell时候流畅度和性能提升20%以上,"升级了缓存机制，新版本在tableview滑动cell时候流畅度和性能提升20%以上
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/2897383/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/2897383,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/1.50,https://github.com/gsdios/SDAutoLayout/releases/tag/1.50,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/1.50,1.50,False,False
2892385,2016-03-25T12:58:10Z,2016-03-26T11:10:49Z,升级了缓存机制，新版本在tableview滑动cell时候流畅度和性能提升20%以上,"升级了缓存机制，新版本在tableview滑动cell时候流畅度和性能提升20%以上
",https://api.github.com/users/gsdios,10412193,gsdios,https://api.github.com/repos/gsdios/SDAutoLayout/releases/2892385/assets,https://api.github.com/repos/gsdios/SDAutoLayout/releases/2892385,master,https://api.github.com/repos/gsdios/SDAutoLayout/tarball/1.4,https://github.com/gsdios/SDAutoLayout/releases/tag/1.4,https://api.github.com/repos/gsdios/SDAutoLayout/zipball/1.4,1.4,False,False
