id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7708614,2017-09-11T13:48:56Z,2017-09-11T14:32:15Z,v6.0.1,- Restores stable visuallyhidden (#1991),https://api.github.com/users/roblarsen,361421,roblarsen,https://api.github.com/repos/h5bp/html5-boilerplate/releases/7708614/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/7708614,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/6.0.1,https://github.com/h5bp/html5-boilerplate/releases/tag/6.0.1,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/6.0.1,6.0.1,False,False
7429104,2017-08-17T16:56:37Z,2017-08-17T17:01:55Z,v6.0.0,"* Fix Bug: .visuallyhidden on macOS VO fixes #1985 ([#1989](https://github.com/h5bp/html5-boilerplate/pull/1989))
* Adds web app manifest file ([#1963](https://github.com/h5bp/html5-boilerplate/pull/1963))
* Update to jQuery 3.2.1 ([#1942](https://github.com/h5bp/html5-boilerplate/pull/1942))
* Improve ::selection documentation which became confusing after c7057be ([#1955](https://github.com/h5bp/html5-boilerplate/pull/1955))
* refactor(html): update browsehappy to https instead of http ([#1952](https://github.com/h5bp/html5-boilerplate/pull/1952))
* Fix links to CONTRIBUTING.md  ([#1951](https://github.com/h5bp/html5-boilerplate/pull/1951))
* Adds .github folder and contents Fixes  ([#1948](https://github.com/h5bp/html5-boilerplate/pull/1948))
* Modernizr 3, modernizr.config and ([#1940](https://github.com/h5bp/html5-boilerplate/pull/1940))
* Housekeeping by @coliff (#1968 #1969 #1965 #1964 #1958 #1957 #1956)
* Update .gitattributes for Web Projects ([#1935](https://github.com/h5bp/html5-boilerplate/pull/1935))
* Add the link for useful .gitignore templates ([#1936](https://github.com/h5bp/html5-boilerplate/pull/1936))
* Node plumbing updated ([#1925](https://github.com/h5bp/html5-boilerplate/pull/1925)) ([#1928](https://github.com/h5bp/html5-boilerplate/pull/1928)) ([#1931](https://github.com/h5bp/html5-boilerplate/pull/1931))
* Use es2015 syntax in mocha tests ([#1788](https://github.com/h5bp/html5-boilerplate/pull/1788)) 
* Scope :first-letter selector for print styles ([#1904](https://github.com/h5bp/html5-boilerplate/pull/1904))
* Add SRI Hash for jQuery ([#1904](https://github.com/h5bp/html5-boilerplate/pull/1904)) 
* Update .jshintrc ([#1903](https://github.com/h5bp/html5-boilerplate/pull/1903))
* Improve accessibility with visuallyhidden content ([#1900](https://github.com/h5bp/html5-boilerplate/pull/1900))
* Tell users that IE 8 and 9 are outdated
  ([#1747](https://github.com/h5bp/html5-boilerplate/issues/1747)).
* Removed IE8 Support (upgrades jQuery and normalize.css to latest)
  ([#1524](https://github.com/h5bp/html5-boilerplate/issues/1524)).
* Fix print styles for Internet Explorer 11
  ([#1799](https://github.com/h5bp/html5-boilerplate/issues/1799)).
* Update doc links to https
  ([#1889](https://github.com/h5bp/html5-boilerplate/issues/1889)).
* Delete crossdomain.xml
  ([#1881](https://github.com/h5bp/html5-boilerplate/issues/1881)).
* Adds pre-wrap to PRE
  ([#1742](https://github.com/h5bp/html5-boilerplate/issues/1742)).
* Change license format to SPDX format
  ([#1814](https://github.com/h5bp/html5-boilerplate/pull/1814)).
* Simplify the Google Analytics snippet using `async` & `defer` ([#1660](https://github.com/h5bp/html5-boilerplate/pull/1660#issuecomment-89285678)).",https://api.github.com/users/roblarsen,361421,roblarsen,https://api.github.com/repos/h5bp/html5-boilerplate/releases/7429104/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/7429104,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/6.0.0,https://github.com/h5bp/html5-boilerplate/releases/tag/6.0.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/6.0.0,6.0.0,False,False
2412175,2016-01-12T13:03:13Z,2016-01-12T13:08:15Z,v5.3.0,"- Update jQuery to `v1.12.0`.
- Fetch `jQuery` from jQuery's CDN instead of Google's
  ([#1737](https://github.com/h5bp/html5-boilerplate/issues/1737),
  [#1739](https://github.com/h5bp/html5-boilerplate/issues/1739)).
- Change print color for `:first-letter` and `:first-line` pseudo-elements
  ([#1715](https://github.com/h5bp/html5-boilerplate/pull/1715)).
",https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/2412175/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/2412175,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/5.3.0,https://github.com/h5bp/html5-boilerplate/releases/tag/5.3.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/5.3.0,5.3.0,False,False
1240937,2015-04-30T20:54:24Z,2015-04-30T20:56:23Z,v5.2.0,"- Update jQuery to `v1.11.3`
  ([#1699](https://github.com/h5bp/html5-boilerplate/issues/1699)).
- Deprecate protocol-relative URLs
  ([#1694](https://github.com/h5bp/html5-boilerplate/issues/1694)).
- Update high resolution media query
  ([#1474](https://github.com/h5bp/html5-boilerplate/issues/1474)).
- Update Apache Server Configs to `v2.14.0`.
",https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/1240937/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/1240937,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/5.2.0,https://github.com/h5bp/html5-boilerplate/releases/tag/5.2.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/5.2.0,5.2.0,False,False
1116526,2015-04-01T18:08:35Z,2015-04-01T18:34:58Z,v5.1.0,"- Update Normalize.css to `v3.0.3`.
- Use `https://` in the Google Universal Analytics snippet
  ([eee759b](https://github.com/h5bp/html5-boilerplate/commit/eee759bfe175e850bbc8e4ad0682ec4fe4bd05d6)).
- Remove the `visibility: hidden` declaration from `.hidden`
  ([#1663](https://github.com/h5bp/html5-boilerplate/issues/1663)).
- Use `<meta http-equiv=""x-ua-compatible"" content=""ie=edge"">`<br>
  instead of `<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">`
  ([#1656](https://github.com/h5bp/html5-boilerplate/issues/1656)).
- Update Apache Server Configs to `v2.13.0`.
",https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/1116526/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/1116526,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/5.1.0,https://github.com/h5bp/html5-boilerplate/releases/tag/5.1.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/5.1.0,5.1.0,False,False
909563,2015-02-01T20:56:31Z,2015-02-02T18:12:06Z,v5.0.0,"- Update to jQuery 1.11.2.
- Update Apache Server Configs to v2.11.0.
- Rename Apple touch icon to `apple-touch-icon.png` and add
  `<link>` in `index.html`
  ([#1622](https://github.com/h5bp/html5-boilerplate/issues/1622)).
- Add vertical centering for `iframe`
  ([#1613](https://github.com/h5bp/html5-boilerplate/issues/1613)).
- Change the outdated browser prompt classname to `browserupgrade`
  ([#1608](https://github.com/h5bp/html5-boilerplate/issues/1608)).
- Update to Normalize.css 3.0.2.
  ([#1050](https://github.com/h5bp/html5-boilerplate/issues/1050)).
- Update `apple-touch-icon-precomposed.png` and the _""Apple touch
  icons""_ related documentation
  ([#1599](https://github.com/h5bp/html5-boilerplate/pull/1599)).
- Add pseudo-elements to universal selector in print media query
  ([#1585](https://github.com/h5bp/html5-boilerplate/pull/1585)).
- Update to Modernizr 2.8.3.
- Remove need to readjust margins in `404.html`
  ([#1567](https://github.com/h5bp/html5-boilerplate/pull/1567)).
- Add `/.editorconfig` file
  ([#1561](https://github.com/h5bp/html5-boilerplate/issues/1561),
  [#1564](https://github.com/h5bp/html5-boilerplate/issues/1564)).
- Add `auto` to the Google Universal Analytics tracker create method
  ([#1562](https://github.com/h5bp/html5-boilerplate/issues/1562)).
- Add `timeline` and `timelineEnd` to the list of `console` methods
  ([#1559](https://github.com/h5bp/html5-boilerplate/issues/1559)).
- Add `lang=""""` to `<html>`
  ([#1542](https://github.com/h5bp/html5-boilerplate/issues/1542)).
- Use `<!doctype html>` instead of `<!DOCTYPE html>`
  ([#1522](https://github.com/h5bp/html5-boilerplate/issues/1522)).
- Add `/browserconfig.xml` file and tile images
  ([#1481](https://github.com/h5bp/html5-boilerplate/issues/1481)).
- Add `Disallow:` to `robots.txt`
  ([#1487](https://github.com/h5bp/html5-boilerplate/issues/1487)).
- Remove default foreground color from form elements
  ([#1390](https://github.com/h5bp/html5-boilerplate/issues/1390)).
- Remove default margin from print styles
  ([#1477](https://github.com/h5bp/html5-boilerplate/issues/1477)).
- Remove image replacement helper class `.ir`
  ([#1472](https://github.com/h5bp/html5-boilerplate/issues/1472),
  [#1475](https://github.com/h5bp/html5-boilerplate/issues/1475)).
- Add vertical centering for `svg`
  ([#1453](https://github.com/h5bp/html5-boilerplate/issues/1453)).
- Redesign 404 page
  ([#1443](https://github.com/h5bp/html5-boilerplate/pull/1443)).
- Remove IE 6/7 hacks from `main.css`
  ([#1050](https://github.com/h5bp/html5-boilerplate/issues/1050)).
- Remove IE conditional classes
  ([#1187](https://github.com/h5bp/html5-boilerplate/issues/1187),
  [#1290](https://github.com/h5bp/html5-boilerplate/issues/1290)).
",https://api.github.com/users/arthurvr,6025224,arthurvr,https://api.github.com/repos/h5bp/html5-boilerplate/releases/909563/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/909563,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/v5.0.0,https://github.com/h5bp/html5-boilerplate/releases/tag/v5.0.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/v5.0.0,v5.0.0,False,False
399766,2011-03-21T16:42:43Z,2014-06-27T22:43:14Z,v1.0stripped,,https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399766/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399766,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/v1.0stripped,https://github.com/h5bp/html5-boilerplate/releases/tag/v1.0stripped,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/v1.0stripped,v1.0stripped,False,False
399765,2011-03-21T18:02:14Z,2014-06-27T22:43:06Z,v1.0,"- Rewrite build script to make it more customizable and flexible.
- Add a humans.txt.
- Numerous `.htaccess` improvements (including inline documentation).
- Move the alternative server configurations to the H5BP server configs
  repo.
- Use a protocol-relative url to reference jQuery and prevent mixed
  content warnings.
- Optimize the Google Analytics snippet.
- Use Eric Meyer's recent CSS reset update and the HTML5 Doctor reset.
- More robust `sub`/`sup` CSS styles.
- Add keyboard `.focusable` helper class that extends `.visuallyhidden`.
- Print styles no longer print hash or JavaScript links.
- Add a print reset for IE's proprietary filters.
- Remove IE9-specific conditional class on the `html` element.
- Remove margins from lists within `nav` elements.
- Remove YUI profiling.
",https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399765/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399765,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/v1.0,https://github.com/h5bp/html5-boilerplate/releases/tag/v1.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/v1.0,v1.0,False,False
399764,2011-08-10T08:11:54Z,2014-06-27T22:42:40Z,v2.0stripped,,https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399764/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399764,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/v2.0stripped,https://github.com/h5bp/html5-boilerplate/releases/tag/v2.0stripped,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/v2.0stripped,v2.0stripped,False,False
399763,2011-08-10T07:44:42Z,2014-06-27T22:42:30Z,v2.0,"- Change starting CSS to be based on normalize.css instead of reset.css
  ([#500](https://github.com/h5bp/html5-boilerplate/issues/500)).
- Add Respond.js media query polyfill.
- Add Google Chrome Frame script prompt for IE6 users.
- Simplify the `html` conditional comments for modern browsers and add
  an `oldie` class.
- Update clearfix to use ""micro clearfix"".
- Add placeholder CSS MQs for mobile-first approach.
- Add `textarea { resize: vertical; }` to only allow vertical resizing.
- Add `img { max-width: 100%; }` to the print styles; prevents images
  being truncated.
- Add Site Speed tracking for Google Analytics.
- Update to jQuery 1.6.2 (and use minified by default).
- Update to Modernizr 2.0 Complete, Production minified (includes
  yepnope, html5shiv, and Respond.js).
- Use `Modernizr.load()` to load the Google Analytics script.
- Much faster build process.
- Add build script options for CSSLint, JSLint, JSHint tools.
- Build script now compresses all images in subfolders.
- Build script now versions files by SHA hash.
- Many `.htaccess` improvements including: disable directory browsing,
  improved support for all versions of Apache, more robust and extensive
  HTTP compression rules.
- Remove `handheld.css` as it has very poor device support.
- Remove touch-icon `link` elements from the HTML and include improved
  touch-icon support.
- Remove the cache-busting query paramaters from files references in
  the HTML.
- Remove IE6 PNGFix.
",https://api.github.com/users/alrra,1223565,alrra,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399763/assets,https://api.github.com/repos/h5bp/html5-boilerplate/releases/399763,master,https://api.github.com/repos/h5bp/html5-boilerplate/tarball/v2.0,https://github.com/h5bp/html5-boilerplate/releases/tag/v2.0,https://api.github.com/repos/h5bp/html5-boilerplate/zipball/v2.0,v2.0,False,False
