id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7910098,2017-09-05T18:38:53Z,2017-09-27T13:39:14Z,v1.1.3,"### Bug Fixes

* Fixes an error when installing Atlas via Carthage.",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/7910098/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/7910098,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.1.3,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.1.3,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.1.3,v1.1.3,False,False
7549838,2017-08-28T22:19:17Z,2017-08-28T22:22:09Z,v1.1.2,"### Bug Fixes

* Fixes a crash in `ATLMediaInputStream` when sending an image from the camera roll on iOS 11. [IOS-3225]
* Fixes an issue where the text input and accessory buttons in the `ATLMessageInputToolbar` would not respond to tap actions on iOS 11.",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/7549838/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/7549838,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.1.2,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.1.2,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.1.2,v1.1.2,False,False
6838052,2017-06-26T16:06:00Z,2017-06-26T16:12:46Z,v1.1.1,"### Public API Changes

* Added the `presenceStatusEnabled` property to the `ATLParticipantPresenting` protocol.
* Added the `presenceStatusEnabled` property to the `ATLAddressBarViewController`.
* Added the `shouldShowAvatarItem` and `presenceStatusEnabled` properties to the `ATLParticipantTableViewController`.

### Enhancements

* `ATLParticipantTableViewCell` will now show presence status based on the value of `presenceStatusEnabled` defined in the `ATLParticipantTableViewController`.
* The address bar's search results will now show presence status based on the value of `presenceStatusEnabled` defined in `ATLAddressBarViewController`.

### Bug Fixes

* Fixes a bug where an empty gap would display instead of the date and time above a message.
* Fixes a bug where re-creating a previously deleted conversation would cause the more-messages spinner to continously display without actually loading anything. [iOS-3013]
* Fixes a bug where the queryController pagination window could be set to zero, causing a crash. [iOS-3074]",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/6838052/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/6838052,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.1.1,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.1.1,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.1.1,v1.1.1,False,False
6286863,2017-05-05T01:41:25Z,2017-05-05T01:52:16Z,v1.1.0,"Introducing the presence feature, which allows you to display a user's presence status as a color-coded icon next to their avatar image. [APPS-2740]

### Public API Changes

* Added a new `ATLPresenceStatusView` object, which renders a color-coded circle to represent a user's presence status. Added this to the `ATLAvatarItem`.
* `ATLAvatarImageView` was renamed to `ATLAvatarView`.
* Added the `presenceStatusEnabled` property to `ATLAvatarView`, which sets whether the presence status is shown. Default is `YES`.
* Added a read-only accessor `presenceStatus` to the `ATLAvatarItem`.",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/6286863/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/6286863,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.1.0,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.1.0,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.1.0,v1.1.0,False,False
6225199,2017-04-25T23:10:20Z,2017-04-28T16:39:41Z,v1.0.33,"### Public API Changes

* Added `shouldDisplayUsernameForOneOtherParticipant` as a configurable property to `ATLConversationViewController`.
* `dateString` and `participantName` parameters marked as `nullable` within `ATLConversationCollectionViewHeader:headerHeightWithDateString:`.
* Made the return value of `ATLConversationListViewController:avatarItemForConversation:` `nullable`.

### Enhancements

* Refactored queryController delegate methods to return early if the view is not visible. This helps harden against `NSInternalInconsistencyException` errors.
* Refactored `ATLConversationListViewController` to track all changes from the queryController as they come in. Once the queryController finishes the changes, the tableView is updated. This helps harden against `NSInternalInconsistencyException` errors.
* Changed all `@import LayerKit` to `#import <LayerKit/LayerKit.h>`
* Refactored code to satisfy analyzer warnings.

### Bug Fixes

* `ATLConversationListViewController:configureCell:atIndexPath:` returns early if no conversation is found at `indexPath`.
* Prevent `ATLAvatarImageView` from flickering when setting the same `remoteImageURL`'s image
* Fixes a bug where the timestamp might incorrectly get overlaid across the message bubble.",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/6225199/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/6225199,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.0.33,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.0.33,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.0.33,v1.0.33,False,False
5624703,2017-03-02T21:44:49Z,2017-03-02T21:47:36Z,v1.0.32,"## 1.0.32

### Bug Fixes
- Fixed an issue in `ATLMessageInputToolbar` where creating a new line would incorrectly offset the text above until the next character was entered. This also fixed a crash that could happen if Return was pressed rapidly in succession. [APPS-2663]
- Fixed a crash that could occur if the `tableFooterView` in the `ATLConversationListViewController` wasn't initialized. [APPS-2774]
- Fixed an issue where pulling to load more messages in a conversations wouldn't work when it should.
",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/5624703/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/5624703,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.0.32,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.0.32,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.0.32,v1.0.32,False,False
4935708,2016-12-15T23:14:48Z,2016-12-15T23:15:28Z,v1.0.31,"## 1.0.31

### Enhancements
- Replaced deprecated `UISearchDisplayController` with `UISearchController` in `ATLConversationListViewController`. This reduces complexity by removing the need to switch between different query controllers.
- Replaced deprecated `UISearchDisplayController` with `UISearchController` in `ATLParticipantTableViewController`.
- Updated some deprecated `NSCalendar` objects in `ATLConversationTableViewCell`.
- Refactored `ATLConversationViewController` to harden against mismanagement and prevent common crashes and issues.

### Bug Fixes
- Fixed an issue in `ATLConversationViewController` where the ""more messages indicator"" would continue to display and spin even if all messages had been synced. This was due to a mismatch between the total number of messages in a conversation and the total number of non-deleted messages for that user. [APPS-2629]
- Fixed a pagination issue in `ATLConversationViewController` where, after navigating to a conversation, additional messages would not sync and the activity indicator would continue to spin until the user pulled down.
- `ATLConversationListViewController` no longer filters out conversations the authenticated user was removed from. This allows the user to access the conversation and mark messages as read in order to have an accurate unread badge count.
- Fixed a crash in `ATLAddressBarViewController` that could occur if a participant was selected while the `displayName` was `nil`. It will now appear as `Unknown Participant` instead.
",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4935708/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4935708,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.0.31,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.0.31,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.0.31,v1.0.31,False,False
4411804,2016-10-17T20:41:51Z,2016-10-17T20:44:42Z,v1.0.30,"### Enhancements
- `ATLParticipantTableDataSet` is now mutable and observes changes to Identity objects and updates the associated `UITableView`. [APPS-2470]
- Displays timestamps in `ATLConversationViewController` for groups of messages regardless of sorting. Messages sent first but displayed second will now show a timestamp. [APPS-2608]
- Adds pagination capabilities to the `ATLConversationViewController` query controller. [APPS-2524]

### Bug Fixes
- Fixes a case in `ATLConversationViewController` where the query controller's delegate would not be unset.
- Fixes a couple issues in `ATLConversationListViewController` where the query controller could be instantiated twice. [APPS-2598]
- Fixes an issue where the ""more messages"" indicator would not initially appear in `ATLConversationViewController`.
",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4411804/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4411804,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.0.30,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.0.30,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.0.30,v1.0.30,False,False
4247573,2016-09-28T04:56:42Z,2016-09-28T05:00:27Z,v1.0.29,"### Bug Fixes
- Fixes a crash when updating the `ATLConversationListViewController` while the search bar is active. [APPS-2587]
- Fixes an issue in the `ATLMessageInputToolbar` where adding a new line would result in text misalignment. [APPS-2593]
- Fixes an issue in iOS 9 where the list of conversations would briefly flash when returning from a view with an active keyboard. [APPS-2594]
- Fixes the build errors in the included Example classes.
",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4247573/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4247573,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.0.29,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.0.29,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.0.29,v1.0.29,False,False
4186941,2016-09-20T22:46:18Z,2016-09-20T22:49:33Z,v1.0.28,"### Bug Fixes
- Fixes an issue where messages in a new conversation would not appear until the conversation was reloaded.
- Fixes a crash in the `ATLConversationListViewController` related to the query controller being initialized multiple times.
- Fixes a crash when trying to get the avatar initials from a `LYRIdentity` object if it wasn't fully synced.
",https://api.github.com/users/daniel-maness,8919437,daniel-maness,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4186941/assets,https://api.github.com/repos/layerhq/Atlas-iOS/releases/4186941,master,https://api.github.com/repos/layerhq/Atlas-iOS/tarball/v1.0.28,https://github.com/layerhq/Atlas-iOS/releases/tag/v1.0.28,https://api.github.com/repos/layerhq/Atlas-iOS/zipball/v1.0.28,v1.0.28,False,False
