id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6168081,2017-01-11T01:50:35Z,2017-04-24T13:06:26Z,,,https://api.github.com/users/seven-phases-max,5304376,seven-phases-max,https://api.github.com/repos/less/less.js/releases/6168081/assets,https://api.github.com/repos/less/less.js/releases/6168081,3.x,https://api.github.com/repos/less/less.js/tarball/v2.7.2,https://github.com/less/less.js/releases/tag/v2.7.2,https://api.github.com/repos/less/less.js/zipball/v2.7.2,v2.7.2,False,False
1322137,2015-02-08T11:43:02Z,2015-05-21T11:29:25Z,2.4.0,"- Support for plugins that pre-process (to add libraries silently etc.)
- Empty sourcemaps now work
- Extract and Length functions now ignore comments in a list (more work to come to fix the general problem)
- fragment urls are treated absolute since they refer to the html document
- Extends on a selector joined with `&` now work better
- Nested mixins work better with !important (regression in 2.3.0)
- The promise dependency is now actually optional (introduced in 2.0.0)
- Files with just `\r` newlines now process ok (regression in 2.0.0)
- When strict units is off and the unit is 1/x, (e.g. 1 / 12px) the unit output is x, previously nothing (regression in 2.0.0)
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/1322137/assets,https://api.github.com/repos/less/less.js/releases/1322137,3.x,https://api.github.com/repos/less/less.js/tarball/v2.4.0,https://github.com/less/less.js/releases/tag/v2.4.0,https://api.github.com/repos/less/less.js/zipball/v2.4.0,v2.4.0,False,False
1322136,2015-04-03T08:53:34Z,2015-05-21T11:29:11Z,2.5.0,"- supports the scoped `@plugin` directive to load function plugins
- All directives are bubbled (e.g. supports), not just media
- Performance improvements to the parser - should help non-chrome browsers with very large less files to be a lot quicker.
- the image size function respects include paths like other file functions
- colour functions take a relative argument that applies percentages relatively instead of absolutely
- include paths now allows : as a separator on windows (recognising and not splitting drive names by the backslash)
- `@import (css)` does not pull the directive above comments
- Fix for import statements without quotes sometimes causing issues
- replace supports dimensions and colours
- the browser field is set in the package.json for use with browserify
- another fix to support paths being passed as a string instead of an array
- detached rulesets can be used as default arguments
- Fix a lot of false warnings about extends
- errors written to stderr more consistently
- consistently keep units if strict units is off
- Better support for comments in function all arguments
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/1322136/assets,https://api.github.com/repos/less/less.js/releases/1322136,3.x,https://api.github.com/repos/less/less.js/tarball/v2.5.0,https://github.com/less/less.js/releases/tag/v2.5.0,https://api.github.com/repos/less/less.js/zipball/v2.5.0,v2.5.0,False,False
1322131,2015-05-21T11:27:17Z,2015-05-21T11:28:29Z,2.5.1,"- Fix problems with less being async in some browsers
- Minor fix only likely to affect programmatic usage of ruleset find
- Fix  error when a namespaced mixin is invoked in global scope
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/1322131/assets,https://api.github.com/repos/less/less.js/releases/1322131,3.x,https://api.github.com/repos/less/less.js/tarball/v2.5.1,https://github.com/less/less.js/releases/tag/v2.5.1,https://api.github.com/repos/less/less.js/zipball/v2.5.1,v2.5.1,False,False
893792,2015-01-28T17:30:32Z,2015-01-28T17:33:39Z,v2.3.1,"- Fix depends option (regression in 2.3.0)
- Support parent selector (`&`) used in sub element expression (e.g. `:not(.c_&)`)
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/893792/assets,https://api.github.com/repos/less/less.js/releases/893792,3.x,https://api.github.com/repos/less/less.js/tarball/v2.3.1,https://github.com/less/less.js/releases/tag/v2.3.1,https://api.github.com/repos/less/less.js/zipball/v2.3.1,v2.3.1,False,False
893789,2015-01-27T00:19:01Z,2015-01-28T17:33:03Z,v2.3.0,"- add isruleset function
- add optional import option, causing less to not fail if file not found
- Fix browsers-side cache.
- Many fixes to import reference - support @support and keyframe
- Selectors now interpolate pseudo selectors (e.g. :@{hover})
- Fix comments missed off if they were at the end of the file
- Fix !important used with parametric mixins
- Emits warnings for extends when the target is not found
- include-path now works on data-uri
- variables and function calls work for path in data-uri
- Fix absolute paths not working on imports sometimes.
- Unicode BOM removed again
- Misc. bug fixes
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/893789/assets,https://api.github.com/repos/less/less.js/releases/893789,3.x,https://api.github.com/repos/less/less.js/tarball/v2.3.0,https://github.com/less/less.js/releases/tag/v2.3.0,https://api.github.com/repos/less/less.js/zipball/v2.3.0,v2.3.0,False,False
822585,2015-01-04T11:48:17Z,2015-01-04T11:52:56Z,v2.2.0,"- do not apply relative paths to svg-gradient and data-uri functions data-uri output
- using import filename interpolation and import inline together now works
- deprecate the compression option (still works, but outputs a warning unless silent)
- The node version of less now has image-size, image-width, image-height which return the image dimensions of a file
- Fixed an issue that could cause the parse to occur more than once and the callback be called multiple times
- if you are outputting to the console, lessc defaults to silent so warnings do not end up in output
- isunit function supports '' to test if a dimension has no unit
- data-uri function now counts characters after base64 encoding instead of bytes before encoding to determine ie8 support
- fix bug effecting guards on pseudo class selectors
- do not cache on the browser when used with modifyVars
- detection if less does not parse last character in file
- detection of whether a file is css now requires /css, .css, ?css, &css instead of just css. You can still tell less the type of file using import options.
- remove extra new line added to sourcemap entry inline file
- support safari extension
- less.parse now exposes a way to get the AST. We do not recommend you use this unless you need to.
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/822585/assets,https://api.github.com/repos/less/less.js/releases/822585,3.x,https://api.github.com/repos/less/less.js/tarball/v2.2.0,https://github.com/less/less.js/releases/tag/v2.2.0,https://api.github.com/repos/less/less.js/zipball/v2.2.0,v2.2.0,False,False
822584,2014-12-20T14:49:37Z,2015-01-04T11:50:38Z,v2.1.2,"- Fix for use with requirejs
- Fixes for data-uri function
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/822584/assets,https://api.github.com/repos/less/less.js/releases/822584,3.x,https://api.github.com/repos/less/less.js/tarball/v2.1.2,https://github.com/less/less.js/releases/tag/v2.1.2,https://api.github.com/repos/less/less.js/zipball/v2.1.2,v2.1.2,False,False
822583,2014-11-27T06:15:42Z,2015-01-04T11:50:01Z,v2.1.1,"- Improved keyword and anonymous usage with the replace function
- Added getCSSAppendage to sourcemap builder to avoid duplication in plugins
- Fix problem with plugins when used with the promises version of render
- If the render callback throws an exception it now propogates instead of calling the callback again with an error
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/822583/assets,https://api.github.com/repos/less/less.js/releases/822583,3.x,https://api.github.com/repos/less/less.js/tarball/v2.1.1,https://github.com/less/less.js/releases/tag/v2.1.1,https://api.github.com/repos/less/less.js/zipball/v2.1.1,v2.1.1,False,False
726790,2014-11-23T11:14:47Z,2014-11-23T11:26:01Z,2.1.0,"- Fixed isSync option, it was using sync file operations but promises are guaranteed to call back async. We now support promises as a feature rather than the 1st class way of doing things.
- Browser code is now synchronous again, like in v1, meaning it blocks the site until less is compiled
- Some fixes for variable imports which affected filemanagers when synchronous
- Fixed lessc makefile dependencies option
- output now reports back a imports field with an array of imported files
- relative path test for drive names (so windows only) is now case insensitive
- Fix for IE7 - use getChar instead of indexing array
- variables using !important now output !important, which bubbles up to affect the rule
- livereload cache buster is now treated specially
- upgrade dependencies
",https://api.github.com/users/lukeapage,309321,lukeapage,https://api.github.com/repos/less/less.js/releases/726790/assets,https://api.github.com/repos/less/less.js/releases/726790,3.x,https://api.github.com/repos/less/less.js/tarball/v2.1.0,https://github.com/less/less.js/releases/tag/v2.1.0,https://api.github.com/repos/less/less.js/zipball/v2.1.0,v2.1.0,False,False
