id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6759752,2017-06-14T11:31:20Z,2017-06-19T15:16:32Z,libgit2 v0.26.0,"This is the first release of the v0.26 series, ""Aufschub"". The changelog follows.

### Changes or improvements

* Support for opening, creating and modifying worktrees.

* We can now detect SHA1 collisions resulting from the SHAttered attack. These
  checks can be enabled at build time via `-DUSE_SHA1DC`.

* Fix for missing implementation of `git_merge_driver_source` getters.

* Fix for installed pkg-config file being broken when the prefix contains
  spaces.

* We now detect when the hashsum of on-disk objects does not match their
  expected hashsum.

* We now support open-ended ranges (e.g. ""master.."", ""...master"") in our
  revision range parsing code.

* We now correctly compute ignores with leading ""/"" in subdirectories.

* We now optionally call `fsync` on loose objects, packfiles and their indexes,
  loose references and packed reference files.

* We can now build against OpenSSL v1.1 and against LibreSSL.

* `GIT_MERGE_OPTIONS_INIT` now includes a setting to perform rename detection.
  This aligns this structure with the default by `git_merge` and
  `git_merge_trees` when `NULL` was provided for the options.

* Improvements for reading index v4 files.

* Perform additional retries for filesystem operations on Windows when files
  are temporarily locked by other processes.

### API additions

* New family of functions to handle worktrees:

    * `git_worktree_list()` lets you look up worktrees for a repository.
    * `git_worktree_lookup()` lets you get a specific worktree.
    * `git_worktree_open_from_repository()` lets you get the associated worktree of a repository.
    * `git_worktree_add` lets you create new worktrees.
    * `git_worktree_prune` lets you remove worktrees from disk.
    * `git_worktree_lock()` and `git_worktree_unlock()` let you lock and unlock a worktree, respectively.
    * `git_repository_open_from_worktree()` lets you open a repository via
    * `git_repository_head_for_worktree()` lets you get the current `HEAD` for a
      linked worktree.
    * `git_repository_head_detached_for_worktree()` lets you check whether a
      linked worktree is in detached HEAD mode.

* `git_repository_item_path()` lets you retrieve paths for various repository
  files.

* `git_repository_commondir()` lets you retrieve the common directory of a
  repository.

* `git_branch_is_checked_out()` allows you to check whether a branch is checked
  out in a repository or any of its worktrees.

* `git_repository_submodule_cache_all()` and
  `git_repository_submodule_cache_clear()` functions allow you to prime or clear
  the submodule cache of a repository.

* You can disable strict hash verifications via the
  `GIT_OPT_ENABLE_STRICT_HASH_VERIFICATION` option with `git_libgit2_opts()`.

* You can enable us calling `fsync` for various files inside the "".git""
  directory by setting the `GIT_OPT_ENABLE_FSYNC_GITDIR` option with
  `git_libgit2_opts()`.

* You can now enable ""offset deltas"" when creating packfiles and negotiating
  packfiles with a remote server by setting `GIT_OPT_ENABLE_OFS_DELTA` option
  with `GIT_libgit2_opts()`.

* You can now set the default share mode on Windows for opening files using
  `GIT_OPT_SET_WINDOWS_SHAREMODE` option with `git_libgit2_opts()`.
  You can query the current share mode with `GIT_OPT_GET_WINDOWS_SHAREMODE`.

* `git_transport_smart_proxy_options()` enables you to get the proxy options for
  smart transports.

* The `GIT_FILTER_INIT` macro and the `git_filter_init` function are provided
  to initialize a `git_filter` structure.

### Breaking API changes

* `clone_checkout_strategy` has been removed from
  `git_submodule_update_option`. The checkout strategy used to clone will
  be the same strategy specified in `checkout_opts`.",https://api.github.com/users/ethomson,1130014,ethomson,https://api.github.com/repos/libgit2/libgit2/releases/6759752/assets,https://api.github.com/repos/libgit2/libgit2/releases/6759752,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.26.0,https://github.com/libgit2/libgit2/releases/tag/v0.26.0,https://api.github.com/repos/libgit2/libgit2/zipball/v0.26.0,v0.26.0,False,False
6709274,2017-06-14T11:31:20Z,2017-06-14T11:35:02Z,libgit2 v0.26.0 RC2,"This is the second release candidate for libgit2 v0.25.0.

This release contains a few fixes for issues that were discovered after the last release candidate or where deemed important and non-intrusive enough for a release candidate.

### API additions

* The `GIT_FILTER_INIT` macro and the `git_filter_init` function are provided
  to initialize a `git_filter` structure.
",https://api.github.com/users/ethomson,1130014,ethomson,https://api.github.com/repos/libgit2/libgit2/releases/6709274/assets,https://api.github.com/repos/libgit2/libgit2/releases/6709274,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.26.0-rc2,https://github.com/libgit2/libgit2/releases/tag/v0.26.0-rc2,https://api.github.com/repos/libgit2/libgit2/zipball/v0.26.0-rc2,v0.26.0-rc2,False,True
6673488,2017-06-11T11:32:00Z,2017-06-11T11:34:58Z,libgit2 v0.26.0 RC1,"This is the first release candidate of libgit2 v0.26.0.

Notable changes since v0.25:

### Changes or improvements

* Support for opening, creating and modifying worktrees.

* We can now detect SHA1 collisions resulting from the SHAttered attack. These
  checks can be enabled at build time via `-DUSE_SHA1DC`.

* Fix for missing implementation of `git_merge_driver_source` getters.

* Fix for installed pkg-config file being broken when the prefix contains
  spaces.

* We now detect when the hashsum of on-disk objects does not match their
  expected hashsum.

* We now support open-ended ranges (e.g. ""master.."", ""...master"") in our
  revision range parsing code.

* We now correctly compute ignores with leading ""/"" in subdirectories.

* We now optionally call `fsync` on loose objects, packfiles and their indexes,
  loose references and packed reference files.

* We can now build against OpenSSL v1.1 and against LibreSSL.

* `GIT_MERGE_OPTIONS_INIT` now includes a setting to perform rename detection.
  This aligns this structure with the default by `git_merge` and
  `git_merge_trees` when `NULL` was provided for the options.

* Improvements for reading index v4 files.

* Perform additional retries for filesystem operations on Windows when files
  are temporarily locked by other processes.

### API additions

* New family of functions to handle worktrees:

    * `git_worktree_list()` lets you look up worktrees for a repository.
    * `git_worktree_lookup()` lets you get a specific worktree.
    * `git_worktree_open_from_repository()` lets you get the associated worktree
      of a repository.
      a worktree.
    * `git_worktree_add` lets you create new worktrees.
    * `git_worktree_prune` lets you remove worktrees from disk.
    * `git_worktree_lock()` and `git_worktree_unlock()` let you lock
      respectively unlock a worktree.
    * `git_repository_open_from_worktree()` lets you open a repository via
    * `git_repository_head_for_worktree()` lets you get the current `HEAD` for a
      linked worktree.
    * `git_repository_head_detached_for_worktree()` lets you check whether a
      linked worktree is in detached HEAD mode.

* `git_repository_item_path()` lets you retrieve paths for various repository
  files.

* `git_repository_commondir()` lets you retrieve the common directory of a
  repository.

* `git_branch_is_checked_out()` allows you to check whether a branch is checked
  out in a repository or any of its worktrees.

* `git_repository_submodule_cache_all()` and
  `git_repository_submodule_cache_clear()` functions allow you to prime or clear
  the submodule cache of a repository.

* You can disable strict hash verifications via the
  `GIT_OPT_ENABLE_STRICT_HASH_VERIFICATION` option with `git_libgit2_opts()`.

* You can enable us calling `fsync` for various files inside the "".git""
  directory by setting the `GIT_OPT_ENABLE_FSYNC_GITDIR` option with
  `git_libgit2_opts()`.

* You can now enable ""offset deltas"" when creating packfiles and negotiating
  packfiles with a remote server by setting `GIT_OPT_ENABLE_OFS_DELTA` option
  with `GIT_libgit2_opts()`.

* You can now set the default share mode on Windows for opening files using
  `GIT_OPT_SET_WINDOWS_SHAREMODE` option with `git_libgit2_opts()`.
  You can query the current share mode with `GIT_OPT_GET_WINDOWS_SHAREMODE`.

* `git_transport_smart_proxy_options()' enables you to get the proxy options for
  smart transports.

### Breaking API changes

* `clone_checkout_strategy` has been removed from
  `git_submodule_update_option`. The checkout strategy used to clone will
  be the same strategy specified in `checkout_opts`.",https://api.github.com/users/ethomson,1130014,ethomson,https://api.github.com/repos/libgit2/libgit2/releases/6673488/assets,https://api.github.com/repos/libgit2/libgit2/releases/6673488,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.26.0-rc1,https://github.com/libgit2/libgit2/releases/tag/v0.26.0-rc1,https://api.github.com/repos/libgit2/libgit2/zipball/v0.26.0-rc1,v0.26.0-rc1,False,True
5109291,2017-01-09T20:26:45Z,2017-01-09T20:37:25Z,libgit2 v0.25.1,"This is a security release fixing two issues. The first one performs extra sanitization for some edge cases in the Git Smart Protocol which can lead to attempting to parse outside of the buffer.

The second fix affects the certificate check callback. It provides a valid parameter to indicate whether the native cryptographic library considered the certificate to be correct. This parameter is always 1/true before this fix leading to a possible MITM.

This does not affect you if you do not use the custom certificate callback or if you do not take this value into account. This does affect you if you use pygit2 or git2go regardless of whether you specify a certificate check callback.

A list of commits since the last release follows

```
2ac57aa89 https: don't test that RC4 is invalid
3829ba2e7 http: correct the expected error for RC4
a5cf255b4 Bump version to 0.25.1
2fdef641f smart_pkt: treat empty packet lines as error
66e3774d2 smart_pkt: verify packet length exceeds PKT_LEN_SIZE
98d66240e http: perform 'badssl' check also via certificate callback
9a64e62f0 http: check certificate validity before clobbering the error variable
```
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/5109291/assets,https://api.github.com/repos/libgit2/libgit2/releases/5109291,maint/v0.25,https://api.github.com/repos/libgit2/libgit2/tarball/v0.25.1,https://github.com/libgit2/libgit2/releases/tag/v0.25.1,https://api.github.com/repos/libgit2/libgit2/zipball/v0.25.1,v0.25.1,False,False
5109252,2017-01-09T20:26:28Z,2017-01-09T20:33:52Z,libgit2 v0.24.6,"This is a security release fixing two issues.  The first one performs extra sanitization for some edge cases in the Git Smart Protocol which can lead to attempting to parse outside of the buffer.

The second fix affects the certificate check callback. It provides a `valid` parameter to indicate whether the native cryptographic library considered the certificate to be correct. This parameter is always `1`/`true` before this fix leading to a possible MITM.

This does not affect you if you do not use the custom certificate callback or if you do not take this value into account. This does affect you if you use pygit2 or git2go regardless of whether you specify a certificate check callback.

A list of commits since the last release follows

```
45a2ee3f4 https: don't test that RC4 is invalid
d3cb8f64c http: correct the expected error for RC4
2b9298bfe Bump version to 0.24.6
84d30d569 smart_pkt: treat empty packet lines as error
4ac39c76c smart_pkt: verify packet length exceeds PKT_LEN_SIZE
ca5319566 http: perform 'badssl' check also via certificate callback
b5c6a1b40 http: check certificate validity before clobbering the error variable
```
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/5109252/assets,https://api.github.com/repos/libgit2/libgit2/releases/5109252,maint/v0.24,https://api.github.com/repos/libgit2/libgit2/tarball/v0.24.6,https://github.com/libgit2/libgit2/releases/tag/v0.24.6,https://api.github.com/repos/libgit2/libgit2/zipball/v0.24.6,v0.24.6,False,False
5000527,2016-12-20T19:14:20Z,2016-12-23T14:23:58Z,libgit2 v0.25.0,"This is the first release of the v0.25 series, ""Rutschgefahr"". The changelog follows.

### Changes or improvements
- Fix repository discovery with `git_repository_discover` and
  `git_repository_open_ext` to match git's handling of a ceiling
  directory at the current directory. git only checks ceiling
  directories when its search ascends to a parent directory.  A ceiling
  directory matching the starting directory will not prevent git from
  finding a repository in the starting directory or a parent directory.
- Do not fail when deleting remotes in the presence of broken
  global configs which contain branches.
- Support for reading and writing git index v4 files
- Improve the performance of the revwalk and bring us closer to git's code.
- The reference db has improved support for concurrency and returns `GIT_ELOCKED`
  when an operation could not be performed due to locking.
- Nanosecond resolution is now activated by default, following git's change to
  do this.
- We now restrict the set of ciphers we let OpenSSL use by default.
- Users can now register their own merge drivers for use with `.gitattributes`.
  The library also gained built-in support for the union merge driver.
- The default for creating references is now to validate that the object does
  exist.
- Add `git_proxy_options` which is used by the different networking
  implementations to let the caller specify the proxy settings instead of
  relying on the environment variables.

### API additions
- You can now get the user-agent used by libgit2 using the
  `GIT_OPT_GET_USER_AGENT` option with `git_libgit2_opts()`.
  It is the counterpart to `GIT_OPT_SET_USER_AGENT`.
- The `GIT_OPT_SET_SSL_CIPHERS` option for `git_libgit2_opts()` lets you specify
  a custom list of ciphers to use for OpenSSL.
- `git_commit_create_buffer()` creates a commit and writes it into a
  user-provided buffer instead of writing it into the object db. Combine it with
  `git_commit_create_with_signature()` in order to create a commit with a
  cryptographic signature.
- `git_blob_create_fromstream()` and
  `git_blob_create_fromstream_commit()` allow you to create a blob by
  writing into a stream. Useful when you do not know the final size or
  want to copy the contents from another stream.
- New flags for `git_repository_open_ext`:
  - `GIT_REPOSITORY_OPEN_NO_DOTGIT` - Do not check for a repository by
    appending `/.git` to the `start_path`; only open the repository if
    `start_path` itself points to the git directory.
  - `GIT_REPOSITORY_OPEN_FROM_ENV` - Find and open a git repository,
    respecting the environment variables used by the git command-line
    tools. If set, `git_repository_open_ext` will ignore the other
    flags and the `ceiling_dirs` argument, and will allow a NULL
    `path` to use `GIT_DIR` or search from the current directory. The
    search for a repository will respect `$GIT_CEILING_DIRECTORIES`
    and `$GIT_DISCOVERY_ACROSS_FILESYSTEM`.  The opened repository
    will respect `$GIT_INDEX_FILE`, `$GIT_NAMESPACE`,
    `$GIT_OBJECT_DIRECTORY`, and `$GIT_ALTERNATE_OBJECT_DIRECTORIES`.
    In the future, this flag will also cause `git_repository_open_ext`
    to respect `$GIT_WORK_TREE` and `$GIT_COMMON_DIR`; currently,
    `git_repository_open_ext` with this flag will error out if either
    `$GIT_WORK_TREE` or `$GIT_COMMON_DIR` is set.
- `git_diff_from_buffer()` can create a `git_diff` object from the contents
  of a git-style patch file.
- `git_index_version()` and `git_index_set_version()` to get and set
  the index version
- `git_odb_expand_ids()` lets you check for the existence of multiple
  objects at once.
- The new `git_blob_dup()`, `git_commit_dup()`, `git_tag_dup()` and
  `git_tree_dup()` functions provide type-specific wrappers for
  `git_object_dup()` to reduce noise and increase type safety for callers.
- `git_reference_dup()` lets you duplicate a reference to aid in ownership
  management and cleanup.
- `git_signature_from_buffer()` lets you create a signature from a string in the
  format that appear in objects.
- `git_tree_create_updated()` lets you create a tree based on another one
  together with a list of updates. For the covered update cases, it's more
  efficient than the `git_index` route.
- `git_apply_patch()` applies hunks from a `git_patch` to a buffer.
- `git_diff_to_buf()` lets you print an entire diff directory to a buffer,
  similar to how `git_patch_to_buf()` works.
- `git_proxy_init_options()` is added to initialize a `git_proxy_options`
  structure at run-time.
- `git_merge_driver_register()`, `git_merge_driver_unregister()` let you
  register and unregister a custom merge driver to be used when `.gitattributes`
  specifies it.
- `git_merge_driver_lookup()` can be used to look up a merge driver by name.
- `git_merge_driver_source_repo()`, `git_merge_driver_source_ancestor()`,
  `git_merge_driver_source_ours()`, `git_merge_driver_source_theirs()`,
  `git_merge_driver_source_file_options()` added as accessors to
  `git_merge_driver_source`.

### API removals
- `git_blob_create_fromchunks()` has been removed in favour of
  `git_blob_create_fromstream()`.

### Breaking API changes
- `git_packbuilder_object_count` and `git_packbuilder_written` now
  return a `size_t` instead of a `uint32_t` for more thorough
  compatibility with the rest of the library.
- `git_packbuiler_progress` now provides explicitly sized `uint32_t`
  values instead of `unsigned int`.
- `git_diff_file` now includes an `id_abbrev` field that reflects the
  number of nibbles set in the `id` field.
- `git_odb_backend` now has a `freshen` function pointer.  This optional
  function pointer is similar to the `exists` function, but it will update
  a last-used marker.  For filesystem-based object databases, this updates
  the timestamp of the file containing the object, to indicate ""freshness"".
  If this is `NULL`, then it will not be called and the `exists` function
  will be used instead.
- `git_remote_connect()` now accepts proxy options.
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/5000527/assets,https://api.github.com/repos/libgit2/libgit2/releases/5000527,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.25.0,https://github.com/libgit2/libgit2/releases/tag/v0.25.0,https://api.github.com/repos/libgit2/libgit2/zipball/v0.25.0,v0.25.0,False,False
4978390,2016-12-20T19:14:20Z,2016-12-21T11:02:31Z,libgit2 v0.25.0 RC2,"This is the second release candidate for libgit2 v0.25.0.

This release contains a few fixes for issues that were discovered after the last release candidate or where deemed important and non-intrusive enough for a release candidate.

There have been no changes to the release notes/changelog from the last release candidate.
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/4978390/assets,https://api.github.com/repos/libgit2/libgit2/releases/4978390,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.25.0-rc2,https://github.com/libgit2/libgit2/releases/tag/v0.25.0-rc2,https://api.github.com/repos/libgit2/libgit2/zipball/v0.25.0-rc2,v0.25.0-rc2,False,True
4947563,2016-12-17T10:47:29Z,2016-12-17T10:52:11Z,libgit2 v0.24.5 Maintenance Release,"This release adds support for building against OpenSSL 1.1 releases which introduced API changes. All users are encouraged to upgrade. This release replaces the mis-tagged v0.24.4.

```
65d24fd7d Add support for OpenSSL 1.1.0 for BIO filter
```
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/4947563/assets,https://api.github.com/repos/libgit2/libgit2/releases/4947563,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.24.5,https://github.com/libgit2/libgit2/releases/tag/v0.24.5,https://api.github.com/repos/libgit2/libgit2/zipball/v0.24.5,v0.24.5,False,False
4679396,2016-11-15T18:04:18Z,2016-11-16T19:40:07Z,libgit2 v0.25.0 RC1,"This is the first release candidate for libgit2 v0.25.0.

The changelog with notable changes since v0.24 follows.

### Changes or improvements
- Fix repository discovery with `git_repository_discover` and
  `git_repository_open_ext` to match git's handling of a ceiling
  directory at the current directory. git only checks ceiling
  directories when its search ascends to a parent directory.  A ceiling
  directory matching the starting directory will not prevent git from
  finding a repository in the starting directory or a parent directory.
- Do not fail when deleting remotes in the presence of broken
  global configs which contain branches.
- Support for reading and writing git index v4 files
- Improve the performance of the revwalk and bring us closer to git's code.
- The reference db has improved support for concurrency and returns `GIT_ELOCKED`
  when an operation could not be performed due to locking.
- Nanosecond resolution is now activated by default, following git's change to
  do this.
- We now restrict the set of ciphers we let OpenSSL use by default.
- Users can now register their own merge drivers for use with `.gitattributes`.
  The library also gained built-in support for the union merge driver.
- The default for creating references is now to validate that the object does
  exist.
- Add `git_proxy_options` which is used by the different networking
  implementations to let the caller specify the proxy settings instead of
  relying on the environment variables.

### API additions
- You can now get the user-agent used by libgit2 using the
  `GIT_OPT_GET_USER_AGENT` option with `git_libgit2_opts()`.
  It is the counterpart to `GIT_OPT_SET_USER_AGENT`.
- The `GIT_OPT_SET_SSL_CIPHERS` option for `git_libgit2_opts()` lets you specify
  a custom list of ciphers to use for OpenSSL.
- `git_commit_create_buffer()` creates a commit and writes it into a
  user-provided buffer instead of writing it into the object db. Combine it with
  `git_commit_create_with_signature()` in order to create a commit with a
  cryptographic signature.
- `git_blob_create_fromstream()` and
  `git_blob_create_fromstream_commit()` allow you to create a blob by
  writing into a stream. Useful when you do not know the final size or
  want to copy the contents from another stream.
- New flags for `git_repository_open_ext`:
  - `GIT_REPOSITORY_OPEN_NO_DOTGIT` - Do not check for a repository by
    appending `/.git` to the `start_path`; only open the repository if
    `start_path` itself points to the git directory.
  - `GIT_REPOSITORY_OPEN_FROM_ENV` - Find and open a git repository,
    respecting the environment variables used by the git command-line
    tools. If set, `git_repository_open_ext` will ignore the other
    flags and the `ceiling_dirs` argument, and will allow a NULL
    `path` to use `GIT_DIR` or search from the current directory. The
    search for a repository will respect `$GIT_CEILING_DIRECTORIES`
    and `$GIT_DISCOVERY_ACROSS_FILESYSTEM`.  The opened repository
    will respect `$GIT_INDEX_FILE`, `$GIT_NAMESPACE`,
    `$GIT_OBJECT_DIRECTORY`, and `$GIT_ALTERNATE_OBJECT_DIRECTORIES`.
    In the future, this flag will also cause `git_repository_open_ext`
    to respect `$GIT_WORK_TREE` and `$GIT_COMMON_DIR`; currently,
    `git_repository_open_ext` with this flag will error out if either
    `$GIT_WORK_TREE` or `$GIT_COMMON_DIR` is set.
- `git_diff_from_buffer()` can create a `git_diff` object from the contents
  of a git-style patch file.
- `git_index_version()` and `git_index_set_version()` to get and set
  the index version
- `git_odb_expand_ids()` lets you check for the existence of multiple
  objects at once.
- The new `git_blob_dup()`, `git_commit_dup()`, `git_tag_dup()` and
  `git_tree_dup()` functions provide type-specific wrappers for
  `git_object_dup()` to reduce noise and increase type safety for callers.
- `git_reference_dup()` lets you duplicate a reference to aid in ownership
  management and cleanup.
- `git_signature_from_buffer()` lets you create a signature from a string in the
  format that appear in objects.
- `git_tree_create_updated()` lets you create a tree based on another one
  together with a list of updates. For the covered update cases, it's more
  efficient than the `git_index` route.
- `git_apply_patch()` applies hunks from a `git_patch` to a buffer.
- `git_diff_to_buf()` lets you print an entire diff directory to a buffer,
  similar to how `git_patch_to_buf()` works.
- `git_proxy_init_options()` is added to initialize a `git_proxy_options`
  structure at run-time.
- `git_merge_driver_register()`, `git_merge_driver_unregister()` let you
  register and unregister a custom merge driver to be used when `.gitattributes`
  specifies it.
- `git_merge_driver_lookup()` can be used to look up a merge driver by name.
- `git_merge_driver_source_repo()`, `git_merge_driver_source_ancestor()`,
  `git_merge_driver_source_ours()`, `git_merge_driver_source_theirs()`,
  `git_merge_driver_source_file_options()` added as accessors to
  `git_merge_driver_source`.

### API removals
- `git_blob_create_fromchunks()` has been removed in favour of
  `git_blob_create_fromstream()`.

### Breaking API changes
- `git_packbuilder_object_count` and `git_packbuilder_written` now
  return a `size_t` instead of a `uint32_t` for more thorough
  compatibility with the rest of the library.
- `git_packbuiler_progress` now provides explicitly sized `uint32_t`
  values instead of `unsigned int`.
- `git_diff_file` now includes an `id_abbrev` field that reflects the
  number of nibbles set in the `id` field.
- `git_odb_backend` now has a `freshen` function pointer.  This optional
  function pointer is similar to the `exists` function, but it will update
  a last-used marker.  For filesystem-based object databases, this updates
  the timestamp of the file containing the object, to indicate ""freshness"".
  If this is `NULL`, then it will not be called and the `exists` function
  will be used instead.
- `git_remote_connect()` now accepts proxy options.
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/4679396/assets,https://api.github.com/repos/libgit2/libgit2/releases/4679396,master,https://api.github.com/repos/libgit2/libgit2/tarball/v0.25.0-rc1,https://github.com/libgit2/libgit2/releases/tag/v0.25.0-rc1,https://api.github.com/repos/libgit2/libgit2/zipball/v0.25.0-rc1,v0.25.0-rc1,False,True
4557587,2016-11-03T10:53:23Z,2016-11-03T11:03:04Z,libgit2 v0.24.3 Maintenance Release,"The following security fixes have been backported to this maintenance release, which fix CVE-2016-8568 and CVE-2016-8569. All users of the library are encouraged to update.

```
821042b commit: always initialize commit message
dfc2c71 tree: validate filename and OID length when parsing object
```
",https://api.github.com/users/carlosmn,335443,carlosmn,https://api.github.com/repos/libgit2/libgit2/releases/4557587/assets,https://api.github.com/repos/libgit2/libgit2/releases/4557587,maint/v0.24,https://api.github.com/repos/libgit2/libgit2/tarball/v0.24.3,https://github.com/libgit2/libgit2/releases/tag/v0.24.3,https://api.github.com/repos/libgit2/libgit2/zipball/v0.24.3,v0.24.3,False,False
