id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8263112,2017-10-25T22:16:14Z,2017-10-25T22:28:47Z,"Swift 4, Xcode 9, iOS 11 Support","This release fix some compatibility issue with swift 4, Xcode 9, and iOS 11.

**Also looking for a maintainer!** 

Hero helped me learned a lot about iOS over the last year. Fighting the iOS animation system and dealing with UI bugs has been quite a journey. But I am sorry to say that I do not have to time to maintain this project anymore. The scope of this project has become unmanageable for me to handle. I am looking for a project maintainer to this project and I'm open to transfer this to a public organization instead of under my personal account.

I will still be using Hero in productions, and contribute to critical bug fixes and new iOS release.",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/8263112/assets,https://api.github.com/repos/lkzhao/Hero/releases/8263112,master,https://api.github.com/repos/lkzhao/Hero/tarball/1.0.0,https://github.com/lkzhao/Hero/releases/tag/1.0.0,https://api.github.com/repos/lkzhao/Hero/zipball/1.0.0,1.0.0,False,False
7128589,2017-07-21T20:24:55Z,2017-07-21T20:27:52Z,1.0.0-alpha.4,* fix a crash when `fullScreenSnapshot` fails to capture. (happens when the app is backgrounded),https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/7128589/assets,https://api.github.com/repos/lkzhao/Hero/releases/7128589,master,https://api.github.com/repos/lkzhao/Hero/tarball/1.0.0-alpha.4,https://github.com/lkzhao/Hero/releases/tag/1.0.0-alpha.4,https://api.github.com/repos/lkzhao/Hero/zipball/1.0.0-alpha.4,1.0.0-alpha.4,False,True
7086131,2017-07-18T21:31:15Z,2017-07-18T22:17:11Z,1.0.0-alpha.3,"* fix an issue where views that are contained in a transformed view are not animated properly https://github.com/lkzhao/Hero/issues/237
* less force-unwraps.",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/7086131/assets,https://api.github.com/repos/lkzhao/Hero/releases/7086131,master,https://api.github.com/repos/lkzhao/Hero/tarball/1.0.0-alpha.3,https://github.com/lkzhao/Hero/releases/tag/1.0.0-alpha.3,https://api.github.com/repos/lkzhao/Hero/zipball/1.0.0-alpha.3,1.0.0-alpha.3,False,True
7048364,2017-07-14T19:37:18Z,2017-07-14T19:42:51Z,1.0.0-alpha.2,"This is the second alpha version for 1.0.0 release. Mostly bug fixes.
* fix an issue where the duration is incorrect when resuming an animation with delay
* fix a performance issue with interactive transition
* remove most of the force unwrapped optional
* fix a crash where finish/cancel is called before the animation has started.
* make internal CAMediaTimingFunctions public
* default container color is now black. to customize, construct your own `HeroTransition` object.

Example project
* animate tabbar so that it doesnt cover the content
* add a playground in the example project for quick tests",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/7048364/assets,https://api.github.com/repos/lkzhao/Hero/releases/7048364,master,https://api.github.com/repos/lkzhao/Hero/tarball/1.0.0-alpha.2,https://github.com/lkzhao/Hero/releases/tag/1.0.0-alpha.2,https://api.github.com/repos/lkzhao/Hero/zipball/1.0.0-alpha.2,1.0.0-alpha.2,False,True
6898420,2017-06-30T20:43:37Z,2017-06-30T20:43:48Z,1.0.0-alpha.1,"Sorry guys for the inactivity with this project. I have been having some other commitments. From now on, I will start maintaining and updating it more often. 

So to prepare for stable release 1.0, there will be a few alpha versions. I will start to clean up issues and start monitor new ones. Feel free to submit anything you have encountered while using the new versions.

#### New Features

* `.useNoSnapshot` will now try to insert the view back to the view hierarchy once the transition completes. So you don't need to manually insert it back.
  * Note: for views that have collection view or table view as the superview, Hero might not be able to insert it into the correct subview index since the collection view and table view might have altered their subviews during the transition.
* `.useNoSnapshot` will now animate subview layout changes. Very convenient when you want your custom layout be animated during the transition.

* Added `.whenXXX` modifiers to make hero more declaritive.
  * instead of conforming to `HeroViewControllerDelegate`, you can now use `.whenPresenting`, `.whenDismissing`, `.whenApearing`, `.whenDisapearing`, `.whenMatched`, or your own conditions with `.when`
* Added `isHeroEnabledForSubviews` property on UIView. Setting this to true will let Hero skip over the subview tree. This saves a lot of computation time when the subview tree is complex.

* Better support iOS custom keyboard
* Better support `UIVisualEffectView`
* You can now create your own instance of `HeroTransition` instead of using `isHeroEnabled` & `Hero.shared`.
  * just create an instance of `HeroTransition` and assign it to the `transitionDelegate` property of your view controller.
* Added `viewOrderingStrategy` property to `HeroTransition` which allow you to customize which view controller should be inserted first during the transition.
* Added `isUserInteractionEnabled` property to `HeroTransition` which allow you to enable user interaction during the transition.
  * Note: by default, Hero will create snapshot of your views and use them for animation. They don't have the same event handler as your own views. So to enable user interaction, you have to apply `.useNoSnapshot` modifier to the views that you want to enabled user interaction. Also keep in mind that Hero can be in any state when you are handling user interaction. If you want to trigger a new transition, besure to call `cancel(animated: false)` or `finish(animated: false)` before starting the new transition.

* The following methods on `Hero` is removed in favor of creating your custom `HeroTransition` object
  * `func disableDefaultAnimationForNextTransition()`
  * `func setDefaultAnimationForNextTransition(_ animation: HeroDefaultAnimationType)`
  * `func setContainerColorForNextTransition(_ color: UIColor?)`

#### Bug fixes: 
* fix the ghosting effect where the source view and target view animates at different rate
* fix tab bar crashes and inconsistency when tapping too fast.

#### Future Roadmap:
1. Custom snapshot view
2. Masking support
",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/6898420/assets,https://api.github.com/repos/lkzhao/Hero/releases/6898420,master,https://api.github.com/repos/lkzhao/Hero/tarball/1.0.0-alpha.1,https://github.com/lkzhao/Hero/releases/tag/1.0.0-alpha.1,https://api.github.com/repos/lkzhao/Hero/zipball/1.0.0-alpha.1,1.0.0-alpha.1,False,True
5774909,2017-03-16T22:31:52Z,2017-03-16T22:32:38Z,Bug fixes,"Fix #148 
",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/5774909/assets,https://api.github.com/repos/lkzhao/Hero/releases/5774909,master,https://api.github.com/repos/lkzhao/Hero/tarball/0.3.6,https://github.com/lkzhao/Hero/releases/tag/0.3.6,https://api.github.com/repos/lkzhao/Hero/zipball/0.3.6,0.3.6,False,False
5757402,2017-03-15T18:21:38Z,2017-03-15T18:29:26Z,Bug fixes,"* fix a compilation bug with manual install because UIKit not imported in one file.
* fix .selectedBy animations type not working",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/5757402/assets,https://api.github.com/repos/lkzhao/Hero/releases/5757402,master,https://api.github.com/repos/lkzhao/Hero/tarball/0.3.5,https://github.com/lkzhao/Hero/releases/tag/0.3.5,https://api.github.com/repos/lkzhao/Hero/zipball/0.3.5,0.3.5,False,False
5712145,2017-03-11T16:58:34Z,2017-03-11T16:58:45Z,Better string properties parser & bug fixes,"* added three new string properties to set defaultAnimation
    * heroModalAnimationTypeString
    * heroNavigationAnimationTypeString
    * heroTabBarAnimationTypeString

* new string parser that will give some error feedback
* fix speed different bug for interaction transition #132 
* other small bug fixes.",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/5712145/assets,https://api.github.com/repos/lkzhao/Hero/releases/5712145,master,https://api.github.com/repos/lkzhao/Hero/tarball/0.3.4,https://github.com/lkzhao/Hero/releases/tag/0.3.4,https://api.github.com/repos/lkzhao/Hero/zipball/0.3.4,0.3.4,False,False
5572840,2017-02-25T20:52:56Z,2017-02-25T20:54:45Z,Bug fixes,"- added ""contentsRect"" & ""contentsScale"" animation support
- fix a collection view ghosting effect bug #97 
",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/5572840/assets,https://api.github.com/repos/lkzhao/Hero/releases/5572840,master,https://api.github.com/repos/lkzhao/Hero/tarball/0.3.3,https://github.com/lkzhao/Hero/releases/tag/0.3.3,https://api.github.com/repos/lkzhao/Hero/zipball/0.3.3,0.3.3,False,False
5481354,2017-02-16T18:11:28Z,2017-02-16T18:12:00Z,0.3.2,"- new properties for specifying default animations

``` swift
extension UIViewController {
  /// default hero animation type for presenting & dismissing modally
  public var heroModalAnimationType: HeroDefaultAnimationType
}
extension UINavigationController {
  /// default hero animation type for push and pop within the navigation controller
  public var heroNavigationAnimationType: HeroDefaultAnimationType
}
extension UITabBarController {
  /// default hero animation type for switching tabs within the tab bar controller
  public var heroTabBarAnimationType: HeroDefaultAnimationType
}
```
- bug fixes https://github.com/lkzhao/Hero/issues/90 https://github.com/lkzhao/Hero/issues/85
- basic support for animating UIVisualEffectView's effect property in iOS 10
",https://api.github.com/users/lkzhao,3359850,lkzhao,https://api.github.com/repos/lkzhao/Hero/releases/5481354/assets,https://api.github.com/repos/lkzhao/Hero/releases/5481354,master,https://api.github.com/repos/lkzhao/Hero/tarball/0.3.2,https://github.com/lkzhao/Hero/releases/tag/0.3.2,https://api.github.com/repos/lkzhao/Hero/zipball/0.3.2,0.3.2,False,False
