id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8299253,2017-10-28T21:25:08Z,2017-10-28T21:31:32Z,v1.75.7009 (Hotfix 9),"Fixes:
------
#676: Portable version ignores /cons param on first run
#675: Attempting to add new connection/folder does not work in some situations
#665: Can not add new connection or new folder in some situations
#658: Keep Port Scan tab open after import
#646: Exception after click on import port scan
#635: Updated PuTTYNG to 0.70
#610: mRemoteNG cannot start /crashes for some users on Windows server 2012 R2 server
#600: Missing horizontal scrollbar on Connections Panel
#596: Exception when launching external tool without a connection selected
#550: Sometimes double-clicking connection tree node began rename instead of connecting
#536: Prevented log file creation when writeLogFile option is not set
#529: Erratic Tree Selection when using SQL Database
#482: Default connection password not decrypted when loaded
#335: The Quick Connect Toolbar > Connection view does not show open connections with the play icon
#176: Unable to enter text in Quick Connect when SSH connection active
Minor error message correction
Minor code refactoring",https://api.github.com/users/mremoteng-jenkins,19174805,mremoteng-jenkins,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/8299253/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/8299253,master,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75.7009,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75.7009,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75.7009,v1.75.7009,False,False
6938361,2013-11-14T00:20:52Z,2017-07-05T14:21:33Z,v1.72,"Fixed issue MR-592 - Unable to run VBS script as an external tool
Fixed issue MR-596 - Incorrect escaping of quotation marks in external tool arguments",https://api.github.com/users/kmscode,16654335,kmscode,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6938361/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6938361,develop,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/1.72,https://github.com/mRemoteNG/mRemoteNG/releases/tag/1.72,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/1.72,1.72,False,True
6727250,2017-06-15T15:52:59Z,2017-06-15T16:07:17Z,v1.75.7008 (Hotifx 8),"Fixes:
------
#589: MSI doesn't update with newer PuTTYNG version that fixes #583 (Again, Sorry!)
Minor updates to the installer build",https://api.github.com/users/mremoteng-jenkins,19174805,mremoteng-jenkins,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6727250/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6727250,master,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix8,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix8,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix8,v1.75Hotfix8,False,False
6712646,2017-06-14T15:10:19Z,2017-06-14T15:18:08Z,v1.75.7007 (Hotifx 7),"Fixes:
------
#583: SSH (PuTTYNG) Sessions are not properly integrated into the main mRemoteNG window (Sorry!)",https://api.github.com/users/mremoteng-jenkins,19174805,mremoteng-jenkins,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6712646/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6712646,master,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix7,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix7,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix7,v1.75Hotfix7,False,True
6697529,2017-06-13T15:15:08Z,2017-06-13T15:27:38Z,v1.75.7006 (Hotifx 6),"Fixes:
------
#377: Use all space on About page
#527: Additional protections to avoid problems on update check in heavily firewalled environments
#530: Fixed issue where using External Tool on existing connection causes creation of 'New Connection' entry
#531: Update PuTTYNG to 0.69
#546: Quick Connect from notification area icon displays warning when clicking on a folder (see #334)",https://api.github.com/users/mremoteng-jenkins,19174805,mremoteng-jenkins,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6697529/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6697529,master,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix6,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix6,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix6,v1.75Hotfix6,False,True
6215629,2017-04-27T21:36:16Z,2017-04-27T22:16:54Z,v1.75.7005 (Hotifx 5),"Fixes:
------
#410: Update PuTTYNG to 0.68
#434: Fix complier warnings CA1049 & CA2111
#442: Fixed issue loading PuTTY sessions that have spaces in the name
#502: Problems with ParentID for Duplicated Containers/Connections with SQL Connection Storage
#514: Expanded property not saved/loaded properly from SQL
#518: Exception when Importing File


General Changes:
----------------
Minor code cleanup/optimizations/null checks",https://api.github.com/users/mremoteng-jenkins,19174805,mremoteng-jenkins,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6215629/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/6215629,master,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix5,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix5,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix5,v1.75Hotfix5,False,True
5863512,2017-03-24T18:14:26Z,2017-03-24T20:09:01Z,v1.75.7003 (Hotfix 4),"*Note: all updates here are in relation to [v1.75.7002](https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix3)*

Fixes:
------
#464: Resolved issue when importing a connections file while using SQL server feature",https://api.github.com/users/mremoteng-jenkins,19174805,mremoteng-jenkins,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5863512/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5863512,resolve_sql_deserialization_issue,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix4,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix4,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix4,v1.75Hotfix4,False,True
5708254,2017-03-10T21:41:14Z,2017-03-10T21:46:46Z,v1.75 Hotfix 3,"This resolves an issue with SQL serialization which relied on column ordering.

Fixes:
------
#448: Resolved issue with SQL saving",https://api.github.com/users/sparerd,6999446,sparerd,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5708254/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5708254,resolve_sql_deserialization_issue,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix3,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix3,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix3,v1.75Hotfix3,False,True
5706482,2017-03-10T18:40:20Z,2017-03-10T19:09:59Z,1.75 Hotfix 2,"*Note: all changes are in relation to [v1.75 Hotfix 1](https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix1)*

This fix is currently available on the `Development` update channel. It will be promoted to higher channels once it is determined to be stable.

Fixes:
------
#408: Update SQL scripts
#448: Resolved issue with SQL saving",https://api.github.com/users/sparerd,6999446,sparerd,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5706482/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5706482,resolve_sql_deserialization_issue,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix2,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix2,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix2,v1.75Hotfix2,False,True
5654151,2017-03-06T17:33:04Z,2017-03-06T17:57:40Z,1.75 hotfix 1,"*Note: all changes for this version are in relation to the [1.75 final](https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75) release*

General Changes:
----------------
#437: Modify version numbering scheme

Fixes:
------
#422: Uncaught exception when clicking in connection tree whitespace
#312: Resolved KeePass auto-type issue
#427: Export does not respect filtering user/password/domain",https://api.github.com/users/sparerd,6999446,sparerd,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5654151/assets,https://api.github.com/repos/mRemoteNG/mRemoteNG/releases/5654151,master,https://api.github.com/repos/mRemoteNG/mRemoteNG/tarball/v1.75Hotfix1,https://github.com/mRemoteNG/mRemoteNG/releases/tag/v1.75Hotfix1,https://api.github.com/repos/mRemoteNG/mRemoteNG/zipball/v1.75Hotfix1,v1.75Hotfix1,False,False
