id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
2622069,2016-02-16T09:23:02Z,2016-02-16T09:24:42Z,2.0.8,"- Fixes #110
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2622069/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2622069,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/2.0.8,https://github.com/matthewpalmer/Locksmith/releases/tag/2.0.8,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/2.0.8,2.0.8,False,False
2611226,2016-02-14T07:24:59Z,2016-02-14T07:27:22Z,Add update method,"This update (finally) adds a proper update method for items in the keychain thanks to @Sega-Zero 
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2611226/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2611226,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/2.0.7,https://github.com/matthewpalmer/Locksmith/releases/tag/2.0.7,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/2.0.7,2.0.7,False,False
2441010,2016-01-17T04:43:00Z,2016-01-17T04:43:48Z,,,https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2441010/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2441010,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/2.0.5,https://github.com/matthewpalmer/Locksmith/releases/tag/2.0.5,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/2.0.5,2.0.5,False,False
2441004,2015-12-14T20:31:43Z,2016-01-17T04:39:24Z,,"tvOS support in release
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2441004/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/2441004,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/2.0.4,https://github.com/matthewpalmer/Locksmith/releases/tag/2.0.4,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/2.0.4,2.0.4,False,False
1803606,2015-09-12T06:19:14Z,2015-09-12T06:29:39Z,watchOS,"Project cleanup, add a build server, and add a watchOS target.
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1803606/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1803606,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/2.0.1,https://github.com/matthewpalmer/Locksmith/releases/tag/2.0.1,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/2.0.1,2.0.1,False,False
1744747,2015-08-31T11:38:49Z,2015-08-31T11:41:43Z,Swift 2 & protocol oriented design,"Ground-up redesign of Locksmith to be protocol oriented, just in time for Swift 2!

This adds a huge amount of functionality, flexibility, and power, while still maintaining the key parts of the old, easy-to-use API.
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1744747/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1744747,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/2.0.0,https://github.com/matthewpalmer/Locksmith/releases/tag/2.0.0,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/2.0.0,2.0.0,False,False
1331179,2015-05-23T23:44:45Z,2015-05-23T23:47:31Z,1.2.2,"- Minor fixes and improvements related to Swift
- Add Carthage support
- Drop iOS version requirement to 8.0
- Update tests
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1331179/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1331179,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/1.2.2,https://github.com/matthewpalmer/Locksmith/releases/tag/1.2.2,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/1.2.2,1.2.2,False,False
1147313,2015-04-09T22:53:54Z,2015-04-10T00:18:47Z,1.2.1,"Version 1.2.1 which adds support for Swift 1.2
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1147313/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/1147313,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/1.2.1,https://github.com/matthewpalmer/Locksmith/releases/tag/1.2.1,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/1.2.1,1.2.1,False,False
892268,2015-01-28T10:06:45Z,2015-01-28T10:08:14Z,1.2.0,"Adds support for default values for service name
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/892268/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/892268,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/1.2.0,https://github.com/matthewpalmer/Locksmith/releases/tag/1.2.0,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/1.2.0,1.2.0,False,False
882654,2015-01-25T09:58:54Z,2015-01-25T10:02:19Z,Cocoapods,"Adds support for installation via Cocoapods
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/882654/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/882654,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/1.1.0,https://github.com/matthewpalmer/Locksmith/releases/tag/1.1.0,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/1.1.0,1.1.0,False,False
741707,2014-11-24T22:35:48Z,2014-11-28T19:52:51Z,Initial release,"This is the initial release for Locksmith.
",https://api.github.com/users/matthewpalmer,1917632,matthewpalmer,https://api.github.com/repos/matthewpalmer/Locksmith/releases/741707/assets,https://api.github.com/repos/matthewpalmer/Locksmith/releases/741707,master,https://api.github.com/repos/matthewpalmer/Locksmith/tarball/v1.0,https://github.com/matthewpalmer/Locksmith/releases/tag/v1.0,https://api.github.com/repos/matthewpalmer/Locksmith/zipball/v1.0,v1.0,False,False
