id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
4027125,2016-09-01T09:41:00Z,2016-09-01T09:50:02Z,Countries v1.8.0,"#### Additions

add Slovak translations
add Chinese translations
add Dutch translation for Kosovo
add German translations for Kosovo and Curaçao

#### Build

add composer.lock file to prevent dependencies issues
allow setting a custom command name

#### Fixes

fix native name for Nepal (from https://github.com/fayder/restcountries/pull/23)
change demonym for Argentina to `Argentine`
fix demonym for Christmas Island
fix subregion in Slovak Republic
replace all ""cmn"" with ""zho""
replaced Kosovo's International Olympic Committee code by ISO 3166-1 alpha-3 code in land borders array
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/4027125/assets,https://api.github.com/repos/mledoze/countries/releases/4027125,master,https://api.github.com/repos/mledoze/countries/tarball/v1.8.0,https://github.com/mledoze/countries/releases/tag/v1.8.0,https://api.github.com/repos/mledoze/countries/zipball/v1.8.0,v1.8.0,False,False
2509661,2016-01-28T16:06:28Z,2016-01-28T16:07:19Z,Countries v1.7.7,"added missing French translations for Kosovo and Curaçao.
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/2509661/assets,https://api.github.com/repos/mledoze/countries/releases/2509661,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.7,https://github.com/mledoze/countries/releases/tag/v1.7.7,https://api.github.com/repos/mledoze/countries/zipball/v1.7.7,v1.7.7,False,False
2467441,2016-01-21T13:42:51Z,2016-01-21T13:43:52Z,Countries v1.7.6,"Fix `languages` key not being excluded with JSON converter (#162)
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/2467441/assets,https://api.github.com/repos/mledoze/countries/releases/2467441,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.6,https://github.com/mledoze/countries/releases/tag/v1.7.6,https://api.github.com/repos/mledoze/countries/zipball/v1.7.6,v1.7.6,False,False
2459052,2016-01-20T11:07:42Z,2016-01-20T11:11:45Z,Countries v1.7.5,"Allow both 2.7 and 3.0 for Symfony
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/2459052/assets,https://api.github.com/repos/mledoze/countries/releases/2459052,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.5,https://github.com/mledoze/countries/releases/tag/v1.7.5,https://api.github.com/repos/mledoze/countries/zipball/v1.7.5,v1.7.5,False,False
1441084,2015-06-20T12:28:33Z,2015-06-20T12:30:04Z,Countries v1.7.4,"#### Build

update Symfony to version 2.7
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/1441084/assets,https://api.github.com/repos/mledoze/countries/releases/1441084,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.4,https://github.com/mledoze/countries/releases/tag/v1.7.4,https://api.github.com/repos/mledoze/countries/zipball/v1.7.4,v1.7.4,False,False
1127536,2015-04-05T13:41:22Z,2015-04-05T17:06:31Z,Countries v1.7.3,"#### Breaking changes

removed `Bonaire` and `Saint Helena, Ascension and Tristan da Cunha` from `countries.json` and moved them respectively in `data/bes.divisions.json` and `data/shn.divisions.json` (see #93)

#### Addition

added new property: International Olympic Committee country code (`cioc`)
added `Ascension` and `Tristan da Cunha` to `data/shn.divisions.json` 
added `Sint Eustatius` and `Saba` to `data/bes.divisions.json`
added Tamil to the list of Indian languages
added missing ISO 3166-1 names to `altSpellings`
added sardinian language to `Italy`
added sardinian translation of the Italian name
added finish translations
added basque language name to `Spain`

#### Build

update composer dependencies

#### Fixes

made `Kuwait` border `Iraq`
removed `Iran` from `Kuwait` borders

_**Thank you to all the contributors who helped for this release!.**_
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/1127536/assets,https://api.github.com/repos/mledoze/countries/releases/1127536,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.3,https://github.com/mledoze/countries/releases/tag/v1.7.3,https://api.github.com/repos/mledoze/countries/zipball/v1.7.3,v1.7.3,False,False
1026075,2015-03-07T16:02:04Z,2015-03-07T16:07:31Z,Countries v1.7.2,"remove `src` from the ignore list in `bower.json`
fix `bugs` entry in `package.json`
release v1.7.2
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/1026075/assets,https://api.github.com/repos/mledoze/countries/releases/1026075,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.2,https://github.com/mledoze/countries/releases/tag/v1.7.2,https://api.github.com/repos/mledoze/countries/zipball/v1.7.2,v1.7.2,False,False
1026048,2015-03-07T15:42:37Z,2015-03-07T15:51:46Z,Countries v1.7.1,"#### Breaking changes

removed `relevance` data, see #41

#### Addition

added `bower.json` to make this project available as a Bower package
added note about editing languages in `CONTRIBUTING.md`

#### Build

renamed `CountryData` to `Converter` 
renamed `Converter` interface to `ConverterInterface`

#### Fixes

fixed data for South Soudan, Bonaire and Curazao
fixed spelling in german translation for Egypt
removed `cca3` code from Kosovo
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/1026048/assets,https://api.github.com/repos/mledoze/countries/releases/1026048,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.1,https://github.com/mledoze/countries/releases/tag/v1.7.1,https://api.github.com/repos/mledoze/countries/zipball/v1.7.1,v1.7.1,False,False
926837,2015-02-06T16:09:53Z,2015-02-06T16:12:39Z,Countries v1.7.0,"#### Breaking changes

##### New format for country names.

The country names (property `name.native`) now contains every native languages. Thus the `nativeLanguage` property, which used to identify the language code used for the native country names, has been removed.

**Before**

``` json
{
    ""name"": {
        ""common"": ""Peru"",
        ""official"": ""Republic of Peru"",
        ""native"": {
            ""common"": ""Per\u00fa"",
            ""official"": ""Rep\u00fablica del Per\u00fa""
        }
    },
    ""..."": ""..."",
    ""nativeLanguage"": ""spa"",
    ""languages"": {
        ""aym"": ""Aymara"",
        ""que"": ""Quechua"",
        ""spa"": ""Spanish""
    }
}
```

**After**

``` json
{
    ""name"": {
        ""common"": ""Peru"",
        ""official"": ""Republic of Peru"",
        ""native"": {
            ""aym"": {
                ""official"": ""Piruw Suyu"",
                ""common"": ""Piruw""
            },
            ""que"": {
                ""official"": ""Piruw Ripuwlika"",
                ""common"": ""Piruw""
            },
            ""spa"": {
                ""official"": ""Rep\u00fablica del Per\u00fa"",
                ""common"": ""Per\u00fa""
            }
        }
    },
    ""..."": ""..."",
    ""languages"": {
        ""aym"": ""Aymara"",
        ""que"": ""Quechua"",
        ""spa"": ""Spanish""
    }
}
```

##### New format for translations

As proposed by @herrniemand, the format for translations has been updated to include official country names. Hereafter an example for Peru:

**Before**

``` json
{
      ""translations"": {
        ""deu"": ""Peru"",
        ""fra"": ""P\u00e9rou"",
        ""hrv"": ""Peru"",
        ""ita"": ""Per\u00f9"",
        ""jpn"": ""\u30da\u30eb\u30fc"",
        ""nld"": ""Peru"",
        ""por"": ""Per\u00fa"",
        ""rus"": ""\u041f\u0435\u0440\u0443"",
        ""spa"": ""Per\u00fa""
    }
}
```

**After**

``` json
{
    ""translations"": {
        ""deu"": {""official"": ""Republik Peru"", ""common"": ""Peru""},
        ""fra"": {""official"": ""R\u00e9publique du P\u00e9rou"", ""common"": ""P\u00e9rou""},
        ""hrv"": {""official"": ""Republika Peru"", ""common"": ""Peru""},
        ""ita"": {""official"": ""Repubblica del Per\u00f9"", ""common"": ""Per\u00f9""},
        ""jpn"": {""official"": ""\u30da\u30eb\u30fc\u5171\u548c\u56fd"", ""common"": ""\u30da\u30eb\u30fc""},
        ""nld"": {""official"": ""Republiek Peru"", ""common"": ""Peru""},
        ""por"": {""official"": ""Rep\u00fablica do Peru"", ""common"": ""Per\u00fa""},
        ""rus"": {""official"": ""\u0420\u0435\u0441\u043f\u0443\u0431\u043b\u0438\u043a\u0430 \u041f\u0435\u0440\u0443"", ""common"": ""\u041f\u0435\u0440\u0443""},
        ""spa"": {""official"": ""Rep\u00fablica de Per\u00fa"", ""common"": ""Per\u00fa""}
    }
}
```

#### Addition

add alternative name and spellings for East Timor

#### Build

A new build system has been introduced by @petert82. The single script is split up into individual files in `src/` and the symfony Console component as a dependency, to make it nice and easy to extend the conversion options in future. 

To build the `dist` files, the command is now `php countries.php convert`.

#### Updates

change Lithuania currency to EUR
change zambian currency to ZMW

#### Fixes

fix Kosovo calling code
fix demonym of Myanmar
fix official Swahili name of Kenya

_**Again, a huge thank you goes to @herrniemand and @petert82 for their ideas and help on this.**_
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/926837/assets,https://api.github.com/repos/mledoze/countries/releases/926837,master,https://api.github.com/repos/mledoze/countries/tarball/v1.7.0,https://github.com/mledoze/countries/releases/tag/v1.7.0,https://api.github.com/repos/mledoze/countries/zipball/v1.7.0,v1.7.0,False,False
870555,2015-01-21T10:28:05Z,2015-01-21T10:50:26Z,Countries v1.6.2,"#### Addition

add landlocked data (as proposed by @romsson)
add commands in `CONTRIBUTING.md` to generate `dist` files

#### Fixes

fix `Saint-Martin` and `Saint-Pierre-and-Miquelon` mixed up names
fix flags ratio
fixed `Western Sahara` names
",https://api.github.com/users/mledoze,576509,mledoze,https://api.github.com/repos/mledoze/countries/releases/870555/assets,https://api.github.com/repos/mledoze/countries/releases/870555,master,https://api.github.com/repos/mledoze/countries/tarball/v1.6.2,https://github.com/mledoze/countries/releases/tag/v1.6.2,https://api.github.com/repos/mledoze/countries/zipball/v1.6.2,v1.6.2,False,False
