id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7902591,2017-09-26T14:12:37Z,2017-09-27T00:40:05Z,v9.1,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/7902591/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/7902591,v9.x,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/v9.1,https://github.com/mozilla-mobile/firefox-ios/releases/tag/v9.1,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/v9.1,v9.1,False,False
7900279,2017-09-26T20:22:47Z,2017-09-26T20:24:01Z,v10.0b1,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/7900279/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/7900279,v10.x,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/v10.0b1,https://github.com/mozilla-mobile/firefox-ios/releases/tag/v10.0b1,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/v10.0b1,v10.0b1,False,False
7216465,2017-07-28T19:23:33Z,2017-07-29T13:42:23Z,v8.1,This is version 8.1 for Firefox for iOS.,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/7216465/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/7216465,v8.x,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/v8.1,https://github.com/mozilla-mobile/firefox-ios/releases/tag/v8.1,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/v8.1,v8.1,False,False
1717365,2015-08-25T01:32:29Z,2015-08-25T01:57:12Z,Firefox for iOS 1.0.0RC3,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1717365/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1717365,builds/AuroraV43,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/1.0.0RC3,https://github.com/mozilla-mobile/firefox-ios/releases/tag/1.0.0RC3,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/1.0.0RC3,1.0.0RC3,False,False
1717060,2015-08-24T23:48:27Z,2015-08-24T23:57:39Z,Firefox for iOS 1.0.0RC2,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1717060/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1717060,builds/AuroraV42,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/1.0.0RC2,https://github.com/mozilla-mobile/firefox-ios/releases/tag/1.0.0RC2,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/1.0.0RC2,1.0.0RC2,False,False
1707615,2015-08-21T20:46:37Z,2015-08-21T23:40:56Z,Firefox for iOS 1.0.0RC1,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1707615/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1707615,builds/AuroraV41,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/1.0.0RC1,https://github.com/mozilla-mobile/firefox-ios/releases/tag/1.0.0RC1,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/1.0.0RC1,1.0.0RC1,False,False
1087503,2015-03-25T02:00:22Z,2015-03-25T02:01:06Z,Aurora Build 6,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1087503/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/1087503,master,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/AuroraV6,https://github.com/mozilla-mobile/firefox-ios/releases/tag/AuroraV6,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/AuroraV6,AuroraV6,False,True
965084,2015-02-18T19:47:14Z,2015-02-18T19:47:45Z,Aurora Build 3,"Aurora Build 3
",https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/965084/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/965084,master,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/AuroraV3,https://github.com/mozilla-mobile/firefox-ios/releases/tag/AuroraV3,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/AuroraV3,AuroraV3,False,True
964994,2015-02-18T19:17:31Z,2015-02-18T19:22:36Z,Aurora Build 2,"Aurora Build 2
",https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/964994/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/964994,master,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/AuroraV2,https://github.com/mozilla-mobile/firefox-ios/releases/tag/AuroraV2,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/AuroraV2,AuroraV2,False,True
964978,2015-02-18T19:17:31Z,2015-02-18T19:18:35Z,Aurora Build 1,,https://api.github.com/users/st3fan,28052,st3fan,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/964978/assets,https://api.github.com/repos/mozilla-mobile/firefox-ios/releases/964978,master,https://api.github.com/repos/mozilla-mobile/firefox-ios/tarball/AuroraV1,https://github.com/mozilla-mobile/firefox-ios/releases/tag/AuroraV1,https://api.github.com/repos/mozilla-mobile/firefox-ios/zipball/AuroraV1,AuroraV1,False,True
