id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
5450001,2017-02-14T09:10:59Z,2017-02-14T09:47:09Z,,"Version `0.55.3` fixed a bug where two rules in LOG and a DROP could conflict if a request was tagged as _DROP_ but not _BLOCK_.
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/5450001/assets,https://api.github.com/repos/nbs-system/naxsi/releases/5450001,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.55.3,https://github.com/nbs-system/naxsi/releases/tag/0.55.3,https://api.github.com/repos/nbs-system/naxsi/zipball/0.55.3,0.55.3,False,False
5368097,2017-02-06T09:12:18Z,2017-02-06T09:18:27Z,"makefile, not war","Version `0.55.2` fixed a bug where when two consecutive virtual patching rules on the same zone are checked, a mismatch of the `matchzone` on the first one would make the following one fail as well.
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/5368097/assets,https://api.github.com/repos/nbs-system/naxsi/releases/5368097,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.55.2,https://github.com/nbs-system/naxsi/releases/tag/0.55.2,https://api.github.com/repos/nbs-system/naxsi/zipball/0.55.2,0.55.2,False,False
4153448,2016-09-15T11:19:33Z,2016-09-16T15:30:12Z,"makefile, not war","Version 0.55.1 fixes a build issue when naxsi was used with mod_lua and other modules.
",https://api.github.com/users/blotus,835060,blotus,https://api.github.com/repos/nbs-system/naxsi/releases/4153448/assets,https://api.github.com/repos/nbs-system/naxsi/releases/4153448,2b1779924ee23d643c19a8a22a620f92f2d4aa19,https://api.github.com/repos/nbs-system/naxsi/tarball/0.55.1,https://github.com/nbs-system/naxsi/releases/tag/0.55.1,https://api.github.com/repos/nbs-system/naxsi/zipball/0.55.1,0.55.1,False,False
4117773,2016-09-13T13:25:09Z,2016-09-13T13:28:13Z,"makefile, not war","Version 0.55 brings one main improvement :
- Support of [libinjection as a virtual patching method](https://github.com/nbs-system/naxsi/wiki/libinjection-integration#virtual-patching)
- Support more precise virtual patching rules
- Support for [RAW_BODY](https://github.com/nbs-system/naxsi/wiki/rawbody) match-zone : Allow rule creation on unknown content-type(s)

It also brings some bug-fixes :
- Refuse to load with incoherent rules : #283
- Fixed some matchzone bugs that could lead to rules being incorrectly triggered : #282 #279
- Better^WLess worse Makefile

This should be the last release with nxapi/nxtool included, as it's being rewritten.

As usual, happy hacking and feedback is welcome !
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/4117773/assets,https://api.github.com/repos/nbs-system/naxsi/releases/4117773,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.55,https://github.com/nbs-system/naxsi/releases/tag/0.55,https://api.github.com/repos/nbs-system/naxsi/zipball/0.55,0.55,False,False
3262944,2016-05-19T14:25:18Z,2016-05-19T16:15:35Z,"makefile, not war","This is RC2 for naxsi 0.55 :

**NEW**
- Added support for RAW_BODY (rules to be matched against the full, raw body. Can be useful to match rules against unparsed content : XML, serialized java objects etc.)
- Confirmed support as a dynamic module (introduced in nginx 1.9.11)
- Better libinjection integration (can be used to make virtual-patching)

```
# drop any request that libinjection considers as SQLi (checked only in GET variable named ""id"")
MainRule id:4242 ""d:libinj_sql"" ""mz:$ARGS_VAR:id"" ""s:DROP"";
```
- Better blacklist matchzones (can now be as precise as whitelists)

```
# matches ""test"" on variable named ""aa"" or ""ab"" as long as they target url ""/foo""
MainRule id:4241 ""str:test"" ""mz:$URL:/foo|$ARGS_VAR:aa|$ARGS_VAR:ab"" ""s:$XSS:8"";
```

**BUGFIXES**
- Better makefile for testing & dev, increased coverage
- Minor bug-fixes (#120, #241, #217, #231, #279, #283, #276)
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/3262944/assets,https://api.github.com/repos/nbs-system/naxsi/releases/3262944,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.55rc2,https://github.com/nbs-system/naxsi/releases/tag/0.55rc2,https://api.github.com/repos/nbs-system/naxsi/zipball/0.55rc2,0.55rc2,False,True
2887289,2016-03-24T14:42:03Z,2016-03-25T10:22:44Z,"makefile, not war","This is release candidate for naxsi 0.55 :
- Added support for RAW_BODY (rules to be matched against the full, raw body. Can be useful to match rules against unparsed content : XML, serialized java objects etc.)
- Confirmed support as a dynamic module (introduced in nginx 1.9.11)
- Better makefile for testing & dev, increased coverage
- Minor bug-fixes (#120, #241, #217, #231)
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/2887289/assets,https://api.github.com/repos/nbs-system/naxsi/releases/2887289,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.55rc1,https://github.com/nbs-system/naxsi/releases/tag/0.55rc1,https://api.github.com/repos/nbs-system/naxsi/zipball/0.55rc1,0.55rc1,False,True
1883145,2015-09-29T12:41:13Z,2015-09-29T12:57:20Z,gin-rodjeur,"CHANGES - CORE (from 0.53-2 ""AppleJack"") :
- increased PCRE output vector from 6 to 30 (from 2 match groups to 10)
- removed negative rule on content-types (naxsi_core.rules) as naxsi supports json
- Fixed broken EXLOG on |NAME match zones (issues/110)
- Integrated libinjection (xss/sqli)

CHANGES - NXAPI (from 0.53-2 ""AppleJack"") :
- NXAPI can now generate negative whitelists based on variable type (ie, it will block requests that do not match the rule).
- Add of coordonates to ES and country
- Refuse to tag events without server name
- Support of global_deny_rules and deny_rules
- Support for regex in filters

Signed release : 2685AED4
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/1883145/assets,https://api.github.com/repos/nbs-system/naxsi/releases/1883145,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.54,https://github.com/nbs-system/naxsi/releases/tag/0.54,https://api.github.com/repos/nbs-system/naxsi/zipball/0.54,0.54,False,False
1380788,2015-06-05T11:35:03Z,2015-06-05T11:51:27Z,naxsi-0.54rc3,"Naxsi 0.54rc3
- No change from RC2
- Signed release
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/1380788/assets,https://api.github.com/repos/nbs-system/naxsi/releases/1380788,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.54rc3,https://github.com/nbs-system/naxsi/releases/tag/0.54rc3,https://api.github.com/repos/nbs-system/naxsi/zipball/0.54rc3,0.54rc3,False,False
1143798,2015-04-09T09:10:08Z,2015-04-09T09:29:03Z,,"CHANGES - CORE :
- Fix a NULL pointer dereference when logging very long URIs or very long argname (Issue #178 )
- EXLOG on libinjection no longers mixes up var_name and content
- increased PCRE output vector from 6 to 30 (from 2 match groups to 10)
- removed negative rule on content-types (naxsi_core.rules) as naxsi supports json
- Fixed broken EXLOG on |NAME match zones (issues/110)
- Integrated libinjection (xss/sqli)

CHANGES - NXAPI :
- NXAPI can now generate negative whitelists based on variable type (ie, it will block requests that do not match the rule).
- Add of coordonates to ES and country
- Refuse to tag events without server name
- Support of global_deny_rules and deny_rules
- Support for regex in filters
",https://api.github.com/users/buixor,990714,buixor,https://api.github.com/repos/nbs-system/naxsi/releases/1143798/assets,https://api.github.com/repos/nbs-system/naxsi/releases/1143798,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.54rc2,https://github.com/nbs-system/naxsi/releases/tag/0.54rc2,https://api.github.com/repos/nbs-system/naxsi/zipball/0.54rc2,0.54rc2,False,True
1105381,2015-03-26T13:15:03Z,2015-03-30T11:40:59Z,RC1 for naxsi 0.54,"CHANGES - CORE :
- Fix a NULL pointer dereference when logging very long URIs or very long argname (Issue #178 )

CHANGES - NXAPI :
- NXAPI can now generate negative whitelists based on variable type (ie, it will block requests that do _not_ match the rule).
",https://api.github.com/users/blotus,835060,blotus,https://api.github.com/repos/nbs-system/naxsi/releases/1105381/assets,https://api.github.com/repos/nbs-system/naxsi/releases/1105381,master,https://api.github.com/repos/nbs-system/naxsi/tarball/0.54rc1,https://github.com/nbs-system/naxsi/releases/tag/0.54rc1,https://api.github.com/repos/nbs-system/naxsi/zipball/0.54rc1,0.54rc1,False,True
