id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7951706,2017-09-30T13:20:43Z,2017-09-30T13:51:28Z,rclone,Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.,https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/7951706/assets,https://api.github.com/repos/ncw/rclone/releases/7951706,master,https://api.github.com/repos/ncw/rclone/tarball/v1.38,https://github.com/ncw/rclone/releases/tag/v1.38,https://api.github.com/repos/ncw/rclone/zipball/v1.38,v1.38,False,False
7133681,2017-07-22T19:04:29Z,2017-07-22T19:38:28Z,rclone,Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.,https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/7133681/assets,https://api.github.com/repos/ncw/rclone/releases/7133681,master,https://api.github.com/repos/ncw/rclone/tarball/v1.37,https://github.com/ncw/rclone/releases/tag/v1.37,https://api.github.com/repos/ncw/rclone/zipball/v1.37,v1.37,False,False
5790508,2017-03-18T11:16:43Z,2017-03-18T11:27:08Z,rclone,Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.,https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/5790508/assets,https://api.github.com/repos/ncw/rclone/releases/5790508,master,https://api.github.com/repos/ncw/rclone/tarball/v1.36,https://github.com/ncw/rclone/releases/tag/v1.36,https://api.github.com/repos/ncw/rclone/zipball/v1.36,v1.36,False,False
5050262,2017-01-02T15:33:06Z,2017-01-02T15:51:49Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/5050262/assets,https://api.github.com/repos/ncw/rclone/releases/5050262,master,https://api.github.com/repos/ncw/rclone/tarball/v1.35,https://github.com/ncw/rclone/releases/tag/v1.35,https://api.github.com/repos/ncw/rclone/zipball/v1.35,v1.35,False,False
4583344,2016-11-06T10:40:40Z,2016-11-06T11:01:54Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/4583344/assets,https://api.github.com/repos/ncw/rclone/releases/4583344,master,https://api.github.com/repos/ncw/rclone/tarball/v1.34,https://github.com/ncw/rclone/releases/tag/v1.34,https://api.github.com/repos/ncw/rclone/zipball/v1.34,v1.34,False,False
3967283,2016-08-24T22:02:05Z,2016-08-24T22:17:58Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/3967283/assets,https://api.github.com/repos/ncw/rclone/releases/3967283,master,https://api.github.com/repos/ncw/rclone/tarball/v1.33,https://github.com/ncw/rclone/releases/tag/v1.33,https://api.github.com/repos/ncw/rclone/zipball/v1.33,v1.33,False,False
3649980,2016-07-13T16:32:39Z,2016-11-06T11:01:23Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/3649980/assets,https://api.github.com/repos/ncw/rclone/releases/3649980,master,https://api.github.com/repos/ncw/rclone/tarball/v1.32,https://github.com/ncw/rclone/releases/tag/v1.32,https://api.github.com/repos/ncw/rclone/zipball/v1.32,v1.32,False,False
3647696,2016-07-13T11:28:01Z,2016-07-13T13:26:21Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/3647696/assets,https://api.github.com/repos/ncw/rclone/releases/3647696,master,https://api.github.com/repos/ncw/rclone/tarball/v1.31,https://github.com/ncw/rclone/releases/tag/v1.31,https://api.github.com/repos/ncw/rclone/zipball/v1.31,v1.31,False,False
3473844,2016-06-18T15:41:46Z,2016-06-18T15:55:39Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/3473844/assets,https://api.github.com/repos/ncw/rclone/releases/3473844,master,https://api.github.com/repos/ncw/rclone/tarball/v1.30,https://github.com/ncw/rclone/releases/tag/v1.30,https://api.github.com/repos/ncw/rclone/zipball/v1.30,v1.30,False,False
3044181,2016-04-18T17:30:29Z,2016-04-18T17:56:10Z,rclone,"Rclone - rsync for cloud storage. Sync files to and from many cloud storage providers.
",https://api.github.com/users/ncw,536803,ncw,https://api.github.com/repos/ncw/rclone/releases/3044181/assets,https://api.github.com/repos/ncw/rclone/releases/3044181,master,https://api.github.com/repos/ncw/rclone/tarball/v1.29,https://github.com/ncw/rclone/releases/tag/v1.29,https://api.github.com/repos/ncw/rclone/zipball/v1.29,v1.29,False,False
