id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8253347,2017-10-25T12:14:23Z,2017-10-25T12:19:40Z,nghttp2 v1.27.0,"* build: Fixed accidental compiler flags concatenation for MSVC (Patch from LazyHamster) (GH-1029)
* build: Reduce libxml2 version requirement to 2.6.26 (Patch from Mike Lothian) (GH-1020)
* asio: Support for Windows / MinGW (Patch from Daniel Evers) (GH-1027)
* h2load: Print out h2 header fields with --verbose option (GH-1015)
* nghttpx: Send non-final response to HTTP/1.1 or HTTP/2 client only (GH-1016)
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/8253347/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/8253347,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.27.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.27.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.27.0,v1.27.0,False,False
7824579,2017-09-20T13:42:46Z,2017-09-20T13:55:10Z,nghttp2 v1.26.0,"* docs: Fix some typos in the nghttpx how-to (Patch from Marc Bachmann) (GH-1013)
* build: Update Dockerfile.android (Patch from Gitai) (GH-1002)
* build: Refactoring include directories for build as CMake subdirectory (add_subdirectory(nghttp2)) (Patch from Dmitriy Vetutnev) (GH-988)
* nghttpx: Fix OCSP related error when building with BoringSSL (Patch from Rick Lei)  (GH-1001)
* h2load: Fix bug that timing script stalls with -m1 (GH-997)
* h2load: Reservoir sampling (GH-984)
* h2load: Add timing-based load-testing in h2load (Patch from Soham Sinha) (GH-968)
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/7824579/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/7824579,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.26.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.26.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.26.0,v1.26.0,False,False
7442783,2017-08-18T14:07:46Z,2017-08-18T14:16:48Z,nghttp2 v1.25.0,"* lib: add nghttp2_rcbuf_is_static()  (Patch from Anna Henningsen)  (GH-983)
* nghttpx: Fix bug that forwarded for is not affected by proxy protocol  (GH-979)
* nghttpx: Update mruby to 1.3.0  (GH-957)
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/7442783/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/7442783,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.25.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.25.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.25.0,v1.25.0,False,False
6904176,2017-07-02T08:45:41Z,2017-07-02T08:50:58Z,nghttp2 v1.24.0,"* doc: README.rst: fix typo  (Patch from Simone Basso)  (GH-947)
* doc: fix up grammar in submit_trailer docs  (Patch from Benjamin Peterson)  (GH-945)
* doc: fix cleaning in out-of-tree builds  (Patch from Benjamin Peterson)  (GH-938)
* nghttp: Fix bug that upgrade fails if reason-phrase is missing  (GH-949)
* nghttpx: Verify OCSP response using trusted CA certificates  (GH-943)
* nghttpx: Set default minimum TLS version to TLSv1.2  (GH-937)
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/6904176/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/6904176,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.24.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.24.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.24.0,v1.24.0,False,False
6545946,2017-05-30T15:03:56Z,2017-05-30T15:14:39Z,nghttp2 v1.23.1,"* nghttpx: Fix crash in OCSP response verification
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/6545946/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/6545946,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.23.1,https://github.com/nghttp2/nghttp2/releases/tag/v1.23.1,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.23.1,v1.23.1,False,False
6515451,2017-05-26T14:02:44Z,2017-05-26T14:07:05Z,nghttp2 v1.23.0,"* lib: nghttp2_session: Allow for compiling library with -DNDEBUG set  (Patch from Angus Gratton)  (GH-919)
* lib: Treat incoming invalid regular header field as stream error  (GH-900)
* lib: Call nghttp2_on_invalid_frame_callback if altsvc validation fails  (GH-904)
* doc: spelling mistake in arguments to build nghttp apps  (Patch from Soham Sinha)  (GH-925)
* doc: Add notes for installation on linux systems  (Patch from Tapanito)  (GH-917)
* doc: Clarify the effect of  nghttp2_option_set_no_http_messaging
* nghttpx: Verify OCSP response  (GH-929)
* nghttpx: Fix certificate selection based on pub key algorithm  (GH-924)
* nghttpx: Fix certificate indexing bug
* nghttpx: Run OCSP at startup  (GH-922)
* nghttpx: Wildcard path matching  (GH-914)
* nghttpx: Forward multiple via, xff, and xfp header fields  (GH-903)
* nghttp: Add -y, --no-verify-peer option to suppress peer verify warn  (GH-906)
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/6515451/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/6515451,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.23.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.23.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.23.0,v1.23.0,False,False
6168406,2017-04-24T13:29:09Z,2017-04-24T13:33:36Z,nghttp2 v1.22.0,"* lib: Add missing free call on error in inflight_settings_new() (Patch from lstefani) (GH-884)
* asio: Support specifying stream priority via session::submit() (Patch from Matt Way) (GH-881)
* nghttpx: Clarify --conf option behaviour
* nghttpx: Add $tls_sni access log variable (GH-896)
* nghttpx: Rename ssl_* log variables as tls_* (GH-895)
* nghttpx: Fix path matching bug (GH-894)
* nghttpx: SNI based backend server selection (GH-892)
* nghttpx: Enable signed_certificate_timestamp extension for TLSv1.3 (GH-878)
* nghttpx: Add options for X-Forwarded-Proto header field (GH-872)
* nghttpx: Add --single-process option (GH-869)
* nghttpx: Use 502 as server error code
* nghttpx: Use SSL_CTX_set_early_data_enabled with boringssl
* nghttp: Verify server certificate and show warning if it fails (GH-870)
* integration: Use nip.io instead of xip.io
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/6168406/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/6168406,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.22.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.22.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.22.0,v1.22.0,False,False
6024399,2017-04-09T12:32:07Z,2017-04-09T12:38:02Z,nghttp2 v1.21.1,"* asio: Fix crash if connect takes longer time than ping interval (GH-866)
* nghttpx: Fix bug that 204 from h1 backend is always treated as error (GH-871)",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/6024399/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/6024399,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.21.1,https://github.com/nghttp2/nghttp2/releases/tag/v1.21.1,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.21.1,v1.21.1,False,False
5880958,2017-03-27T14:08:24Z,2017-03-27T14:12:23Z,nghttp2 v1.21.0,"* lib: Fix nghttp2_session_want_write (GH-832)
* doc: Document pkg-config path usage
* build: Eliminate _U_ macro; Instead use (void)VAR for better compiler compatibility.
* src: BoringSSL supports SSL_CTX_set_{min,max}_proto_version. (Patch from Piotr Sikora) (GH-853)
* src: Use Mozilla's ""Modern compatibility"" ciphers by default
* src: nghttp2_gzip: fix this statement may fall through [-Werror=implicit-fallthrough=] found by gcc7 (Patch from Alexis La Goutte) (GH-823)
* nghttpx: Print version number with -v option
* nghttpx: Enable X25519 with boringssl
* nghttpx: Retry getaddrinfo without AI_ADDRCONFIG (GH-858)
* nghttpx: Failing to listen on server socket is fatal error
* nghttpx: Escape certain characters in access log (GH-856)
* nghttpx: Ignore further input if connection is going to close
* nghttpx: Don't call functions which are not async-signal-safe after fork but before execv in multithreaded process.
* nghttpx: Enable backend pattern matching with http2-proxy (GH-733)
* asio: client: Send PING after 30 seconds idle (GH-847)
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/5880958/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/5880958,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.21.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.21.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.21.0,v1.21.0,False,False
5574413,2017-02-26T10:00:04Z,2017-02-26T10:15:13Z,nghttp2 v1.20.0,"- lib: nghttp2_session: fix The 'then' statement is equivalent to the subsequent code fragment found by PVS Studio (V523)  (Patch from Alexis La Goutte)  (GH-814)
- lib: Add nghttp2_option_set_no_closed_streams  (GH-810)
- build: Disable spdylay detection by default
- build: Add --with-systemd option to configure
- fuzz: Add fuzzer for oss-fuzz  (GH-799)
- src: Enable TLSv1.3 if it is supported by OpenSSL (or BoringSSL)  (GH-816)
- src: h2 requires >= TLSv1.2
- asio: More graceful stop of nghttp2::asio_http2::server::http2  (Patch from Amir Pakdel)  (GH-805)
- asio: Holding more shared_ptrs instead of raw ptrs to make sure called objects don't get deleted.  (Patch from clemahieu)
- asio: Fix infinite loop in acceptor handler  (Patch from clemahieu)  (GH-794)
- asio: close_stream erases from streams_ while it's being iterated over.  (Patch from clemahieu)  (GH-795)
- nghttpx: Strip version number from server header field
- nghttpx: Add --single-worker option
- nghttpx: Fix bug that send_reply does not participate graceful shutdown
- nghttpx: Add --frontend-max-requests option
- nghttpx: Enable stream-write-timeout by default
- nghttpx: Fix stream write timer handling
- nghttpx: Add configrevision API endpoint  (GH-820)
- nghttpx: Redirect to HTTPS URI with redirect-if-not-tls parameter  (GH-819)
- nghttpx: Update log time stamp in millisecond interval
- nghttpx: Better error message when private key and certificate are missing
- nghttpx: Fix bug that old config is used during reloading configuration
- nghttpx: Specify TLS protocol by version range  (GH-809)
- nghttpx: Send SIGQUIT to the original master process  (GH-807)
- nghttpx: Restrict HTTP major and minor in 0 or 1
- nghttpx: Drop privilege of neverbleed daemon first
- nghttpx: add systemd support  (Patch from Tomasz Torcz)  (GH-802)
- nghttpx: Fix crash on SIGHUP with multi thread configuration  (GH-801)
- nghttpx: Send 1xx non-final response using mruby script  (GH-800)
- nghttpx: Select certificate by client's supported signature algorithm  (GH-792)
- nghttpx: Recommend POST for backendconfig API request
- nghttpx: Don't build PSK features with LibreSSL (Patch from Bernard Spil)  (GH-789)
- nghttp: add support for link rel=""preload"" for --get-assets (Patch from Benedikt Christoph Wolters)  (GH-791)
- h2load: Fix wrong req_stat updates
- h2load: Explicitly count the number of requests left and inflight
- integration: Fix deprecation warnings
- integration: Redirect nghttpx stdout/stderr to test driver's stdout/stderr
",https://api.github.com/users/tatsuhiro-t,404610,tatsuhiro-t,https://api.github.com/repos/nghttp2/nghttp2/releases/5574413/assets,https://api.github.com/repos/nghttp2/nghttp2/releases/5574413,master,https://api.github.com/repos/nghttp2/nghttp2/tarball/v1.20.0,https://github.com/nghttp2/nghttp2/releases/tag/v1.20.0,https://api.github.com/repos/nghttp2/nghttp2/zipball/v1.20.0,v1.20.0,False,False
