id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
5873103,2017-03-26T21:54:46Z,2017-03-26T21:56:56Z,v0.4.7,* Use prebuild-install instead of prebuild for installing prebuilt binaries. ,https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/5873103/assets,https://api.github.com/repos/octalmage/robotjs/releases/5873103,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.7,https://github.com/octalmage/robotjs/releases/tag/v0.4.7,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.7,v0.4.7,False,False
5872792,2017-03-26T20:42:34Z,2017-03-26T20:43:38Z,v0.4.6,"* Changed mouseScroll to use X and Y as direction (This is a breaking change). #194
* Added ""menu"" key (Windows only). #257

Special thanks to @BHamrick1, and @zenflow.",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/5872792/assets,https://api.github.com/repos/octalmage/robotjs/releases/5872792,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.6,https://github.com/octalmage/robotjs/releases/tag/v0.4.6,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.6,v0.4.6,False,False
4402075,2016-10-16T20:10:35Z,2016-10-16T20:25:44Z,v0.4.5,"- Add support for F13-F24. #214
- Add a way to specify the X11 display in Linux. #206
- Add typescript declaration file. #225
- Fix screen capture for Mac. #242 

Special thanks to @jub3i, @illegalprime, and @tristanlievens!
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/4402075/assets,https://api.github.com/repos/octalmage/robotjs/releases/4402075,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.5,https://github.com/octalmage/robotjs/releases/tag/v0.4.5,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.5,v0.4.5,False,False
3345302,2016-06-01T00:39:28Z,2016-06-01T00:45:10Z,v0.4.4,"- Add support for right shift. #205 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/3345302/assets,https://api.github.com/repos/octalmage/robotjs/releases/3345302,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.4,https://github.com/octalmage/robotjs/releases/tag/v0.4.4,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.4,v0.4.4,False,False
3334584,2016-05-30T16:53:55Z,2016-05-30T16:58:17Z,v0.4.3,"- Migrate to SendInput from mouse_event on Windows. #181
- Continuous integration for Mac. #199
- Support for numpad keycodes 0-9. #200

Special thanks to @Deltatiger!
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/3334584/assets,https://api.github.com/repos/octalmage/robotjs/releases/3334584,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.3,https://github.com/octalmage/robotjs/releases/tag/v0.4.3,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.3,v0.4.3,False,False
3181255,2016-05-08T21:06:14Z,2016-05-08T21:11:53Z,v0.4.2,"- Added insert key. #185  
- Updated to nan 2.2.1 to support Node.js v6. 54c65c3
- Use prebuild for installing binaries. #187

Special thanks to @chaosprinz!
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/3181255/assets,https://api.github.com/repos/octalmage/robotjs/releases/3181255,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.2,https://github.com/octalmage/robotjs/releases/tag/v0.4.2,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.2,v0.4.2,False,False
3038041,2016-04-17T21:30:35Z,2016-04-17T21:32:41Z,v0.4.1,"- Fix Mac multimedia keycode conflict. #180
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/3038041/assets,https://api.github.com/repos/octalmage/robotjs/releases/3038041,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.1,https://github.com/octalmage/robotjs/releases/tag/v0.4.1,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.1,v0.4.1,False,False
3037484,2016-04-17T17:55:35Z,2016-04-17T18:01:17Z,v0.4.0,"- Implemented screen capture #152
- moveMouse now supports games on Mac. #177
- Added typeStringDelayed. #149
- Fix for mouseScroll on Windows. #163
- Support for sending keys through RDP on Windows. #151
- Extended keys now available when using RDP. #162
- Multimedia keys now work on Mac. #171
- Way more tests! #155

This is a huge update and it drops official support for Node.js 0.8.\* and Windows XP. Maintaining support for these was holding us back, it's time to let them go. 

Special thanks to @deltatiger, @mgmartel, @verth, @standayweb and @gurel! 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/3037484/assets,https://api.github.com/repos/octalmage/robotjs/releases/3037484,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.4.0,https://github.com/octalmage/robotjs/releases/tag/v0.4.0,https://api.github.com/repos/octalmage/robotjs/zipball/v0.4.0,v0.4.0,False,False
2349739,2015-12-29T10:00:04Z,2015-12-29T10:05:20Z,v0.3.7,"- `keyTap` and `keyToggle` now support special multimedia codes! #106
- Fixed F9 key on Windows. #142

Special thanks @vshymanskyy and @ligustah! 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/2349739/assets,https://api.github.com/repos/octalmage/robotjs/releases/2349739,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.7,https://github.com/octalmage/robotjs/releases/tag/v0.3.7,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.7,v0.3.7,False,False
2280955,2015-12-14T00:55:18Z,2015-12-14T01:03:45Z,v0.3.6,"- `keyTap` and `keyToggle` now support an array of keys! #130 

Special thanks @noonat! 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/2280955/assets,https://api.github.com/repos/octalmage/robotjs/releases/2280955,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.6,https://github.com/octalmage/robotjs/releases/tag/v0.3.6,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.6,v0.3.6,False,False
2246072,2015-12-07T17:17:38Z,2015-12-07T17:20:03Z,v0.3.5,"- Added `dragMouse` function! #133
- Fixed unused variable warning for Mac and Linux. #136 

Special thanks to @noonat! 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/2246072/assets,https://api.github.com/repos/octalmage/robotjs/releases/2246072,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.5,https://github.com/octalmage/robotjs/releases/tag/v0.3.5,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.5,v0.3.5,False,False
2166263,2015-11-22T01:44:10Z,2015-11-22T01:47:54Z,,"- Fixed an issue with `typeString` under Windows. #110
- Passing constant instead of zero for mouse button on `moveMouse`. #129

Special thanks to @ashleydavis, and @noonat! 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/2166263/assets,https://api.github.com/repos/octalmage/robotjs/releases/2166263,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.4,https://github.com/octalmage/robotjs/releases/tag/v0.3.4,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.4,v0.3.4,False,False
2057885,2015-11-02T16:22:46Z,2015-11-02T16:37:49Z,v0.3.3,"- Improved OS X El Capitan support for newer versions of Node.js. #124

Special thanks to @Qix- @RainmanNoodles and @SimulatedGREG. 
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/2057885/assets,https://api.github.com/repos/octalmage/robotjs/releases/2057885,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.3,https://github.com/octalmage/robotjs/releases/tag/v0.3.3,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.3,v0.3.3,False,False
2029919,2015-10-28T00:43:35Z,2015-10-28T01:31:58Z,v0.3.2,"- Fixed `moveMouse` accuracy on Windows. #77 
- Include nan dynamically to support npm v3. #116 
- Automated Windows testing with AppVeyor. #105 

Special thanks to @Lexikos(AutoHotkey).
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/2029919/assets,https://api.github.com/repos/octalmage/robotjs/releases/2029919,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.2,https://github.com/octalmage/robotjs/releases/tag/v0.3.2,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.2,v0.3.2,False,False
1947434,2015-10-12T16:04:39Z,2015-10-12T16:12:48Z,v0.3.1,"- Fixed `mouseToggle` bug. #99 
- `keyToggle` now supports ""up"" or ""down"" instead of 1 or 0 for the second argument . #102 
  - This change breaks backwards compatibility. 
- [New](http://robotjavascript.tumblr.com/post/130751792193/the-first-robotjs-logo-this-is-just-a-stand-in) RobotJS logo! 634259ee9f334e5bcf60f719b12777edfc8fc5a9

![RobotJS logo](https://cldup.com/1ATDf2JMtv.png)

Special thanks to @Zeukkari.
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/1947434/assets,https://api.github.com/repos/octalmage/robotjs/releases/1947434,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.1,https://github.com/octalmage/robotjs/releases/tag/v0.3.1,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.1,v0.3.1,False,False
1908029,2015-10-04T13:09:05Z,2015-10-04T13:13:46Z,v0.3.0,"- RobotJS updated to support Node.js v4 and io.js v3.  #87 
- Added `scrollMouse`. #50 
  - Windows code currently commented out. See #97.

Special thanks to @abhishekgarg120 and @Deltatiger.
",https://api.github.com/users/octalmage,142006,octalmage,https://api.github.com/repos/octalmage/robotjs/releases/1908029/assets,https://api.github.com/repos/octalmage/robotjs/releases/1908029,master,https://api.github.com/repos/octalmage/robotjs/tarball/v0.3.0,https://github.com/octalmage/robotjs/releases/tag/v0.3.0,https://api.github.com/repos/octalmage/robotjs/zipball/v0.3.0,v0.3.0,False,False
