id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6616772,2017-06-06T11:55:14Z,2017-06-06T11:56:31Z,2.1.1,Fixed NPE issue for Logger.d(null),https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/6616772/assets,https://api.github.com/repos/orhanobut/logger/releases/6616772,master,https://api.github.com/repos/orhanobut/logger/tarball/2.1.1,https://github.com/orhanobut/logger/releases/tag/2.1.1,https://api.github.com/repos/orhanobut/logger/zipball/2.1.1,2.1.1,False,False
6528687,2017-05-28T22:32:10Z,2017-05-28T22:34:51Z,2.1.0,"- Line decoration is changed to single line instead of double. Way more compact now.
<img width=""536"" alt=""screen shot 2017-05-29 at 00 04 48"" src=""https://cloud.githubusercontent.com/assets/1089616/26532633/60993f20-4406-11e7-8687-ada68de716f1.png"">

- `Logger.d(null)` or `Logger.d(new int[]{1,3,5})` crashes are fixed. Logger.d(object) accept anything now and doesn't crash.",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/6528687/assets,https://api.github.com/repos/orhanobut/logger/releases/6528687,master,https://api.github.com/repos/orhanobut/logger/tarball/2.1.0,https://github.com/orhanobut/logger/releases/tag/2.1.0,https://api.github.com/repos/orhanobut/logger/zipball/2.1.0,2.1.0,False,False
6523695,2017-05-27T15:02:45Z,2017-05-27T15:18:52Z,2.0.0,"- LogAdapter functionality is changed. Log adapter decides when to log with `isLoggable` and how to log with format strategy. You can create your custom adapter and add to Logger. Logger now accepts multiple log adapters.

- Initialization changed. Old style is not supported any longer. Use the following style with log adapters. This approach allows you to add multiple adapters and each adapter contains different logic.
```java
Logger.addLogAdapter(new AndroidLogAdapter());
```

- FormatStrategy added. With format strategy, you can have different output format such as normal pretty look or csv. You can also add your custom format.

- Settings is removed. Format settings are associated with format strategy. Use the built-in functions to change the appearance or behavior.
```java
FormatStrategy formatStrategy = PrettyFormatStrategy.newBuilder()
  .showThreadInfo(false)  // (Optional) Whether to show thread info or not. Default true
  .methodCount(0)         // (Optional) How many method line to show. Default 2
  .methodOffset(7)        // (Optional) Hides internal method calls up to offset. Default 5
  .logStrategy(customLog) // (Optional) Changes the log strategy to print out. Default LogCat
  .tag(""My custom tag"")   // (Optional) Custom tag for each log. Default PRETTY_LOGGER
  .build();

Logger.addLogAdapter(new AndroidLogAdapter(formatStrategy));
```

- LogStrategy added. Log stratey decides what to do with the input, for example: print out to logcat or save it to file. You can create your custom log strategy as well.

- LogLevel removed. There are many different ways when it comes to what to log and when to log. Therefore decision is now up to the developer. Log adapters contain `isLoggable` function. Simply override it and put your log condition.
```java
Logger.addLogAdapter(new AndroidLogAdapter(){
  @Override public boolean isLoggable(int priority, String tag) {
    return BuildConfig.DEBUG;
  }
});
```

- DiskLogAdapter added. Save output to file, CSV format is supported. 
```java
Logger.addLogAdapter(new DiskLogAdapter());
```

- Divider's width is increased. Visual appearance change.

- For more details about the new structure, check the diagram how it works.
<img src='https://github.com/orhanobut/logger/blob/master/art/how_it_works.png'/>",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/6523695/assets,https://api.github.com/repos/orhanobut/logger/releases/6523695,master,https://api.github.com/repos/orhanobut/logger/tarball/2.0.0,https://github.com/orhanobut/logger/releases/tag/2.0.0,https://api.github.com/repos/orhanobut/logger/zipball/2.0.0,2.0.0,False,False
6523399,2017-05-27T14:00:45Z,2017-05-27T14:01:35Z,1.15,,https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/6523399/assets,https://api.github.com/repos/orhanobut/logger/releases/6523399,master,https://api.github.com/repos/orhanobut/logger/tarball/1.15,https://github.com/orhanobut/logger/releases/tag/1.15,https://api.github.com/repos/orhanobut/logger/zipball/1.15,1.15,False,False
1917347,2015-10-06T12:06:42Z,2015-10-06T12:10:27Z,1.12 release,"- Log util can can be injected now.

``` java
.logTool()
```
- clear() method added in order to clear the static fields when no needed
- some static fields converted to local
- jitpack support added
",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/1917347/assets,https://api.github.com/repos/orhanobut/logger/releases/1917347,master,https://api.github.com/repos/orhanobut/logger/tarball/1.12,https://github.com/orhanobut/logger/releases/tag/1.12,https://api.github.com/repos/orhanobut/logger/zipball/1.12,1.12,False,False
1617894,2015-08-02T09:59:14Z,2015-08-02T10:01:02Z,v11-release,"- Tests added
- android manifest backup removed
",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/1617894/assets,https://api.github.com/repos/orhanobut/logger/releases/1617894,master,https://api.github.com/repos/orhanobut/logger/tarball/v11,https://github.com/orhanobut/logger/releases/tag/v11,https://api.github.com/repos/orhanobut/logger/zipball/v11,v11,False,False
1356099,2015-05-30T10:05:19Z,2015-05-30T10:07:11Z,v1.10 release,"Method count stack offset feature added. With this feature you can integrate the logger easily with other libraries.

``` java
Logger.init()
    .setMethodOffset(5);
```
",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/1356099/assets,https://api.github.com/repos/orhanobut/logger/releases/1356099,master,https://api.github.com/repos/orhanobut/logger/tarball/v1.10,https://github.com/orhanobut/logger/releases/tag/v1.10,https://api.github.com/repos/orhanobut/logger/zipball/v1.10,v1.10,False,False
1333434,2015-05-25T09:34:20Z,2015-05-25T09:36:53Z,v1.9 Release,"method count bug fix
",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/1333434/assets,https://api.github.com/repos/orhanobut/logger/releases/1333434,master,https://api.github.com/repos/orhanobut/logger/tarball/v1.9,https://github.com/orhanobut/logger/releases/tag/v1.9,https://api.github.com/repos/orhanobut/logger/zipball/v1.9,v1.9,False,False
1158584,2015-04-13T10:44:17Z,2015-04-13T10:56:28Z,,"- Logger.json and Logger.xml fixes
",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/1158584/assets,https://api.github.com/repos/orhanobut/logger/releases/1158584,master,https://api.github.com/repos/orhanobut/logger/tarball/v1.8-release,https://github.com/orhanobut/logger/releases/tag/v1.8-release,https://api.github.com/repos/orhanobut/logger/zipball/v1.8-release,v1.8-release,False,False
1158083,2015-04-13T08:05:58Z,2015-04-13T08:07:22Z,,"- index out of boundary fix
",https://api.github.com/users/orhanobut,1089616,orhanobut,https://api.github.com/repos/orhanobut/logger/releases/1158083/assets,https://api.github.com/repos/orhanobut/logger/releases/1158083,master,https://api.github.com/repos/orhanobut/logger/tarball/v1.7-release,https://github.com/orhanobut/logger/releases/tag/v1.7-release,https://api.github.com/repos/orhanobut/logger/zipball/v1.7-release,v1.7-release,False,False
