id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
5254330,2017-01-24T18:37:04Z,2017-01-24T18:40:08Z,4.1.2: The Iteration Generation,"- [**FIXED**]: Now using `Iterator` instead of `Generator` in our definition of `decode` for `Collection`s. This was renamed in Swift 3.0, and honestly I'm not positive how this was compiling the way it was.
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/5254330/assets,https://api.github.com/repos/thoughtbot/Argo/releases/5254330,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v4.1.2,https://github.com/thoughtbot/Argo/releases/tag/v4.1.2,https://api.github.com/repos/thoughtbot/Argo/zipball/v4.1.2,v4.1.2,False,False
4837126,2016-12-05T15:51:58Z,2016-12-05T19:51:47Z,4.1.1: An Actual Useable Library,"- [**FIXED**]: Fixed compilation when building via Swift Package Manager
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/4837126/assets,https://api.github.com/repos/thoughtbot/Argo/releases/4837126,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v4.1.1,https://github.com/thoughtbot/Argo/releases/tag/v4.1.1,https://api.github.com/repos/thoughtbot/Argo/zipball/v4.1.1,v4.1.1,False,False
4576827,2016-11-05T01:02:33Z,2016-11-05T01:06:54Z,4.1: Optional Packages,"- [**NEW**]: Swift Package Manager Support ([Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/424))
- [**NEW**]: Re-introduced `Decoded.optional` with better, simplified behavior ([Tony DiPasquale](https://github.com/thoughtbot/Argo/pull/420))
- [**FIXED**]: Use `NSNumber` transformation properties instead of casting to decode number values. This now prevents a crash that could occur with Swift 3.0.1 ([Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/425))
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/4576827/assets,https://api.github.com/repos/thoughtbot/Argo/releases/4576827,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v4.1.0,https://github.com/thoughtbot/Argo/releases/tag/v4.1.0,https://api.github.com/repos/thoughtbot/Argo/zipball/v4.1.0,v4.1.0,False,False
4374907,2016-10-13T00:12:52Z,2016-10-13T00:31:57Z,4.0.0: Swift 3 and Multi-Error Debugging,"Official Swift 3.0 release!
- **[NEW]**: Now you can see all the decoding failures at once! Thanks @klaaspieter 
- **[Bug Fix]**: Optional decoding now behaves as expected. Thanks @pteasima for finding this.

Thanks @gfontenot, @alexwlchan, @mbrandonw, @gcox, and @klaaspieter for all the changes that went into this release!
",https://api.github.com/users/tonyd256,1169797,tonyd256,https://api.github.com/repos/thoughtbot/Argo/releases/4374907/assets,https://api.github.com/repos/thoughtbot/Argo/releases/4374907,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v4.0.0,https://github.com/thoughtbot/Argo/releases/tag/v4.0.0,https://api.github.com/repos/thoughtbot/Argo/zipball/v4.0.0,v4.0.0,False,False
3766531,2016-07-29T01:43:26Z,2016-07-29T01:49:41Z,3.1: unsigned unmastered.,"3.1 adds support for decoding `UInt` and `UInt64` types. `UInt` can only be decoded `JSON.Number` instances, and `UInt64` can be decoded from `JSON.Number` as well as `JSON.String`. This follows the patterns already set up by `Int` and `Int64`.

Thanks to @gcox [for this addition!](https://github.com/thoughtbot/Argo/pull/396)
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/3766531/assets,https://api.github.com/repos/thoughtbot/Argo/releases/3766531,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v3.1.0,https://github.com/thoughtbot/Argo/releases/tag/v3.1.0,https://api.github.com/repos/thoughtbot/Argo/zipball/v3.1.0,v3.1.0,False,False
3719475,2016-07-22T14:49:21Z,2016-07-22T14:54:08Z,3.0.3: Now With Different XML,"3.0.3 adds improved support for Xcode 8 by slightly modifying the xml in ways that it suggests (Thanks @ikesyo!)
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/3719475/assets,https://api.github.com/repos/thoughtbot/Argo/releases/3719475,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v3.0.3,https://github.com/thoughtbot/Argo/releases/tag/v3.0.3,https://api.github.com/repos/thoughtbot/Argo/zipball/v3.0.3,v3.0.3,False,False
3700733,2016-07-20T14:49:15Z,2016-07-20T14:56:38Z,3.0.2: Xcode optimizations,"This release is a back-port of our support for enabling whole module optimization (currently supported on master, but unreleased), as well as support for Xcode 8 using Swift 2.3.
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/3700733/assets,https://api.github.com/repos/thoughtbot/Argo/releases/3700733,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v3.0.2,https://github.com/thoughtbot/Argo/releases/tag/v3.0.2,https://api.github.com/repos/thoughtbot/Argo/zipball/v3.0.2,v3.0.2,False,False
2983746,2016-04-08T19:40:36Z,2016-04-08T19:52:21Z,3.0.1: NumberWang,"Argo 3.0 changed the way Booleans were decoded and in doing so, accidentally broke JSON parsing for APIs that didn't _quite_ follow the JSON spec. Specifically, @jshier noted that [it's moderately common for APIs to return `1` or `0` instead of `true` or `false`.](https://github.com/thoughtbot/Argo/issues/358).

To address this, we've [re-added the capability of Argo to recognize `Bool` values represented in the JSON as numbers.](https://github.com/thoughtbot/Argo/pull/359)

[![](https://img.youtube.com/vi/qjOZtWZ56lc/0.jpg)](https://www.youtube.com/watch?v=qjOZtWZ56lc)
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/2983746/assets,https://api.github.com/repos/thoughtbot/Argo/releases/2983746,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v3.0.1,https://github.com/thoughtbot/Argo/releases/tag/v3.0.1,https://api.github.com/repos/thoughtbot/Argo/zipball/v3.0.1,v3.0.1,False,False
2964484,2016-04-06T17:08:38Z,2016-04-06T17:09:46Z,3.0: Less is more,"The goal for Argo 3.0 was to work on simplifying some of the complexity by removing extraneous API and improving consistency between Argo and other libraries (including the Swift standard lib). In addition, we've added support for Swift 2.2.

## Breaking Changes
- Update to Swift 2.2 - [Leo Mehlig](https://github.com/thoughtbot/Argo/pull/333)
- Remove Optional versions of `<|` operators - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/298)
- Improve the API for root key decoding - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/339)
- Use `JSON.init` instead of `JSON.parse` - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/336)

## New
- Add a Boolean case to JSON - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/314)
- Add alternative named instance method on Decoded - [Dorian Scheidt](https://github.com/thoughtbot/Argo/pull/310)
- Add leftwise flatMap operator for Decoded - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/319)
- Add free functions for decoding collections - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/297)
- Added parsing from String for decoding Int64 - [Niels van Hoorn](https://github.com/thoughtbot/Argo/pull/301)

## Non-Breaking Changes
- Update errors for RawRepresentable types. - [Paul Young](https://github.com/thoughtbot/Argo/pull/277)
- Remove `CustomStringConvertible` constraint on `typeMismatch` function - [Dapeng Gao](https://github.com/thoughtbot/Argo/pull/302)
- Use an autoclosure for the rhs of <|> - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/320)
- Generalize the type for `sequence` taking a dict - [Gordon Fontenot](https://github.com/thoughtbot/Argo/pull/341)

## Misc
- (hopefully) the entire public API now has inline documentation!

Huge thank you to everyone that submitted PRs, opened issues, and reviewed code for this release!
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/2964484/assets,https://api.github.com/repos/thoughtbot/Argo/releases/2964484,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v3.0.0,https://github.com/thoughtbot/Argo/releases/tag/v3.0.0,https://api.github.com/repos/thoughtbot/Argo/zipball/v3.0.0,v3.0.0,False,False
2794280,2016-03-11T16:15:53Z,2016-03-11T16:40:50Z,2.3.0: An _Even_ Faster Boat," After some really fantastic work by @jshier and @RuiAAPeres, we were able to track down some serious performance issues related to our (internal) use of  `reduce`. @jshier was able to remove all instances of `reduce` in favor of using `for in` loops, and ended up with a 2600% improvement in performance. This release is to get that into users hands while we work on moving towards version 3.0, which should introduce even _more_ performance increases as well as reducing the complexity of the library.
- [**FIXED**]: Aforementioned performance improvement ([Jon Shier](https://github.com/thoughtbot/Argo/pull/317) and [Rui Peres](https://github.com/thoughtbot/Argo/issues/295))
- [**NEW**]: We've audited the codebase to use `@noescape` where appropriate ([Sid Raval](https://github.com/thoughtbot/Argo/pull/288))
- [**NEW**]: `DecodeError` is now `Hashable` ([Matt Diephouse](https://github.com/thoughtbot/Argo/pull/330))
",https://api.github.com/users/gfontenot,124499,gfontenot,https://api.github.com/repos/thoughtbot/Argo/releases/2794280/assets,https://api.github.com/repos/thoughtbot/Argo/releases/2794280,master,https://api.github.com/repos/thoughtbot/Argo/tarball/v2.3.0,https://github.com/thoughtbot/Argo/releases/tag/v2.3.0,https://api.github.com/repos/thoughtbot/Argo/zipball/v2.3.0,v2.3.0,False,False
