id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7661733,2017-09-07T00:23:09Z,2017-09-07T00:23:41Z,,"- [#239](https://github.com/trello/RxLifecycle/pull/239): Added support for support preference fragments

  These can be found in the new rxlifecycle-components-preference artifact.
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/7661733/assets,https://api.github.com/repos/trello/RxLifecycle/releases/7661733,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v2.2.0,https://github.com/trello/RxLifecycle/releases/tag/v2.2.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v2.2.0,v2.2.0,False,False
6523813,2017-05-27T15:54:27Z,2017-05-27T15:55:01Z,,"
- [#216](https://github.com/trello/RxLifecycle/pull/216): Added support for Android Architecture Components

  These can be found in the new rxlifecycle-android-lifecycle and rxlifecycle-android-kotlin artifacts.

- [#219](https://github.com/trello/RxLifecycle/pull/219): Fix potential build issues by making JSR305 compileOnly",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/6523813/assets,https://api.github.com/repos/trello/RxLifecycle/releases/6523813,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v2.1.0,https://github.com/trello/RxLifecycle/releases/tag/v2.1.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v2.1.0,v2.1.0,False,False
4741567,2016-11-23T14:20:03Z,2016-11-23T14:20:04Z,,"- [#183](https://github.com/trello/RxLifecycle/pull/183): Fix usage of null in navi module
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/4741567/assets,https://api.github.com/repos/trello/RxLifecycle/releases/4741567,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v2.0.1,https://github.com/trello/RxLifecycle/releases/tag/v2.0.1,https://api.github.com/repos/trello/RxLifecycle/zipball/v2.0.1,v2.0.1,False,False
4721862,2016-11-21T19:46:52Z,2016-11-21T19:47:05Z,,"This major revision was made to support RxJava 2. RxLifecycle 2.0 lives in a new namespace and package
names so that it can work side-by-side with RxLifecycle 1.0 (while transitioning).

The biggest change is that `LifecycleTransformer` now works for _all_ RxJava types:
`Observable`, `Flowable`, `Single`, `Maybe` and `Completable`. Unlike before, there's
no extra steps you have to take to make it work with types other than `Observable`.
- [#167](https://github.com/trello/RxLifecycle/pull/167): Upgrade to RxJava 2
- [#169](https://github.com/trello/RxLifecycle/pull/169): Move to com.trello.rxlifecycle2
- [#170](https://github.com/trello/RxLifecycle/pull/170): Added Maybe support
- [#172](https://github.com/trello/RxLifecycle/pull/172): Added Flowable support
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/4721862/assets,https://api.github.com/repos/trello/RxLifecycle/releases/4721862,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v2.0,https://github.com/trello/RxLifecycle/releases/tag/v2.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v2.0,v2.0,False,False
4563531,2016-11-03T19:48:29Z,2016-11-03T19:49:00Z,,"First and (hopefully) final release of 1.x branch!

This release marks the start of maintenance mode for RxJava 1 support. Future work will be devoted to supporting
RxJava 2. Important bugs may be squashed but new features will have to be extraordinarily compelling in order
to be added.
- [#162](https://github.com/trello/RxLifecycle/pull/162): Made all components abstract
- [#157](https://github.com/trello/RxLifecycle/pull/157): Added RxPreferenceFragment
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/4563531/assets,https://api.github.com/repos/trello/RxLifecycle/releases/4563531,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v1.0,https://github.com/trello/RxLifecycle/releases/tag/v1.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v1.0,v1.0,False,False
4169409,2016-09-19T15:08:15Z,2016-09-19T15:08:29Z,,"- [#152](https://github.com/trello/RxLifecycle/pull/152): Support RxJava 1.2.0.
  
  This change is not backwards compatible with RxJava 1.1.x, so if you want to continue
  receiving updates for RxLifecycle you will eventually need to upgrade to RxJava 1.2.x.
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/4169409/assets,https://api.github.com/repos/trello/RxLifecycle/releases/4169409,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v0.8.0,https://github.com/trello/RxLifecycle/releases/tag/v0.8.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v0.8.0,v0.8.0,False,False
3966683,2016-08-24T21:00:32Z,2016-08-24T21:01:01Z,,"There are a couple major breaking changes in this release, so read carefully.
- [#143](https://github.com/trello/RxLifecycle/pull/143): Split Android parts of rxlifecycle into rxlifecycle-android
  
  Now the `rxlifecycle` dependency is a pure Java core. To use RxLifecycle with Android, you should also include
  `rxlifecycle-android` as well now.
  
  `RxLifecycle` methods that are for Android (`bindActivity()`, `bindFragment()` and `bindView()`) are now in
  `RxLifecycleAndroid` (found in the `rxlifecycle-android` artifact).
  
  Deprecated methods in `RxLifecycle` were removed as well.
- [#138](https://github.com/trello/RxLifecycle/pull/138) / [#139](https://github.com/trello/RxLifecycle/pull/139):
  Replace `ActivityLifecycleProvider` and `FragmentLifecycleProvider` with `LifecycleProvider<T>`.
  
  This means that you need to replace `ActivityLifecycleProvider` with `LifecycleProvider<ActivityEvent>` and
  `FragmentLifecycleProvider` with `LifecycleProvider<FragmentEvent>`.

Other changes:
- [#140](https://github.com/trello/RxLifecycle/pull/140): Fixed type inference for LifecycleTransformer.forSingle()
- [#135](https://github.com/trello/RxLifecycle/pull/135): Add Kotlin extensions for Singles and Completables
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/3966683/assets,https://api.github.com/repos/trello/RxLifecycle/releases/3966683,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v0.7.0,https://github.com/trello/RxLifecycle/releases/tag/v0.7.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v0.7.0,v0.7.0,False,False
3206799,2016-05-11T22:27:05Z,2016-05-11T22:27:24Z,,"- [#118](https://github.com/trello/RxLifecycle/pull/118): Use `LifecycleTransformer` in the provider interfaces
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/3206799/assets,https://api.github.com/repos/trello/RxLifecycle/releases/3206799,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v0.6.1,https://github.com/trello/RxLifecycle/releases/tag/v0.6.1,https://api.github.com/repos/trello/RxLifecycle/zipball/v0.6.1,v0.6.1,False,False
3172626,2016-05-06T14:04:35Z,2016-05-06T14:05:26Z,,"- Added `LifecycleTransformer`, which provides `Single` and `Completable` support.
- [#111](https://github.com/trello/RxLifecycle/pull/111): Added component support for `AppCompatDialogFragment`
- [#107](https://github.com/trello/RxLifecycle/pull/107): Fixed navi component package
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/3172626/assets,https://api.github.com/repos/trello/RxLifecycle/releases/3172626,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v0.6.0,https://github.com/trello/RxLifecycle/releases/tag/v0.6.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v0.6.0,v0.6.0,False,False
2703230,2016-02-27T20:50:31Z,2016-02-27T20:50:55Z,,"There are a few methods which have been **deprecated** and will be removed in a future release. Each one has a drop-in replacement (and currently calling the deprecated version just routes to the new one):
- `bindUntilActivityEvent()` and `bindUntilFragmentEvent()` -> `bindUntilEvent()`
- `bindView()` -> `bind()`

The other changes mostly involve opening up the API for more customization:
- [#78](https://github.com/trello/RxLifecycle/pull/78): Added rxlifecycle-kotlin (adds some extensions)
- [#79](https://github.com/trello/RxLifecycle/pull/79): Made bindUntilEvent() public, deprecated more specific calls
- [#82](https://github.com/trello/RxLifecycle/pull/82): Opened up bind() methods for public consumption
- [#83](https://github.com/trello/RxLifecycle/pull/83), [#85](https://github.com/trello/RxLifecycle/pull/85): Added
  annotations for better lint checking
- [#88](https://github.com/trello/RxLifecycle/pull/88): Use `.equals()` instead of == for event comparison (for
  custom event support with the newly opened-up `bind()`)
- [#89](https://github.com/trello/RxLifecycle/pull/89): Make OutsideLifecycleException public (for anyone who wants
  to write their own `bind()` implementations)
",https://api.github.com/users/dlew,514850,dlew,https://api.github.com/repos/trello/RxLifecycle/releases/2703230/assets,https://api.github.com/repos/trello/RxLifecycle/releases/2703230,2.x,https://api.github.com/repos/trello/RxLifecycle/tarball/v0.5.0,https://github.com/trello/RxLifecycle/releases/tag/v0.5.0,https://api.github.com/repos/trello/RxLifecycle/zipball/v0.5.0,v0.5.0,False,False
