id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6538489,2017-05-29T23:57:52Z,2017-05-30T00:01:39Z,v1.7.1,* Move focus to `trigger` instead of simply blur()ing #419,https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/6538489/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/6538489,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.7.1,https://github.com/zenorocha/clipboard.js/releases/tag/v1.7.1,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.7.1,v1.7.1,False,False
6537985,2017-05-29T21:43:41Z,2017-05-29T21:45:08Z,v1.7.0,* Adds `container` option #368,https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/6537985/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/6537985,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.7.0,https://github.com/zenorocha/clipboard.js/releases/tag/v1.7.0,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.7.0,v1.7.0,False,False
5597432,2017-02-28T17:58:40Z,2017-02-28T17:59:30Z,v1.6.1,"- Prevents Node.js environment from throwing an error
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/5597432/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/5597432,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.6.1,https://github.com/zenorocha/clipboard.js/releases/tag/v1.6.1,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.6.1,v1.6.1,False,False
5392081,2017-02-08T08:02:14Z,2017-02-08T08:08:22Z,v1.6.0,"- Adds `Clipboard.isSupported()` static method #355
- Prevents scroll jump on iOS when using `data-clipboard-text` #369
- Prevents keyboard from opening on iOS when using `data-clipboard-target`
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/5392081/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/5392081,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.6.0,https://github.com/zenorocha/clipboard.js/releases/tag/v1.6.0,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.6.0,v1.6.0,False,False
4894508,2016-12-12T13:54:35Z,2016-12-12T13:58:26Z,v1.5.16,"- Ensures that event delegation works with multiple documents (a page with iframes)
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/4894508/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/4894508,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.5.16,https://github.com/zenorocha/clipboard.js/releases/tag/v1.5.16,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.5.16,v1.5.16,False,False
4459045,2016-10-23T02:44:43Z,2016-10-23T02:45:37Z,v1.5.15,"- Removes [Babel loose mode](http://www.2ality.com/2015/12/babel6-loose-mode.html)
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/4459045/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/4459045,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.5.15,https://github.com/zenorocha/clipboard.js/releases/tag/v1.5.15,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.5.15,v1.5.15,False,False
4458999,2016-10-23T02:10:44Z,2016-10-23T02:17:23Z,v1.5.14,"- Updates `delegate` package which removes two external dependencies
- Prevents React and Angular tests from failing #274
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/4458999/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/4458999,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.5.14,https://github.com/zenorocha/clipboard.js/releases/tag/v1.5.14,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.5.14,v1.5.14,False,False
4404067,2016-10-17T05:44:03Z,2016-10-17T05:45:16Z,v1.5.13,"- Prevents page from scrolling after using `data-clipboard-text` on iOS #320 
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/4404067/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/4404067,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.5.13,https://github.com/zenorocha/clipboard.js/releases/tag/v1.5.13,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.5.13,v1.5.13,False,False
3409984,2016-06-09T14:57:20Z,2016-06-09T15:00:50Z,v1.5.12,"- Fixes a bug that unable to remove fake event listener
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/3409984/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/3409984,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.5.12,https://github.com/zenorocha/clipboard.js/releases/tag/v1.5.12,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.5.12,v1.5.12,False,False
3405797,2016-06-09T04:46:20Z,2016-06-09T04:51:02Z,,"- Fixes a regression caused by #194 at `v1.5.9`
  - Changes fake element position from `fixed` to `absolute` #250
- Fixes a remove event handler that was not being called
",https://api.github.com/users/zenorocha,398893,zenorocha,https://api.github.com/repos/zenorocha/clipboard.js/releases/3405797/assets,https://api.github.com/repos/zenorocha/clipboard.js/releases/3405797,master,https://api.github.com/repos/zenorocha/clipboard.js/tarball/v1.5.11,https://github.com/zenorocha/clipboard.js/releases/tag/v1.5.11,https://api.github.com/repos/zenorocha/clipboard.js/zipball/v1.5.11,v1.5.11,False,False
